"rownum","Mod","Name","Visual","TextStyles","bool","bool","bool"
0,3915,"Extra Fire Damage","",[],"","",1
1,3916,"Extra Fire Damage","",[],"","",1
2,3917,"Extra Cold Damage","",[],"","",1
3,3918,"Extra Cold Damage","",[],"","",1
4,3919,"Extra Lightning Damage","",[],"","",1
5,3920,"Extra Lightning Damage","",[],"","",1
6,3921,"Hasted","",[],"","",1
7,3922,"Hasted","",[],"","",1
8,3923,"Extra Crits","",[],"","",1
9,3924,"Extra Crits","",[],"","",1
10,3925,"Stuns","",[],"","",1
11,3926,"Stuns","",[],"","",1
12,3927,"Armoured","",[],"","",1
13,3928,"Armoured","",[],"","",1
14,3929,"Evasive","",[],"","",1
15,3930,"Evasive","",[],"","",1
16,3931,"Extra Energy Shield","",[],"","",1
17,3932,"Extra Energy Shield","",[],"","",1
18,3933,"Always Poisons","",[],"","",1
19,3934,"Always Poisons","",[],"","",1
20,3935,"Always Bleeds","",[],"","",1
21,3936,"Always Bleeds","",[],"","",1
22,3937,"Periodically unleashes Fire",73,[],"","",""
23,3938,"Periodically unleashes Fire",73,[],"","",""
24,3939,"Burning Ground on Death","",[],"","",""
25,3940,"Periodically unleashes Ice",75,[],"","",""
26,3941,"Periodically unleashes Ice",75,[],"","",""
27,3942,"Chilled Ground on Death","",[],"","",""
28,3943,"Periodically unleashes Lightning",74,[],"","",""
29,3944,"Periodically unleashes Lightning",74,[],"","",""
30,3945,"Shocked Ground on Death","",[],"","",""
31,3946,"Increased Stun Threshold","",[],"","",1
32,3947,"Increased Stun Threshold","",[],"","",1
33,3948,"Stun Resistant","",[],"","",1
34,3949,"Stun Resistant","",[],"","",1
35,3950,"Fire Resistant","",[],"","",1
36,3951,"Fire Resistant","",[],"","",1
37,3952,"Cold Resistant","",[],"","",1
38,3953,"Cold Resistant","",[],"","",1
39,3954,"Lightning Resistant","",[],"","",1
40,3955,"Lightning Resistant","",[],"","",1
41,3956,"Breaks Armour","",[],"","",1
42,3957,"Breaks Armour","",[],"","",1
43,3958,"Accurate","",[],"","",1
44,3959,"Accurate","",[],"","",1
45,3960,"Extra Chaos Damage","",[],"","",1
46,3961,"Extra Chaos Damage","",[],"","",1
47,3962,"Regenerates Life","",[],"","",1
48,3963,"Regenerates Life","",[],"","",1
49,3964,"Additional Projectiles","",[],"","",1
50,3965,"Additional Projectiles","",[],"","",1
51,3966,"Increased Area of Effect","",[],"","",1
52,3967,"Increased Area of Effect","",[],"","",1
53,3968,"All Damage Ignites","",[],"","",1
54,3969,"All Damage Ignites","",[],"","",1
55,3970,"All Damage Chills","",[],"","",1
56,3971,"All Damage Chills","",[],"","",1
57,3972,"All Damage Shocks","",[],"","",1
58,3973,"All Damage Shocks","",[],"","",1
59,3974,"Trail of Fire",76,[],"","",""
60,3975,"Trail of Fire",76,[],"","",""
61,3976,"Trail of Ice",77,[],"","",""
62,3977,"Trail of Ice",77,[],"","",""
63,3978,"Trail of Lightning",78,[],"","",""
64,3979,"Trail of Lightning",78,[],"","",""
65,3980,"Slow Resistant","",[],"","",1
66,3981,"Slow Resistant","",[],"","",1
67,3992,"Crit Resistant","",[],"","",1
68,3993,"Crit Resistant","",[],"","",1
69,3982,"Chaos Resistant","",[],"","",1
70,3983,"Chaos Resistant","",[],"","",1
71,3996,"Periodic Fire Explosions",69,[],"","",""
72,3997,"Periodic Fire Explosions",69,[],"","",""
73,3998,"Periodic Cold Explosions",70,[],"","",""
74,3999,"Periodic Cold Explosions",70,[],"","",""
75,4000,"Periodic Lightning Explosions",71,[],"","",""
76,4001,"Periodic Lightning Explosions",71,[],"","",""
77,4002,"Fire Explosion on Death","",[],"","",1
78,4003,"Cold Explosion on Death","",[],"","",1
79,4004,"Lighting Explosion on Death","",[],"","",1
80,4005,"Powerful Minions",66,[],"","",""
81,4006,"Powerful Minions",66,[],"","",""
82,4007,"Empowered",67,[],"","",""
83,4008,"Extra Physical Damage Aura","",[],"","",""
84,4009,"Extra Physical Damage Aura","",[],"","",""
85,4010,"Haste Aura","",[],"","",""
86,4011,"Haste Aura","",[],"","",""
87,4012,"Haste Aura","",[],"","",""
88,4013,"Energy Shield Aura","",[],"","",""
89,4014,"Energy Shield Aura","",[],"","",""
90,4015,"Energy Shield Aura","",[],"","",""
91,4016,"Elemental Resistance Aura","",[],"","",""
92,4017,"Elemental Resistance Aura","",[],"","",""
93,4018,"Temporal Bubble","",[],"","",""
94,4019,"Temporal Bubble","",[],"","",""
95,4020,"Temporal Bubble","",[],"","",""
96,4021,"Hinder Aura","",[],"","",""
97,4022,"Hinder Aura","",[],"","",""
98,4023,"Prevents Recovery Above 50%","",[],"","",""
99,4024,"Prevents Recovery Above 50%","",[],"","",""
