"rownum","rid","[rid]","[rid]","[rid]","bool","bool"
0,6475,"[2899,6475]",[],[],1,""
1,6474,"[134,6474]",[],[],1,""
2,17393,[17393],[],[],1,""
3,17394,[17394],[],[],1,""
4,153,[118],[],"[8,9,0,7]","",""
5,556,[118],"[8,9]",[],"",""
6,287,[118],[0],[],"",""
7,288,[118],[7],[],"",""
8,160,[118],"[5,74]",[],1,""
9,3567,[3566],[],[],"",""
10,12120,[12121],[],[],"",""
11,5737,[5737],[],[],"",""
12,3413,[70],[],[],"",""
13,1144,[1143],[],[],"",""
14,3694,[1039],[],[],"",""
15,3414,[210],[],[],"",""
16,2082,[144],[],[],"",""
17,3415,[119],[],[],"",""
18,2711,[171],[],[],"",""
19,2070,[110],[],[],"",""
20,6679,[135],[],[],"",""
21,2404,[24],[],[],"",""
22,9429,[641],[],[],"",""
23,747,[748],[],[],"",""
24,2080,[439],[],[],"",""
25,638,[640],[],[],"",""
26,6168,[6169],[],[],"",""
27,9620,[9621],[],[],"",""
28,3123,[128],[],[],"",""
29,3122,[122],[],[],"",""
30,2950,[2951],[],[],"",""
31,2069,[1086],[],[],"",""
32,1095,[1096],[],[],"",""
33,2981,[2980],[],[],"",""
34,2795,[2794],[],[],"",""
35,3608,[3607],[],[],"",""
36,3610,[3609],[],[],"",""
37,3605,[3603],[],[],"",""
38,3606,[3604],[],[],"",""
39,3699,[3698],[],[],"",""
40,3980,[30],[],[],"",""
41,3981,[31],[],[],"",""
42,3580,[3581],[],[],"",""
43,4362,[4363],[],[],"",""
44,4422,[978],[],[],"",""
45,4423,[2358],[],[],"",""
46,18509,[140],[],[],"",""
47,18508,[138],[],[],"",""
48,18510,[142],[],[],"",""
49,4493,[436],[],[],"",""
50,3979,[438],[],[],"",""
51,5038,[5037],[],[],"",""
52,5044,[3266],[],[],"",""
53,5135,[5136],[],[],"",""
54,5167,[562],[],[],"",""
55,5699,[5700],[],[],"",""
56,6389,[43],[],[],"",""
57,6390,[44],[],[],"",""
58,6391,[50],[],[],"",""
59,6392,[51],[],[],"",""
60,6393,[57],[],[],"",""
61,6394,[58],[],[],"",""
62,6395,[28],[],[],"",""
63,6396,[29],[],[],"",""
64,11874,[43],[],[],"",""
65,11875,[44],[],[],"",""
66,11872,[50],[],[],"",""
67,11873,[51],[],[],"",""
68,11876,[57],[],[],"",""
69,11877,[58],[],[],"",""
70,11870,[28],[],[],"",""
71,11871,[29],[],[],"",""
72,6397,[64],[],[],"",""
73,6398,[65],[],[],"",""
74,6404,[6403],[],[],"",""
75,6433,[6434],[],[],"",""
76,6439,[6436],[],[],"",""
77,6440,[6437],[],[],"",""
78,6441,[6438],[],[],"",""
