"rownum","Id","bool_8"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"Topic",""
5,"DIVIDER2",""
6,"Quests",1
7,"QuestReward",1
8,"NextPresetQuest",1
9,"BanditRespec",1
10,"DIVIDER3",1
11,"SynthesisOptions",1
12,"MetamorphosisOptions",1
13,"BuyAzuriteItems",1
14,"ViewAncestralTrialShop",1
15,"ViewIncursionTemple",1
16,"OpenIncursionPortal",1
17,"OpenIncursionTemple",1
18,"ItemiseIncursionTemple",""
19,"OpenHeistNPCInventory",1
20,"OpenHeistNPCBlueprint",1
21,"OpenExpeditionMap",1
22,"OpenExpeditionStorage",1
23,"RightMenu",1
24,"RespecHellscapePassives",1
25,"RespecPassivePointsForGold",1
26,"BuyItems",1
27,"SellItems",1
28,"UnveilItems",1
29,"Crafting",1
30,"DIVIDER4",1
31,"PVP",1
32,"ArenaPVP",1
33,"DIVIDER5",1
34,"TradeDivinationCards",1
35,"CadiroOffer",1
36,"ViewPantheon",1
37,"EndlessHeistContracts",1
38,"DIVIDER6",1
39,"SelectHideout",1
40,"SelectGuildHideout",1
41,"InviteToHideout",1
42,"BuyExpeditionItems",1
43,"BuySanctumRelics",1
44,"BuyAzmeriItems",1
45,"ChooseAzmeriAscendancy",1
46,"AzmeriChooseOneUnique",1
47,"ChooseOneUnique",1
48,"ViewNecropolisCorpses",1
49,"VisitNecropolis",1
50,"Scry",1
51,"CurrencyExchange",1
52,"VillageRecruitment",1
53,"VillageDisenchanting",1
54,"VillageShipping",1
55,"VillageManageTown",1
56,"BuyItemsFromInstanceLocalVendor",1
