"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","string_32","[rid]_40"
0,"LabDefenceAisling1","Add a Veiled Mod to a Rare item","Ajoute un Mod crypté à un Objet rare","Fügt einem seltenen Gegenstand einen verhüllten Modifikator hinzu","レアアイテムにヴェールモッドを1個追加する","희귀 아이템에 장막 속성 추가","Adiciona um Mod Oculto em um item Raro","Добавить завуалированное свойство на редкий предмет","Agrega un mod. encriptado a un objeto raro","เพิ่ม ม็อดผนึก 1 อย่าง ให้กับ ไอเทมแรร์","新增 1 個隱匿詞綴至稀有物品上","add_veiled_mods 0","","","","","","","","","","","",[]
1,"LabDefenceAisling2","Add a Veiled Mod to a Rare item, with a low chance of adding a second Veiled Mod","Ajoute un Mod crypté à un Objet rare, avec de faibles chances d'en ajouter un second","Fügt einem seltenen Gegenstand einen verhüllten Modifikator hinzu, und, mit einer geringen Chance, einen zweiten verhüllten Modifikator","レアアイテムにヴェールモッドを1個追加し、低い確率で2個目のヴェールモッドを追加する","희귀 아이템에 장막 속성 추가, 드물게 두 번째 장막 속성 추가","Adiciona um Mod Oculto em um item Raro, com uma pequena chance de adicionar um segundo Mod Oculto","Добавить завуалированное свойство на редкий предмет с небольшим шансом добавления второго завуалированного свойства","Agrega un mod. encriptado a un objeto raro, con una probabilidad baja de agregar un segundo mod. encriptado","เพิ่ม ม็อดผนึก 1 อย่าง ให้กับ ไอเทมแรร์ โดยมีโอกาสต่ำที่จะเพิ่ม ม็อดผนึก อย่างที่สอง","新增 1 個隱匿詞綴至稀有物品上，低機率新增第 2 個隱匿詞綴","add_veiled_mods 5","","","","","","","","","","","",[]
2,"LabDefenceAisling3","Add a Veiled Modifier to a Rare item, with a chance of adding a second Veiled Modifier","Ajoute un Mod crypté à un Objet rare, avec des chances d'en ajouter un second","Fügt einem seltenen Gegenstand einen verhüllten Modifikator hinzu, und, mit einer Chance, einen zweiten verhüllten Modifikator","レアアイテムにヴェールモッドを1個追加し、確率で2個目のヴェールモッドを追加する","희귀 아이템에 장막 속성 추가, 종종 두 번째 장막 속성 추가","Adiciona um Modificador Oculto em um item Raro, com uma pequena chance de adicionar um segundo Mod Oculto","Добавить завуалированное свойство на редкий предмет с шансом добавления второго завуалированного свойства","Agrega un modificador encriptado a un objeto raro, con una probabilidad de agregar un segundo modificador encriptado","เพิ่ม ม็อดผนึก 1 อย่าง ให้กับ ไอเทมแรร์ โดยมีโอกาสที่จะเพิ่ม ม็อดผนึก อย่างที่สอง","新增 1 個隱匿詞綴至稀有物品上，有機率新增第 2 個隱匿詞綴","add_veiled_mods 15","","","","","","","","","","","",[]
3,"LabDefenceGravicius1","Swap a Divination Card with a new random one","Remplace une Carte divinatoire par une autre choisie au hasard","Tauscht eine Weissagungskarte gegen eine neue zufällige Karte","占いカード1枚をランダムな新しい占いカードに変化させる","점술 카드를 무작위로 변경","Troque uma Carta de Adivinhação por uma outra","Обменять гадальную карту на случайную новую","Intercambia una carta de adivinación por otra aleatoria","สลับ ไพ่พยากรณ์ 1 ใบ เป็นใบใหม่แบบสุ่ม 1 ใบ","隨機替換 1 張新命運卡","swap_divination_card BetrayalDivCardSwap1","","","","","","","","","","","",[]
4,"LabDefenceGravicius2","Swap a Divination Card with a new random one","Remplace une Carte divinatoire par une autre choisie au hasard","Tauscht eine Weissagungskarte gegen eine neue zufällige Karte","占いカード1枚をランダムな新しい占いカードに変化させる","점술 카드를 무작위로 변경","Troque uma Carta de Adivinhação por uma outra","Обменять гадальную карту на случайную новую","Intercambia una carta de adivinación por otra aleatoria","สลับ ไพ่พยากรณ์ 1 ใบ เป็นใบใหม่แบบสุ่ม 1 ใบ","隨機替換 1 張新命運卡","swap_divination_card BetrayalDivCardSwap2","","","","","","","","","","","",[]
5,"LabDefenceGravicius3","Swap a Divination Card with a new random one","Remplace une Carte divinatoire par une autre choisie au hasard","Tauscht eine Weissagungskarte gegen eine neue zufällige Karte","占いカード2枚をランダムな新しい占いカードに変化させる","점술 카드를 무작위로 변경","Troque uma Carta de Adivinhação por uma outra","Обменять гадальную карту на случайную новую","Intercambia una carta de adivinación por otra aleatoria","สลับ ไพ่พยากรณ์ 1 ใบ เป็นใบใหม่แบบสุ่ม 1 ใบ","隨機替換 1 張新命運卡","swap_divination_card BetrayalDivCardSwap3","","","","","","","","","","","",[]
6,"AssassinHillock1","Modify a Map's quality to 25%","Fait passer la Qualité d'une Carte à 25%","Verändert die Qualität einer Karte auf 25%","マップの品質を25%にする","지도의 퀄리티를 25%로 수정","Modifica a qualidade de um Mapa para 25%","Улучшить качество карты до 25%","Modifica la calidad de un mapa al 25%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 25%","調整地圖品質至 25%","set_quality map 25","","","","","","","","","","","",[]
7,"AssassinHillock2","Modify a Map's quality to 30%","Fait passer la Qualité d'une Carte à 30%","Verändert die Qualität einer Karte auf 30%","マップの品質を30%にする","지도의 퀄리티를 30%로 수정","Modifica a qualidade de um Mapa para 30%","Улучшить качество карты до 30%","Modifica la calidad de un mapa al 30%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 30%","調整地圖品質至 30%","set_quality map 30","","","","","","","","","","","",[]
8,"AssassinHillock3","Modify a Map's quality to 35%","Fait passer la Qualité d'une Carte à 35%","Verändert die Qualität einer Karte auf 35%","マップの品質を35%にする","지도의 퀄리티를 35%로 수정","Modifica a qualidade de um Mapa para 35%","Улучшить качество карты до 35%","Modifica la calidad de un mapa al 35%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 35%","調整地圖品質至 35%","set_quality map 35","","","","","","","","","","","",[]
9,"BaseDefenceHillock1","Modify an Armour Piece's quality to 24%","Fait passer la Qualité d'une armure à 24%","Verändert die Qualität eines Rüstungsstücks auf 24%","防具の品質を24%にする","방어구의 퀄리티를 24%로 수정","Modifica a qualidade de uma Armadura para 24%","Улучшить качество доспеха до 24%","Modifica la calidad de una pieza de armadura al 24%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 24%","調整護甲品質至 24%","set_quality armour 24","","","","","","","","","","","",[]
