"rownum","Id","CharactersKey","BaseItemTypesKey","SocketColours","WorldAreasKey"
0,"Dex1",3,593,"GGG",1333
1,"Dex2",3,1685,"",1333
2,"Dex3",3,1569,"",1333
3,"Dex4",3,1336,"",1333
4,"Dex5",3,1,"",1333
5,"Dex6",3,1,"",1333
6,"Dex7",3,1839,"",1333
7,"Dex8",3,1588,"",1333
8,"Dex9",3,484,"GGR",1333
9,"Dex10",3,484,"GGR",1333
10,"Dex11",3,1576,"",1333
11,"Dex12",3,1849,"",1333
12,"Str1",0,537,"RRR",1333
13,"Str2",0,840,"RRR",1333
14,"Str3",0,1655,"",1333
15,"Str4",0,1568,"",1333
16,"Str5",0,1336,"",1333
17,"Str6",0,1,"",1333
18,"Str7",0,1,"",1333
19,"Str8",0,700,"RRR",1333
20,"Str9",0,1798,"",1333
21,"Str10",0,537,"RRG",1333
22,"Int1",1,369,"BBB",1333
23,"Int2",1,879,"BBB",1333
24,"Int3",1,1561,"",1333
25,"Int4",1,1819,"",1333
26,"Int5",1,1336,"",1333
27,"Int6",1,1,"",1333
28,"Int7",1,1,"",1333
29,"Int8",1,1626,"",1333
30,"Int9",1,1845,"",1333
31,"Int10",1,369,"BBG",1333
32,"Int11",1,565,"BBB",1333
33,"Int12",1,565,"BBG",1333
34,"StrDex1",4,484,"GRG",1333
35,"StrDex2",4,454,"GRR",1333
36,"StrDex3",4,1576,"",1333
37,"StrDex4",4,1569,"",1333
38,"StrDex5",4,1336,"",1333
39,"StrDex6",4,1,"",1333
40,"StrDex7",4,1,"",1333
41,"StrDex8",4,1572,"",1333
42,"StrDex9",4,1798,"",1333
43,"StrDex10",4,650,"GRR",1333
44,"StrInt1",6,565,"RBB",1333
45,"StrInt2",6,565,"RBR",1333
46,"StrInt3",6,1568,"",1333
47,"StrInt4",6,1798,"",1333
48,"StrInt5",6,1336,"",1333
49,"StrInt6",6,1,"",1333
50,"StrInt7",6,1,"",1333
51,"StrInt8",6,1845,"",1333
52,"StrInt9",6,622,"RRR",1333
53,"StrInt10",6,1819,"",1333
54,"DexInt1",5,395,"BGG",1333
55,"DexInt2",5,395,"BGB",1333
56,"DexInt3",5,1626,"",1333
57,"DexInt4",5,1336,"",1333
58,"DexInt5",5,1,"",1333
59,"DexInt6",5,1,"",1333
60,"DexInt7",5,1819,"",1333
61,"DexInt8",5,1703,"",1333
62,"DexInt9",5,1706,"",1333
63,"DexInt10",5,369,"BBB",1333
64,"DexInt11",5,369,"BGB",1333
65,"StrDexInt1",2,454,"GRG",1333
66,"StrDexInt2",2,675,"GRR",1333
67,"StrDexInt3",2,1743,"",1333
68,"StrDexInt4",2,1572,"",1333
69,"StrDexInt5",2,1336,"",1333
70,"StrDexInt6",2,1,"",1333
71,"StrDexInt7",2,1,"",1333
72,"StrDexInt8",2,454,"GRR",1333
73,"StrDexInt9",2,1703,"",1333
74,"StrDexInt10",2,1626,"",1333
75,"StrDexInt11",2,565,"BGR",1333
76,"StrDexInt12",2,565,"BGB",1333
77,"StrDexInt13",2,1569,"",1333
78,"Dex2_1",3,1839,"",1348
79,"Dex2_2",3,1588,"",1348
80,"Dex2_3",3,1586,"",1348
81,"Dex2_4",3,1685,"",1348
82,"Dex2_5",3,1572,"",1348
83,"Dex2_6",3,1,"",1348
84,"Dex2_7",3,1,"",1348
85,"Dex2_8",3,1336,"",1348
86,"Dex2_9",3,484,"G",1348
87,"Dex2_10",3,484,"G",1348
88,"Dex2_11",3,593,"GG",1348
89,"Dex2_12",3,860,"G",1348
90,"Dex2_13",3,1849,"",1348
91,"Str2_1",0,1798,"",1348
92,"Str2_2",0,1568,"",1348
93,"Str2_3",0,1655,"",1348
94,"Str2_4",0,1,"",1348
95,"Str2_5",0,1,"",1348
96,"Str2_6",0,1336,"",1348
97,"Str2_7",0,700,"RR",1348
98,"Str2_8",0,537,"R",1348
99,"Str2_9",0,840,"R",1348
100,"Int2_1",1,1626,"",1348
101,"Int2_2",1,1845,"",1348
102,"Int2_3",1,1819,"",1348
103,"Int2_4",1,1561,"",1348
104,"Int2_5",1,1,"",1348
105,"Int2_6",1,1,"",1348
106,"Int2_7",1,1336,"",1348
107,"Int2_8",1,369,"B",1348
108,"Int2_9",1,369,"B",1348
109,"Int2_10",1,879,"B",1348
110,"StrDex2_1",4,1569,"",1348
111,"StrDex2_2",4,1798,"",1348
112,"StrDex2_3",4,1572,"",1348
113,"StrDex2_4",4,1576,"",1348
114,"StrDex2_5",4,1,"",1348
115,"StrDex2_6",4,1,"",1348
116,"StrDex2_7",4,1336,"",1348
117,"StrDex2_8",4,484,"R",1348
118,"StrDex2_9",4,484,"G",1348
119,"StrDex2_10",4,675,"GR",1348
120,"StrDex2_11",4,860,"G",1348
121,"StrDex2_12",4,840,"R",1348
122,"StrInt2_1",6,1568,"",1348
123,"StrInt2_2",6,1798,"",1348
124,"StrInt2_3",6,1626,"",1348
125,"StrInt2_4",6,1845,"",1348
126,"StrInt2_5",6,1819,"",1348
127,"StrInt2_6",6,1624,"",1348
128,"StrInt2_7",6,1,"",1348
129,"StrInt2_8",6,1,"",1348
130,"StrInt2_9",6,1336,"",1348
131,"StrInt2_10",6,565,"R",1348
132,"StrInt2_11",6,565,"B",1348
133,"StrInt2_12",6,700,"RR",1348
134,"StrInt2_13",6,840,"R",1348
135,"StrInt2_14",6,879,"B",1348
136,"DexInt2_1",5,1839,"",1348
137,"DexInt2_2",5,1626,"",1348
138,"DexInt2_3",5,1703,"",1348
139,"DexInt2_4",5,1819,"",1348
140,"DexInt2_5",5,1629,"",1348
141,"DexInt2_6",5,1,"",1348
142,"DexInt2_7",5,1,"",1348
143,"DexInt2_8",5,1336,"",1348
144,"DexInt2_9",5,395,"G",1348
145,"DexInt2_10",5,395,"G",1348
146,"DexInt2_11",5,369,"B",1348
147,"DexInt2_12",5,369,"B",1348
148,"DexInt2_13",5,860,"G",1348
149,"DexInt2_14",5,879,"B",1348
150,"StrDexInt2_1",2,1,"",1348
151,"StrDexInt2_2",2,1,"",1348
152,"StrDexInt2_3",2,1336,"",1348
153,"StrDexInt2_4",2,1743,"",1348
154,"StrDexInt2_5",2,1798,"",1348
155,"StrDexInt2_6",2,1588,"",1348
156,"StrDexInt2_7",2,1819,"",1348
157,"StrDexInt2_8",2,369,"B",1348
158,"StrDexInt2_9",2,675,"GR",1348
159,"StrDexInt2_10",2,484,"G",1348
160,"StrDexInt2_11",2,484,"R",1348
161,"StrDexInt2_12",2,369,"B",1348
