"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_16","i32_20","u16_24","string_26","[i32]_34"
0,"NonEleBowRanger1","\""Even a lawless land needs rules. Even anarchy requires order.\"" \r\n- Kylian Cyaxan","« Même une terre sans foi ni loi a besoin de règles. Même l'anarchie a besoin d'ordre. » — Kylian Cyaxan","\""Selbst ein gesetzloses Land braucht Regeln. Selbst die Anarchie verlangt nach Ordnung.\"" \r\n– Kylian Cyaxan","\""Even a lawless land needs rules. Even anarchy requires order.\"" \r\n- Kylian Cyaxan","\""법이 미치지 않는 곳에도 규칙은 필요하고, 무정부 상태에도 질서는 필요하지.\"" - 킬리안 사이악산","\""Até uma terra sem lei precisa de regras. Até a anarquia exige ordem.\""\r\n- Kylian Cyaxan","«‎Даже в краю беззакония нужны правила. Даже анархия требует порядка»\r\n– Килиан Шиазан","\""Hasta una tierra sin ley necesita normas. Hasta la anarquía requiere orden\"". - Kylian Cyaxan","\""แผ่นดินไร้กฎยังต้องการกฎหมาย อนาธิปไตยยังต้องการความ\r\nเรียบร้อย\"" - ไคเลียน ไซยาซัน","「法外之地仍須規則，無法之境亦講究秩序。」- 奇里安．塞亞珊",153891,0,0,"ү","[0,1000]"
1,"NonEleBowRanger2","As Cyaxan's criminal empire grew, so too did its need for enforcers. The Trarthan militia was its answer. ","Plus l'empire criminel de Cyaxan grandissait, plus il avait besoin de faire respecter ses lois. La milice trarthienne était la solution. ","Mit der Größe des cyaxanischen kriminellen Imperiums wuchs auch sein Bedarf an Vollstreckern. Die trarthanische Miliz war die Antwort.","As Cyaxan's criminal empire grew, so too did its need for enforcers. The Trarthan militia was its answer. ","사이악산의 범죄 제국이 성장할수록, 집행자에 대한 필요도 높아졌다. 그리고 그 해답이 바로 트라투스 민병대였다.","À medida que o império do crime de Cyaxan crescia, crescia também a necessidade de quem fizesse valer suas vontades. A resposta foi a milícia de Trarthus. ","По мере роста криминальной империи Шиазана росла нужда и в мордоворотах. Ответом стало ополчение Тератны.","A medida que creció el imperio criminal de Cyaxan, también lo hizo su necesidad de tener ejecutores. La milicia trarthana fue su respuesta.","ยามที่จักรวรรดิอาชญากรของไซยาซันเติบโต ความต้องการผู้คุม\r\nก็เติบใหญ่ ทหารอาสาทาร์ทานจึงเป็นคำตอบ","隨著塞亞珊的罪惡帝國拓展版圖，維持秩序的人力需求也與日俱增，而特拉特斯民兵就是他們的因應方案。 ",156207,0,0,"ү","[0,1000]"
2,"NonEleBowRanger3","Order came later. At first, the Trarthan militia was little more than muscle - sold to the highest house, and drunk on its coin.","L'ordre vint plus tard. Au début, la milice trarthienne était à peine plus que des gros bras : achetée par la plus grande maison, et saoule avec son argent.","Ordnung kam später. Zuerst war die trarthanische Miliz nicht mehr als ein Haufen Schläger - verkauft an das höchste Haus und betrunken auf dessen Kosten.","Order came later. At first, the Trarthan militia was little more than muscle - sold to the highest house, and drunk on its coin.","질서가 찾아온 것은 나중의 일이었다. 본디 트라투스의 민병대는 가장 높은 값을 부르는 가문에 충성하고 그 돈으로 술독에 빠져 사는 폭력배들이나 다름없었다.","A ordem veio depois. No início, a milícia de Trarthus era apenas uma força bruta vendida à casa que pagasse mais, e nadava em dinheiro.","Порядок пришёл позже. Поначалу ополчение Тератны было сборищем громил, сворачивавших шеи по приказу того, кто больше заплатит, и напивавшихся на барыш.","La orden vino después. Al principio, la milicia trarthana era poco más que músculo; se vendía a la mejor casa y bebía de sus monedas.","ความเป็นระเบียบตามมาในภายหลัง ภายแรกทหารอาสาทาร์ทาน\r\nเป็นแค่กลุ่มคนมีกำลังที่รับเหรียญจากบ้านที่รวยที่สุดมาเมาหยำเป","在以秩序為訴求前，特拉特斯民兵和看錢辦事的打手們並無不同，為出價最高的家族辦事並從中謀利。",177557,0,0,"ү","[0,1000]"
3,"NonEleBowRanger4","The Trarthan militia delivers justice swiftly - usually before a crime is even committed.","La milice trarthienne rend la justice rapidement. La plupart du temps avant même qu'un crime soit commis.","Die trarthanische Miliz sorgt für schnelle Gerechtigkeit - normalerweise bevor überhaupt ein Verbrechen begangen wurde.","The Trarthan militia delivers justice swiftly - usually before a crime is even committed.","트라투스 민병대는 신속하게, 대개는 범죄가 일어나기도 전에 정의의 심판을 내린다.","A milícia de Trarthus faz justiça rápido, normalmente antes mesmo de o crime acontecer.","Ополчение в Тератне несло правосудие с большой быстротой – обычно ещё до самого преступления.","La milicia trarthana imparte justicia con rapidez, normalmente antes incluso de que se cometa un crimen.","ทหารรับจ้างทาร์ทานผดุงความยุติธรรมอย่างเร็วไว\r\nส่วนใหญ่มักเกิดขึ้นก่อนที่จะเกิดอาชญากรรมใดๆ เสียอีก","特拉特斯民兵十分具有效率，通常在「罪行」發生前便處理妥當。",181147,0,0,"ү","[0,1000]"
4,"NonEleBowRanger5","\""The militia don't keep the peace. They keep Trarthus profitable.\"" ","« La milice ne maintient pas la paix. Elle maintient la rentabilité de Trarthus. » ","\""Die Miliz ist nicht dazu da, den Frieden zu bewahren. Sie ist dazu da, den Profit von Trarthus zu bewahren.\""","\""The militia don't keep the peace. They keep Trarthus profitable.\"" ","\""민병대의 목적은 평화를 유지하는 게 아니야. 트라투스에 돈을 벌어다 주는 거지.\""","\""A milícia não mantém a paz. Mantém o lucro de Trarthus.\"" ","«Ополчение не мир поддерживает. Оно поддерживает Тератну прибыльной».","\""La milicia no mantiene la paz. Mantiene a Trarthus productiva\"". ","\""ทหารอาสาไม่ได้รักษาความสงบ แต่ทำให้ทาร์ทัสทำกำไรต่อไปได้\r\nต่างหาก\""","「民兵們並非維持秩序與和平，而是讓特拉特斯始終有利可圖。」 ",132727,0,0,"ү","[0,1000]"
5,"NonEleBowRanger6","\""They weren't just enforcers. They were reminders - of who ruled Korathin's gutters, and what disobedience cost.\"" ","« Ce ne sont pas que des exécuteurs. Ils sont un rappel, de celui qui dirige les rues de Korathin, et du coût de la désobéissance. » ","\""Sie waren nicht nur Vollstrecker. Sie waren da, um uns daran zu erinnern, wer über die Gossen von Korathin herrschte und was der Preis des Ungehorsams war.\""","\""They weren't just enforcers. They were reminders - of who ruled Korathin's gutters, and what disobedience cost.\"" ","\""그들은 단순한 집행자가 아니라 코라틴의 지배자가 누구이며, 불복종의 대가가 무엇인지 일깨워주는 존재였다.\""","\""Não eram só capangas. Eram o lembrete de quem mandava nos becos de Korathin, e do preço da desobediência.\"" ","«Это были не просто громилы. Это было напоминание – о том, кто правил в канавах Корафина, и о том, чего стоило неповиновение».","\""No eran solo ejecutores. Eran recordatorios de quién gobernaba en las alcantarillas de Korathin y lo que costó esa desobediencia\"".","\""พวกเขาไม่ได้เป็นเพียงผู้คุมเท่านั้น แต่เป็นเครื่องเตือนใจว่า\r\nใครเป็นใหญ่ในตรอกของโคราธิน และการขัดขืนมีราคาเช่นไร\""","「他們不只維護秩序，更隨時提醒著誰才是科拉廷的主事者，惹上他們會付出什麼樣的代價。」 ",193281,0,0,"ү","[0,1000]"
6,"NonEleBowRanger7","For a time, the militia had the slums on lockdown. Then Cyaxan flooded them with gems - and the streets ran red with blood. ","Pendant un temps, la milice confina les bas-quartiers. Puis Cyaxan les recouvrit de gemmes, et les rues furent inondées de sang. ","Die Miliz schottete die Slums für eine Weile ab. Dann überschütteten die Cyaxan sie mit Gemmen - und die Straßen waren rot vor Blut.","For a time, the militia had the slums on lockdown. Then Cyaxan flooded them with gems - and the streets ran red with blood. ","한동안은 민병대가 빈민가를 봉쇄했다. 그러나 사이악산이 그곳에 보석을 뿌려대자, 길거리가 피바다로 변했다.","Por um tempo, as favelas ficaram sob o controle da milícia. Mas aí Cyaxan as afundou em gemas, e as ruas se tingiram de sangue. ","Какое-то время ополчение держало трущобы в изоляции. Шиазан наводнил их камнями – и улицы покраснели от крови.","Durante un tiempo, la milicia tenía las barriadas en confinamiento. Entonces, Cyaxan los inundó de gemas, y las calles se tiñeron de sangre. ","ทหารอาสาคุมสลัมได้พักหนึ่ง แล้วไซยาซันก็มอบมณีมากมาย\r\nให้กับพวกเขา ถนนจึงท่วมไปด้วยเลือด","民兵曾讓貧民窟唯命是從，後來塞亞珊家族讓寶石在貧民窟流通……街頭巷尾便濺血事件頻傳。 ",180353,0,0,"ү","[0,1000]"
7,"NonEleBowRanger8","Of all Kylian Cyaxan's sins, virtue gems were the most costly. Blinded by greed, he never foresaw the chaos they'd unleash.","De tous les péchés de Kylian Cyaxan, les gemmes de vertu furent les plus préjudiciables. Aveuglé par la cupidité, il ne put prédire le chaos qu'elles déchaîneraient.","Von allen Sünden, die Kylian Cyaxan je beging, hatten die Machtgemmen den höchsten Preis. Von Gier geblendet war er unfähig vorherzusehen, welchen Chaos sie entfesseln würden.","Of all Kylian Cyaxan's sins, virtue gems were the most costly. Blinded by greed, he never foresaw the chaos they'd unleash.","킬리안 사이악산이 저지른 수많은 죄악 중, 가장 값비싼 대가가 뒤따랐던 것은 힘의 마석이었다. 탐욕에 눈이 먼 그는 마석이 불러올 혼란을 끝내 예견하지 못했다.","De todos os pecados de Kylian Cyaxan, as gemas da virtude foram o mais caro. Cego pela ganância, ele nunca previu o caos que causariam.","Из всех грехов Килиана Шиазана камни добродетели обошлись дороже всего. Ослеплённый жадностью, он не предвидел хаоса, который они принесут.","De todos los pecados de Kylian Cyaxan, las gemas de virtud eran el más caro. Cegado por la codicia, nunca previó el caos que liberarían.","ในบาปทั้งหลายของไคเลียน ไซยาซัน มณีบารมีนั้นราคาแพงยิ่ง\r\nเมื่อความโลภบังตา เขาจึงไม่เห็นว่าจะเกิดความวุ่นวายได้ถึงเพียงใด","奇里安．塞亞珊的諸多惡行裡，古靈寶石是影響最深刻的一個。他受貪婪矇蔽雙眼，未曾設想隨之而來的失序狀態。",151763,0,0,"ү","[0,1000]"
8,"NonEleBowRanger9","Kylian Cyaxan demanded a swift response to the chaos in the streets. The militia answered - virtue gems in hand.","Kylian Cyaxan demanda une réponse rapide au chaos dans les rues. La milice répondit, gemmes de vertu en main.","Kylian Cyaxan forderte eine schnelle Antwort auf da Chaos in den Straßen. Die Miliz antwortete - mit Machtgemmen in ihren Händen.","Kylian Cyaxan demanded a swift response to the chaos in the streets. The militia answered - virtue gems in hand.","혼란이 길거리를 뒤덮자, 킬리안 사이악산은 신속한 대응을 요구했다. 그러자 힘의 마석을 쥔 민병대가 이에 응했다.","Kylian Cyaxan exigiu uma resposta imediata ao caos nas ruas. A milícia atendeu, armada com gemas da virtude.","Килиан Шиазан потребовал быстрого ответа на творящийся на улицах хаос. Ополчение ответило – с камнями добродетелей в руках.","Kylian Cyaxan exigió una respuesta rápida al caos de las calles. La milicia respondió, con las gemas de virtud en la mano.","ไคเลียน ไซยาซันสั่งให้โต้ตอบกับความวุ่นวายบนท้องถนนโดยไว\r\nทหารอาสาตอบรับ... พร้อมกับมณีบารมีในมือ","奇里安．塞亞珊要求儘快解決亂象。民兵們同樣以古靈寶石做為回應。",149095,0,0,"ү","[0,1000]"
9,"NonEleBowRanger10","The militia met fire with fire - gems for gems, blood for blood.","La milice combattit le feu par le feu — gemmes pour gemmes, sang pour sang.","Die Miliz bekämpfte Feuer mit Feuer - Gemmen gegen Gemmen, Blut für Blut.","The militia met fire with fire - gems for gems, blood for blood.","민병대는 불에는 불, 마석에는 마석, 피에는 피로 응수했다.","A milícia revidou à altura: gema por gema, sangue por sangue.","Ополчение встретило огонь огнём – камень за камень, кровь за кровь.","La milicia se enfrentó al fuego con fuego, a las gemas con gemas y a la sangre con sangre.","ทหารอาสาเอาไฟมาสู้กับไฟ เอามณีมาประชันกับมณี เอาเลือดมา\r\nล้างเลือด","民兵們的作為讓此處血流成河。",168324,0,0,"ү","[0,1000]"
