"rownum","Id","MonsterVariety","i32_24","rid_28","i32_44","i32_48","Icon","House","row_68","[rid]_76","MonsterVarietyAllied"
0,"ElementalWitch",2617,0,48,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconWitch","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",4,[],2630
1,"ChaosMinionWitch",2618,0,49,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconWitch","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",4,[],2631
2,"TrapsMinesShadow",2619,0,50,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconShadow","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",3,[],2632
3,"Crit1HShadow",2620,0,51,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconShadow","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",3,[],2633
4,"MeleeAOEMarauder",2621,0,52,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconMarauder","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",0,[],2634
5,"MeleeStrikesMarauder",2622,0,53,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconMarauder","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",0,[],2635
6,"MiscScion",2623,0,54,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconScion","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseBardiya",6,[],2636
7,"AurasMinionsTemplar",2625,0,55,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconTemplar","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",5,[],2638
8,"PhysConvertTemplar",2624,0,56,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconTemplar","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseKeita",5,[],2637
9,"NonEleBowRanger",2626,0,57,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconRanger","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",2,[],2639
10,"EleBowRanger",2627,0,58,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconRanger","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseCyaxan",2,[],2640
11,"PhysicalDuelist",2628,0,59,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconDuelist","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",1,[],2641
12,"MeleeAOEStrikeDuelist",2629,0,60,0,0,"Art/2DArt/UIImages/InGame/MercenariesofTrarthus/MercClassIconDuelist","Art/2DArt/UIImages/InGame/MercenariesofTrarthus/HouseAzadi",1,[],2642
