"rownum","Id","WorldAreasKey","MonsterVarietiesKeys","[i32]_40"
0,"ProxyKey1",6,"[1272,1273,1274]","[78,0,122,0,160]"
1,"ProxyKey2",7,[1102],"[78,0,122]"
2,"ProxyKey3",16,[507],"[446,0,480]"
3,"ProxyKey16",33,[991],"[630,0]"
4,"ProxyKey17",36,[1114],[764]
5,"ProxyKey11",47,"[1568,1569]","[862,0]"
6,"ProxyKey13",49,[1966],[984]
7,"ProxyKey229",129,"[1983,2062,2116,1598,1675,3191]",[1152]
8,"ProxyKey8",485,"[4903,4902,4905]",[1274]
9,"ProxyKey15",486,"[4903,4902,4905]",[1274]
10,"ProxyKey18",487,"[4903,4902,4905]",[1274]
11,"ProxyKey19",488,"[4903,4902,4905]",[1274]
12,"ProxyKey21",489,"[4903,4902,4905]",[1274]
13,"ProxyKey22",490,"[4903,4902,4905]",[1274]
14,"ProxyKey31",491,"[4903,4902,4905]",[1274]
15,"ProxyKey32",492,"[4903,4902,4905]",[1274]
16,"ProxyKey33",493,"[4903,4902,4905]",[1274]
17,"ProxyKey34",494,"[4903,4902,4905]",[1274]
18,"ProxyKey36",495,"[4903,4902,4905]",[1274]
19,"ProxyKey37",485,[4922],[2158]
20,"ProxyKey43",486,[4922],[2158]
21,"ProxyKey44",487,[4922],[2158]
22,"ProxyKey7",488,[4922],[2158]
23,"ProxyKey12",489,[4922],[2158]
24,"ProxyKey20",490,[4922],[2158]
25,"ProxyKey23",491,[4922],[2158]
26,"ProxyKey26",492,[4922],[2158]
27,"ProxyKey29",493,[4922],[2158]
28,"ProxyKey35",494,[4922],[2158]
29,"ProxyKey39",495,[4922],[2158]
30,"ProxyKey51",558,"[4903,4902,4905]",[1274]
31,"ProxyKey52",559,"[4903,4902,4905]",[1274]
32,"ProxyKey53",560,"[4903,4902,4905]",[1274]
33,"ProxyKey54",561,"[4903,4902,4905]",[1274]
34,"ProxyKey55",562,"[4903,4902,4905]",[1274]
35,"ProxyKey56",563,"[4903,4902,4905]",[1274]
36,"ProxyKey57",564,"[4903,4902,4905]",[1274]
37,"ProxyKey58",565,"[4903,4902,4905]",[1274]
38,"ProxyKey59",566,"[4903,4902,4905]",[1274]
39,"ProxyKey60",567,"[4903,4902,4905]",[1274]
40,"ProxyKey61",568,"[4903,4902,4905]",[1274]
