"rownum","Id","ItemVisualIdentity","ItemClass","i32_40"
0,"UniqueOneHandSword1",8004,9,1
1,"UniqueBow2",8013,13,1
2,"UniqueWand4",9988,8,1
3,"UniqueClaw4",9778,6,3
4,"UniqueStaff4",10025,14,4
5,"UniqueStaff9",10947,14,4
6,"UniqueBow4",9069,13,5
7,"UniqueDagger11",11716,7,5
8,"UniqueOneHandAxe3",10021,11,6
9,"UniqueRapier1",9048,10,7
10,"UniqueBow8",9590,13,9
11,"UniqueOneHandSword12",11725,9,10
12,"UniqueOneHandMace6",11727,12,10
13,"UniqueTwoHandSword2",8023,15,12
14,"UniqueClaw9",11721,6,12
15,"UniqueWand12",12269,8,24
16,"UniqueTwoHandAxe3",9072,16,13
17,"UniqueStaff13",11720,57,13
18,"UniqueDagger12",11717,7,15
19,"UniqueOneHandAxe7",11723,11,16
20,"UniqueTwoHandMace1",8019,17,17
21,"UniqueRapier2",9773,10,17
22,"UniqueDagger3",9062,56,20
23,"UniqueOneHandMace1",9067,12,20
24,"UniqueOneHandMace7",11728,12,20
25,"UniqueOneHandSword16",12337,9,20
26,"UniqueTwoHandMace7",9898,17,22
27,"UniqueOneHandSword7",10172,10,22
28,"UniqueTwoHandSword7",10424,15,22
29,"UniqueClaw6",9781,6,26
30,"UniqueRapier5",12696,10,26
31,"UniqueTwoHandMace2",8020,17,27
32,"UniqueOneHandSword4",9869,9,28
33,"UniqueBow11",10168,13,28
34,"UniqueOneHandSword13",11726,9,28
35,"UniqueOneHandAxe6",11559,11,29
36,"UniqueDagger2",8047,7,30
37,"UniqueWand9",11633,8,30
38,"UniqueBow3",8017,13,32
39,"UniqueOneHandMace8",11729,12,32
40,"UniqueTwoHandAxe2",9046,16,33
41,"UniqueClaw2",9093,6,34
42,"UniqueTwoHandMace10",12331,17,40
43,"UniqueSceptre1",9090,32,41
44,"UniqueSceptre2",9710,32,41
45,"UniqueRapier4",12339,10,43
46,"UniqueTwoHandSword1",8022,15,44
47,"UniqueDagger13",12333,56,44
48,"UniqueTwoHandAxe4",9589,16,45
49,"UniqueClaw8",11565,6,46
50,"UniqueOneHandClaw12",12315,6,46
51,"UniqueOneHandSword18",12371,9,47
52,"UniqueOneHandMace10",12335,12,50
53,"UniqueTwoHandSword3",9047,15,51
54,"UniqueStaff18",12841,14,52
55,"UniqueBow7",9082,13,53
56,"UniqueOneHandSword5",9932,9,53
57,"UniqueTwoHandMace4",9073,17,54
58,"UniqueTwoHandAxe14",12329,16,55
59,"UniqueSceptre10",11556,32,72
60,"UniqueWand11",12253,8,59
61,"UniqueTwoHandMace3",9057,17,57
62,"UniqueTwoHandAxe1",8003,16,58
63,"UniqueDagger8",10027,56,58
64,"UniqueOneHandSword11",11560,9,58
65,"UniqueWand1",9053,8,59
66,"UniqueOneHandAxe1",9801,11,65
67,"UniqueTwoHandSword10",12521,15,59
68,"UniqueOneHandMace4",11554,12,60
69,"UniqueOneHandSword19",12512,9,60
70,"UniqueClaw18",12917,6,60
71,"UniqueDagger16",12918,7,60
72,"UniqueDagger21",12983,7,60
73,"UniqueTwoHandSword11",12551,15,61
74,"UniqueBow5",9071,13,62
75,"UniqueBow6",9076,13,62
76,"UniqueClaw3",9744,6,62
77,"UniqueOneHandSword6",10169,9,62
78,"UniqueTwoHandAxe16",13128,16,62
79,"UniqueTwoHandMace11",12554,17,77
80,"UniqueOneHandAxe10",12958,11,63
81,"UniqueOneHandSword3",9790,9,64
82,"UniqueBow10",9908,13,64
83,"UniqueDagger9",10217,56,64
84,"UniqueTwoHandAxe10",12239,16,64
85,"UniqueOneHandSword17",12346,9,64
86,"UniqueOneHandAxe5",10013,11,65
87,"UniqueTwoHandSword8",10933,15,65
88,"UniqueTwoHandMace12",12820,17,65
89,"UniqueBow1",8009,13,66
90,"UniqueClaw1",9084,6,66
91,"UniqueBow9",9877,13,70
92,"UniqueOneHandMace5",11555,12,66
93,"UniqueClaw10",12187,6,66
94,"UniqueTwoHandAxe15",12816,16,66
95,"UniqueDagger17",13088,56,66
96,"UniqueTwoHandMace6",9867,17,67
97,"UniqueTwoHandSword6",9929,15,67
98,"UniqueStaff7",10176,57,71
99,"UniqueBow15",12359,13,68
100,"UniqueClaw14",12519,6,68
101,"UniqueOneHandSword20",12555,9,77
102,"UniqueBow17",12669,13,77
103,"UniqueTwoHandAxe13",12781,16,68
104,"UniqueOneHandSword24",12884,9,68
105,"UniqueOneHandAxe2",9953,11,69
106,"UniqueClaw13",12354,6,70
107,"UniqueClaw15",12672,6,77
108,"UniqueStaff20",12908,14,66
109,"UniqueStaff27",12968,57,60
110,"UniqueStaff22",13123,57,64
111,"UniqueStaff24",13244,57,68
112,"UniqueOneHandSword29",13175,9,56
113,"UniqueOneHandSword30",13176,9,56
114,"UniqueOneHandSword31",13593,9,62
115,"UniqueTwoHandSword12",12677,15,67
116,"UniqueTwoHandSword13",12677,15,67
117,"UniqueTwoHandSword14",14246,15,67
118,"UniqueDagger20",12964,7,60
119,"UniqueBow18",12716,13,58
120,"UniqueBow19",12717,13,58
121,"UniqueBow22",13298,13,57
122,"UniqueBow23",14191,13,58
123,"UniqueBow21",13108,13,75
124,"UniqueBow20",13089,13,62
125,"UniqueBow16",12536,13,64
126,"UniqueTwoHandAxe7",10141,16,64
127,"UniqueTwoHandAxe9",11643,16,66
