"rownum","Slot","ClusterJewelSize","i32_32","ReplacesSlot","ProxySlot","StartIndices","bool_76"
0,1219,"",0,"","",[],""
1,1220,"",0,"","",[],""
2,1221,"",0,"","",[],""
3,1222,"",0,"","",[],""
4,1223,"",0,"","",[],""
5,1224,"",0,"","",[],""
6,1225,"",0,"","",[],""
7,1226,"",0,"","",[],""
8,1227,"",0,"","",[],""
9,1228,"",0,"","",[],""
10,1229,"",0,"","",[],""
11,1230,2,0,"",3257,"[3,5,5]",""
12,1231,2,1,"",3258,"[0,11,11]",""
13,1232,2,2,"",3259,"[2,3,3]",""
14,1233,"",0,"","",[],""
15,1234,2,3,"",3260,"[1,1,1]",""
16,1235,"",0,"","",[],""
17,1236,2,4,"",3261,"[5,9,9]",""
18,1237,"",0,"","",[],""
19,1238,"",0,"","",[],""
20,1239,2,5,"",3262,"[4,7,7]",""
21,3221,1,0,11,3263,"[2,3]",""
22,3222,1,1,11,3264,"[3,5]",""
23,3223,1,2,11,3265,"[3,7]",""
24,3224,0,0,21,3266,[1],""
25,3225,0,0,22,3267,[2],""
26,3226,0,0,23,3268,[3],""
27,3227,1,0,12,3269,"[5,9]",""
28,3228,1,1,12,3270,"[5,11]",""
29,3229,1,2,12,3271,"[0,1]",""
30,3230,0,0,27,3272,[4],""
31,3231,0,0,28,3273,[5],""
32,3232,0,0,29,3274,[0],""
33,3233,1,0,13,3275,"[1,1]",""
34,3234,1,1,13,3276,"[2,3]",""
35,3235,1,2,13,3277,"[3,5]",""
36,3236,0,0,33,3278,[0],""
37,3237,0,0,34,3279,[1],""
38,3238,0,0,35,3280,[2],""
39,3239,1,0,15,3281,"[5,11]",""
40,3240,1,1,15,3282,"[1,1]",""
41,3241,1,2,15,3283,"[2,3]",""
42,3242,0,0,39,3284,[5],""
43,3243,0,0,40,3285,[0],""
44,3244,0,0,41,3286,[1],""
45,3245,1,0,17,3287,"[4,7]",""
46,3246,1,1,17,3288,"[5,9]",""
47,3247,1,2,17,3289,"[5,11]",""
48,3248,0,0,45,3290,[3],""
49,3249,0,0,46,3291,[4],""
50,3250,0,0,47,3292,[5],""
51,3251,1,0,20,3293,"[3,5]",""
52,3252,1,1,20,3294,"[4,7]",""
53,3253,1,2,20,3295,"[5,9]",""
54,3254,0,0,51,3296,[2],""
55,3255,0,0,52,3297,[3],""
56,3256,0,0,53,3298,[4],""
57,4863,"",0,"","",[],1
58,4864,"",0,"","",[],1
59,4865,"",0,"","",[],1
