"rownum","Projectile","Variant","[rid]_12","i32_28","rid_32"
0,"default_ranged",0,[60],3,""
1,"default_ranged",1,[214],3,""
2,"default_ranged",2,[341],3,""
3,"default_ranged",3,[574],3,""
4,"default_ranged",4,[575],3,""
5,"default_ranged",5,[612],3,""
6,"default_ranged",6,[629],3,""
7,"default_ranged",7,[630],3,""
8,"default_ranged",8,[631],3,""
9,"default_ranged",9,[632],3,""
10,"default_ranged",10,[633],3,""
11,"default_ranged",11,[634],3,""
12,"default_ranged",12,[635],3,""
13,"default_ranged",13,[636],3,""
14,"default_ranged",14,[637],3,""
15,"default_ranged",15,[638],3,""
16,"default_ranged",16,[639],3,""
17,"default_ranged",17,[640],3,""
18,"default_ranged",18,[723],3,""
19,"default_ranged",19,[698],3,""
20,"default_ranged",20,[707],3,""
21,"default_ranged",21,[724],3,""
22,"default_ranged",22,[731],3,""
23,"default_ranged",23,[732],3,""
24,"default_ranged",24,[733],3,""
25,"default_ranged",25,[832],3,""
26,"default_ranged",26,[835],3,""
27,"default_ranged",27,[843],3,""
28,"default_ranged",28,[942],3,""
29,"default_ranged",29,[990],3,""
30,"default_ranged",30,[997],3,""
31,"default_ranged",31,[1081],3,""
32,"default_ranged",32,[1092],3,""
33,"default_ranged",33,[1093],3,""
34,"default_ranged",34,[1094],3,""
35,"default_ranged",35,[61],3,""
36,"cremation_projectile",0,[381],3,""
37,"cremation_projectile",1,[381],3,""
38,"cremation_projectile",2,[424],3,""
39,"cremation_projectile",3,[428],3,""
40,"cremation_projectile",4,[382],3,""
41,"cremation_projectile",5,[1075],3,""
42,"cremation_projectile",6,[1091],3,""
43,"cremation_projectile",7,[1095],3,""
44,"cremation_projectile",8,[1279],3,""
45,"soulfeast_primary",0,[1097],3,""
46,"soulfeast_secondary",0,[1098],3,""
47,"soulfeast_primary_short",0,[1099],3,""
48,"soulfeast_secondary_short",0,[1100],3,""
49,"soulfeast_primary",1,[1195],3,""
50,"soulfeast_secondary",1,[1196],3,""
51,"soulfeast_primary_short",1,[1197],3,""
52,"soulfeast_secondary_short",1,[1198],3,""
53,"igniting_flask",0,[1114],3,""
54,"spark",0,[17],3,""
55,"spark",1,[18],3,""
56,"spark",2,[19],3,""
57,"spark",3,[264],3,""
58,"spark",4,[364],3,""
59,"spark",5,[365],3,""
60,"spark",6,[17],3,""
61,"spark",7,[441],3,""
62,"spark",8,[456],3,""
63,"spark",9,[483],3,""
64,"spark",10,[496],3,""
65,"spark",11,[545],3,""
66,"spark",12,[624],3,""
67,"spark",13,[734],3,""
68,"spark",14,[741],3,""
69,"spark",15,[792],3,""
70,"spark",16,[939],3,""
71,"spark",17,[1058],3,""
72,"spark",18,[1059],3,""
73,"spark",19,[1115],3,""
74,"spark",20,[1217],3,""
75,"spark_monster",1,[96],3,""
76,"spark_monster",2,[97],3,""
77,"spark_monster",3,[885],3,""
78,"spark_monster",4,[886],3,""
79,"spark_tornado",0,[365],3,""
80,"spark_tornado",2,[368],3,""
81,"spark_tornado",17,[366],3,""
82,"spark_tornado",18,[367],3,""
83,"spark_tornado",19,[369],3,""
84,"lightning_strike_projectile",0,[30],3,""
85,"lightning_strike_projectile_lite",0,[1139],3,""
86,"lightning_strike_projectile",1,[30],3,""
87,"lightning_strike_projectile_lite",1,[1139],3,""
88,"lightning_strike_projectile",2,[1123],3,""
89,"lightning_strike_projectile_lite",2,[1123],3,""
90,"lightning_strike_projectile",3,[1186],3,""
91,"lightning_strike_projectile_lite",3,[1186],3,""
92,"lightning_strike_projectile",4,[1210],3,""
93,"lightning_strike_projectile_lite",4,[1210],3,""
94,"lightning_strike_projectile",5,[1247],3,""
95,"lightning_strike_projectile_lite",5,[1247],3,""
96,"burning_arrow",0,[64],3,""
97,"burning_arrow_vaal",0,[65],3,""
98,"burning_arrow",1,[1128],3,""
99,"burning_arrow_vaal",1,[1129],3,""
100,"eye_of_winter_ball",0,[1116],3,""
101,"eye_of_winter_ball",1,[1143],3,""
