"rownum","Id","Name","i32","[i32]","i32"
0,0,"Weapon Skin",1,"[1,4,36,39,42,45]",118
1,1,"Shield Skin",1,"[4,39,45]",117
2,2,"Weapon Effect",1,"[2,5,37,40,43,46]",116
3,3,"Weapon Added Effect",1,"[3,6,38,41,44,47]",115
4,4,"Armour Skin",1,[9],124
5,5,"Armour Attachment",1,[10],121
6,6,"Helmet Skin",1,[7],126
7,7,"Helmet Attachment",1,[8],125
8,8,"Gloves Skin",1,[11],123
9,9,"Boots Skin",1,[12],122
10,10,"Footprints",1,[13],109
11,11,"Portal",1,[20],112
12,12,"Social Frame",1,[17],101
13,13,"Portrait",1,[16],100
14,14,"Pet",3,"[18,19]",110
15,15,"Apparition",1,[14],108
16,16,"Character Effect",1,[15],111
17,17,"Skill Gem Effect",2,[],113
18,18,"Dance",1,[],97
19,19,"Consumable",5,[],200
20,20,"Hideout Item",4,[],99
21,21,"Miscellaneous",5,[],98
22,22,"Helmet Skin / Attachment",1,[],124
23,23,"Cursor",1,[23],102
24,24,"Amulet Skin",1,[25],120
25,25,"Belt Skin",1,[24],106
26,26,"Flask Skin",1,"[26,27]",105
27,27,"Passive Jewel Skin",2,[],103
28,28,"Ring Skin",1,"[31,32]",119
29,29,"Hip Attachment",1,[33],107
30,30,"Alternate Charge Skin",1,[34],104
31,31,"Extra Effect",1,[],114
