"rownum","Id","Act","Name","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup","bool","bool","[rid]","[rid]"
0,"TheMiller",1,"Reaching Clearfell","Art/2DArt/QuestIcons/Four/Miller.dds",0,"",0,[],51,"","","",[2],[2]
1,"MudBurrower",1,"Treacherous Ground","Art/2DArt/QuestIcons/Four/TreacherousGround.dds",0,"",1,[],51,"","","","[3,0]","[4,0]"
2,"TreeOfSouls",1,"Secrets in the Dark","Art/2DArt/QuestIcons/Four/TreeofSouls.dds",0,"",0,[],51,"","","",[],[]
3,"TreeOfSouls2",1,"Secrets in the Dark","",0,"",0,[],51,"","","",[],[]
4,"ReviveHoodedMentor",1,"The Mysterious Shade","Art/2DArt/QuestIcons/Four/MysteriousShade.dds",0,"",0,[],51,"","","",[],[]
5,"RenlysTools",1,"Finding the Forge","Art/2DArt/QuestIcons/Four/RenlysTools.dds",0,"",1,[],51,"","","",[16],[16]
6,"UnaLute",1,"The Lost Lute","Art/2DArt/QuestIcons/Four/UnaLute.dds",0,"",1,[],51,"","","",[1],[1]
7,"GraveyardFight",1,"Sorrow Among Stones","Art/2DArt/QuestIcons/Four/SorrowAmongStones.dds",0,"",0,[],51,"","","",[2],[3]
8,"TheOutcast",1,"Ominous Altars","Art/2DArt/QuestIcons/Four/Outcast.dds",0,"",1,[],51,"","","","[18,19]",[18]
9,"TheExecutioner",1,"The Trail of Corruption","Art/2DArt/QuestIcons/Four/GuillotineExcecutioner.dds",0,"",0,[],51,"","","",[2],[2]
10,"TheIronCount",1,"The Mad Wolf of Ogham","Art/2DArt/QuestIcons/Four/IronCount.dds",0,"",0,[],51,"","","",[],[]
11,"GoToAct2",1,"[DNT] The Mysterious Boat","",0,"",0,[],51,"","","",[],[]
12,"SentToG2_4",2,"[DNT] Treasure Hunter","",0,"",0,[],51,"","","",[],[]
13,"SentToG2_5",2,"[DNT] Matriarch 1","",0,"",0,[],51,"","","",[],[]
14,"SentToG2_6",2,"[DNT] Matriarch 2","",0,"",0,[],51,"","","",[],[]
15,"SentToG2_8",2,"[DNT] Matriarch 3","",0,"",0,[],51,"","","",[],[]
16,"CaravanRescue",2,"Earning Passage","Art/2DArt/QuestIcons/Four/CaravanRescue.dds",0,"",0,[],51,"","","",[2],[2]
17,"OpenTheDesertGates",2,"The Trail of Corruption","Art/2DArt/QuestIcons/Four/OpenDesertGates.dds",0,"",0,[],51,"","","",[],[]
18,"BurnTheWaterGoddess",2,"The City of Seven Waters","Art/2DArt/QuestIcons/Four/WaterGoddess.dds",0,"",0,[],51,"","","",[3],"[3,0]"
19,"StealTheMastodonTusks",2,"A Theft of Ivory","Art/2DArt/QuestIcons/Four/TheftofIvory.dds",0,"",0,[],51,"","","",[3],"[2,0]"
20,"PryTheFlameRuby",2,"A Crown of Stone","Art/2DArt/QuestIcons/Four/FlameRuby.dds",0,"",0,[],51,"","","",[3],"[4,0]"
21,"KillTheTraitor",2,"The Forgotten Prisoner","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",0,[],51,"","","",[],[]
22,"DjinnHunter",2,"Back in the Bottle","Art/2DArt/QuestIcons/BackintheBottle.dds",0,"",0,[],51,"","","",[],[]
23,"FindTheSuicideNote",2,"Tradition's Toll","Art/2DArt/QuestIcons/Four/TraditionsToll.dds",0,"",1,[],51,"","","",[1],[1]
24,"MysteriousRelics",2,"Ancient Vows","Art/2DArt/QuestIcons/Four/Medallion.dds",0,"",1,[],51,"","","",[5],[5]
25,"AscentToPower",2,"Ascent to Power","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",6,[],51,"","","",[],[]
26,"SearchForTheVaalRepository",3,"Legacy of the Vaal","Art/2DArt/QuestIcons/Four/LegacyoftheVaal.dds",0,"",0,[],51,"","","",[],[15]
