"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool"
0,549,[6592],[6838],20,"","","","","",1
1,550,[6592],[6838],20,"","","","","",1
2,551,[6592],[6838],20,"","","","","",1
3,552,[6592],[6838],20,"","","","","",1
4,554,[6593],[],20,"","","","","",1
5,555,[6593],[],20,"","","","","",1
6,556,[6593],[],20,"","","","","",1
7,557,[6593],[],20,"","","","","",1
8,564,[6596],[],20,"","","","","",1
9,565,[6596],[],20,"","","","","",1
10,566,[6596],[],20,"","","","","",1
11,567,[6596],[],20,"","","","","",1
12,569,[6597],[],20,"","","","","",1
13,570,[6597],[],20,"","","","","",1
14,571,[6597],[],20,"","","","","",1
15,572,[6597],[],20,"","","","","",1
16,574,[6598],[],20,"","","","","",1
17,575,[6598],[],20,"","","","","",1
18,576,[6598],[],20,"","","","","",1
19,577,[6598],[],20,"","","","","",1
20,579,[6599],[],20,"","","","","",1
21,580,[6599],[],20,"","","","","",1
22,581,[6599],[],20,"","","","","",1
23,582,[6599],[],20,"","","","","",1
24,584,[6600],[],20,"","","","","",""
25,743,[10062],[6839],1,1,"","","","",""
26,744,[10063],[6839],1,1,"","","","",""
27,745,[10064],[6839],1,1,"","","","",""
28,746,[10065],"[6839,6977]",1,1,"","","","",""
29,747,[10066],[6839],2,1,"","","","",""
30,748,[10067],[6839],2,1,"","","","",""
31,749,[10068],[6839],2,1,"","","","",""
32,750,[10069],"[6839,6978]",2,1,"","","","",""
33,751,[10070],[6839],3,1,"","","","",""
34,752,[10071],[6839],3,1,"","","","",""
35,753,[10072],[6839],3,1,"","","","",""
36,754,[10073],"[6839,6979]",3,1,"","","","",""
37,755,[10074],[6839],0,1,"","","","",""
38,756,[10075],[6839],0,1,"","","","",""
39,757,[10076],[6839],0,1,"","","","",""
40,758,[10077],"[6839,6980]",0,1,"","","","",""
41,759,[10078],[6839],0,1,"","","","",""
42,760,[10079],[6839],0,1,"","","","",""
43,761,[10080],[6839],0,1,"","","","",""
44,762,[10081],[6839],0,1,"","","","",""
45,763,[10082],[6839],4,1,1,"","","",""
46,764,[10083],[6839],4,1,1,"","","",""
47,765,[10084],[6839],4,1,1,"","","",""
48,766,[10085],"[6839,6981]",4,1,1,"","","",""
49,767,[10086],[6839],5,1,"",1,"","",""
50,768,[10087],[6839],5,1,"",1,"","",""
51,769,[10088],[6839],5,1,"",1,"","",""
52,770,[10089],"[6839,6982]",5,1,"",1,"","",""
53,771,[10090],[6839],0,1,"","","","",""
54,772,[10091],[6839],0,1,"","","","",""
55,773,[10092],[6839],0,1,"","","","",""
56,774,[10093],"[6839,6983]",0,1,"","","","",""
57,775,[10094],[6839],6,1,"","","","",""
58,776,[10095],[6839],6,1,"","","","",""
59,777,[10096],[6839],6,1,"","","","",""
60,778,[10097],"[6839,6984]",6,1,"","","","",""
61,779,[10098],[6839],7,1,"","","","",""
62,780,[10099],[6839],7,1,"","","","",""
63,781,[10100],[6839],7,1,"","","","",""
64,782,[10101],"[6839,6985]",7,1,"","","","",""
65,783,[10102],[6839],8,1,"","","","",""
66,784,[10103],[6839],8,1,"","","","",""
67,785,[10104],[6839],8,1,"","","","",""
68,786,[10105],"[6839,6986]",8,1,"","","","",""
69,787,[10106],[6839],9,1,"","","","",""
70,788,[10107],[6839],9,1,"","","","",""
71,789,[10108],[6839],9,1,"","","","",""
72,790,[10109],"[6839,6987]",9,1,"","","","",""
73,791,[10110],[6839],10,1,"","","","",""
74,792,[10111],[6839],10,1,"","","","",""
75,793,[10112],[6839],10,1,"","","","",""
76,794,[10113],"[6839,6988]",10,1,"","","","",""
77,795,[10114],[6839],11,1,"","","","",""
78,796,[10115],[6839],11,1,"","","","",""
79,797,[10116],[6839],11,1,"","","","",""
80,798,[10117],"[6839,6989]",11,1,"","","","",""
81,799,[10118],[6839],12,1,"","","","",""
82,800,[10119],[6839],12,1,"","","","",""
83,801,[10120],[6839],12,1,"","","","",""
84,802,[10121],"[6839,6990]",12,1,"","","","",""
85,803,[10122],[],13,1,"","","","",""
86,804,[10123],[],13,1,"","","","",""
87,805,[10124],[],13,1,"","","","",""
88,806,[10125],[],13,1,"","","","",""
89,807,[10126],[],14,1,"","","","",""
90,808,[10127],[],14,1,"","","","",""
91,809,[10128],[],14,1,"","","","",""
92,810,[10129],[],14,1,"","","","",""
93,611,"[10483,10488]",[],15,"","","",1,"",""
94,612,"[10484,10489]",[],16,"","","",1,"",""
95,613,"[10485,10490]",[],17,"","","",1,"",""
96,614,"[10486,10491]",[],18,"","","",1,"",""
97,615,"[10487,10492]",[],19,"","","",1,"",""
98,616,"[10493,10498]",[],15,"","","",1,"",""
99,617,"[10494,10499]",[],16,"","","",1,"",""
100,618,"[10495,10500]",[],17,"","","",1,"",""
101,619,"[10496,10501]",[],18,"","","",1,"",""
102,620,"[10497,10502]",[],19,"","","",1,"",""
103,621,[6594],[],20,"","","",1,"",""
104,639,[11745],[7608],20,1,"","","",1,""
