"rownum","string","[rid]","[rid]","[rid]","[rid]","[rid]","rid","rid","rid","string","i32","i32","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","string","rid","i32","bool","rid","rid","i32","i32","bool"
0,"MainHandAttack","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",536,592,18640,"",0,0,"","","",292,18799,14649,11340,18670,907,1037,14607,275,17954,17960,17959,280,454,469,"main hand ",2,0,1,18801,19641,1,0,""
1,"MainHandFakeHitForAilments","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",536,592,18640,"",0,0,"","","","","","","","","","","","","","","","","","","main hand fake hit ailment",2,0,1,"","",-16843010,-16843010,1
2,"OffHandAttack","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",537,593,18640,"",0,0,"","","",293,18800,14649,11340,18670,907,1037,14607,276,17954,17960,17959,281,455,470,"off hand ",2,1,1,18802,19642,3,0,""
3,"OffHandFakeHitForAilments","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",537,593,18640,"",0,0,"","","","","","","","","","","","","","","","","","","off hand fake hit ailment",2,1,1,"","",-16843010,-16843010,1
4,"Spell","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",538,594,8886,"",0,0,14112,17032,14116,102,197,"",11340,18670,907,1037,14607,2202,"","","",104,14529,2249,"spell ",3,2,"",17918,19642,5,0,""
5,"SpellFakeHitForAilments","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",538,594,8886,"",0,0,"","","","","","","","","","","","","","","","","","","spell fake hit ailment ",3,2,"","","",-16843010,-16843010,1
6,"Secondary","[685,686]","[689,690]","[691,692]","[687,688]","[693,694]",696,695,8886,"",0,0,"","","",102,197,"","","","","","","","","","",104,14529,2249,"secondary damage ",4,3,"",17918,19642,7,0,""
7,"SecondaryFakeHitForAilments","[685,686]","[689,690]","[691,692]","[687,688]","[693,694]",696,695,8886,"",0,0,"","","","","","","","","","","","","","","","","","","secondary fake hit ailment ",4,3,"","","",-16843010,-16843010,1
8,"SecondaryWithMainHandDefence","[685,686]","[689,690]","[691,692]","[687,688]","[693,694]",696,695,8886,"",0,0,"","","",292,197,14649,11340,18670,907,1037,14607,275,17954,17960,17959,280,454,469,"secondary main hand ",4,3,"",17918,19642,7,0,""
9,"SecondaryWithOffHandDefence","[685,686]","[689,690]","[691,692]","[687,688]","[693,694]",696,695,8886,"",0,0,"","","",293,197,14649,11340,18670,907,1037,14607,276,17954,17960,17959,281,455,470,"secondary off hand ",4,3,"",17918,19642,7,0,""
10,"SecondaryWithSpellDefence","[685,686]","[689,690]","[691,692]","[687,688]","[693,694]",696,695,8886,"",0,0,14112,17032,14116,102,197,"",11340,18670,907,1037,14607,2202,"","","",104,14529,2249,"secondary spell ",4,3,"",17918,19642,7,0,""
11,"Thorns","[20411,20412]","[20415,20416]","[20417,20418]","[20413,20414]","[20419,20420]",20424,20421,8886,"",0,0,"","","",102,197,"","","","","","","","","","",104,14529,2249,"thorns",0,3,"",17918,19642,7,0,""
