"rownum","Id","[i32]","[i32]","Name"
0,"Shop","[128,128,128]","[255,255,255]","Shop"
1,"Pets","[128,128,128]","[255,255,255]","Begleiter"
2,"People","[128,128,128]","[255,255,255]","Leute"
3,"Plants","[128,128,128]","[255,255,255]","Pflanzen"
4,"Trees","[128,128,128]","[255,255,255]","Bäume"
5,"Nests","[128,128,128]","[255,255,255]","Nester"
6,"Furniture","[128,128,128]","[255,255,255]","Möbel"
7,"Cages","[128,128,128]","[255,255,255]","Käfige"
8,"Rocks","[128,128,128]","[255,255,255]","Steine"
9,"Crates","[128,128,128]","[255,255,255]","Kisten"
10,"Barrels","[128,128,128]","[255,255,255]","Fässer"
11,"Containers","[128,128,128]","[255,255,255]","Container"
12,"Ground","[128,128,128]","[255,255,255]","Boden"
13,"Water","[128,128,128]","[255,255,255]","Wasser"
14,"Walls","[128,128,128]","[255,255,255]","Mauern"
15,"Effects","[128,128,128]","[255,255,255]","Effekte"
16,"Weather","[128,128,128]","[255,255,255]","Wetter"
17,"Lights","[128,128,128]","[255,255,255]","Lichter"
18,"Carpets","[128,128,128]","[255,255,255]","Teppiche"
19,"Debris","[128,128,128]","[255,255,255]","Trümmer"
20,"Statues","[128,128,128]","[255,255,255]","Statuen"
21,"Barricades","[128,128,128]","[255,255,255]","Barrikaden"
22,"Tents","[128,128,128]","[255,255,255]","Zelte"
23,"Stalls","[128,128,128]","[255,255,255]","Stände"
24,"Equipment","[128,128,128]","[255,255,255]","Ausrüstung"
25,"Machines","[128,128,128]","[255,255,255]","Maschinen"
26,"Pillars","[128,128,128]","[255,255,255]","Säulen"
27,"Stonework","[128,128,128]","[255,255,255]","Mauerwerk"
28,"Carcasses","[128,128,128]","[255,255,255]","Kadaver"
29,"Bones","[128,128,128]","[255,255,255]","Knochen"
30,"Vehicles","[128,128,128]","[255,255,255]","Fahrzeuge"
31,"Banners","[128,128,128]","[255,255,255]","Banner"
32,"Teleporters","[128,128,128]","[255,255,255]","Teleporter"
33,"Games","[128,128,128]","[255,255,255]","Spiele"
34,"MapDevices","[128,128,128]","[255,255,255]","Kartenapparate"
