"rownum","Id","ItemClasses","string","Text"
0,"OneHandMelee","[7,11,12,9,6,32]","1HandedMelee","Mêlée à 1 main"
1,"TwoHandMelee","[16,17,15,14,57]","2HandedMelee","Mêlée à 2 mains"
2,"OneHandRanged",[8],"1HandedRange","Distance à 1 main"
3,"TwoHandRanged",[13],"2HandedRange","Distance à 2 mains"
4,"Shield",[26],"Shield","Bouclier"
5,"Helmet",[25],"Helmet","Casque"
6,"BodyArmour",[24],"Armour","Armure"
7,"Gloves",[22],"Gloves","Gants"
8,"Boots",[23],"Boots","Bottes"
9,"Ring",[5],"Ring","Bague & Anneau"
10,"Amulet",[4],"Amulet","Amulette"
11,"Belt",[21],"Belt","Ceinture"
12,"Flask","[0,1,33]","Flask","Flacon"
13,"Quiver",[20],"Quiver","Carquois"
14,"Map",[35],"","Carte"
15,"MapFragment",[38],"","Fragment de Carte"
16,"Jewel","[41,50]","","Joyau"
17,"Breachstone",[86],"","Pierre de Brèche"
