"rownum","i32","i32","Requirement"
0,0,355,"Terminez une Carte de palier 16"
1,1,356,"Triomphez d'un Gardien de l'Ancien"
2,2,357,"Triomphez d'un Gardien du Façonneur"
3,3,358,"Triomphez d'un Conquérant de l'Atlas"
4,4,359,"Triomphez de Sirus, l'Éveilleur de Mondes"
5,5,360,"Triomphez de Vénarius dans le Cortex"
6,6,361,"Triomphez du Façonneur"
7,7,362,"Triomphez de l'Ancien dans le Royaume du Façonneur"
8,8,363,"Triomphez de la Prodige"
9,9,364,"Triomphez du Mangeur de mondes"
10,10,365,"Triomphez de l'Exarque ardent"
11,11,366,"Terminez l'Invitation de la Prodige : Les Redoutés"
