"rownum","Id","Name"
0,"Currency","Currency"
1,"CurrencyQuality","Quality Currency"
2,"CurrencySockets","Jewellers' Currency"
3,"Shards","Currency Shards"
4,"Fragments","Fragments"
5,"FragmentsRitual","Ritual Fragments"
6,"FragmentsUltimatum","Ultimatum Fragments"
7,"FragmentsPinnacle","Pinnacle Fragments"
8,"Essences","Essences"
9,"EssencesGreater","Greater Essences"
10,"Breach","Breach"
11,"BreachSplinters","Breach Splinters"
12,"BreachCatalyst","Catalysts"
13,"Delirium","Delirium"
14,"DeliriumSplinters","Simulacrum"
15,"DeliriumInstill","Distilled Emotions"
16,"DivinationCards","Divination Cards"
17,"DivinationCardsWeaponsArmour","Divination Cards Rewarding Weapons or Armour"
18,"DivinationCardsJewelleryJewels","Divination Cards Rewarding Jewellery or Jewels"
19,"DivinationCardsCurrency","Divination Cards Rewarding Currency"
20,"DivinationCardsGems","Divination Cards Rewarding Gems"
21,"DivinationCardsMapsFragments","Divination Cards Rewarding Maps or Fragments"
22,"DivinationCardsFlasks","Divination Cards Rewarding Flasks"
23,"DivinationCardsMisc","Other Divination Cards"
24,"Expedition","Expedition"
25,"Popular","Popular"
26,"Owned","Owned"
27,"Runes","Runes"
28,"Ultimatum","Soul Cores"
29,"Ritual","Omens"
