"rownum","Id","string","string","string","[rid]","[rid]","rid","[rid]","i32","rid","rid","i32"
0,"MicrotransactionBreachHandOnKill","","Delay( 1.75,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/epks/corpse_dragged_down.epk\"" );\r\n} );","Delay( 1.0,\r\n{\r\n  PlayEffect( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/breachhole.ao\"", scale:0.65 );\r\n} );",[],[],4,[],0,0,1912602624,0
1,"MicrotransactionSkySwordOnKill","Delay(0.3, {PauseAnimation();}); Delay(2.3, {ResumeAnimation();});","","",[580],[407],"",[],0,0,1509949440,0
2,"MicrotransactionBirdsOnRareKill","","","",[581],[408],1,[],0,0,3154116608,0
3,"MicrotransactionMoltenLiquifyOnKill","","SetCurrentAnimationSpeed(0.02);","",[587],[],5,[7586],0,0,1744830464,0
4,"MicrotransactionBloodAndGoreOnKill","","","",[590],[],6,[7585],0,0,3489660928,0
5,"RaijuScourgeLightningOnKill","","","",[],[],"","[7535,7535,7535,7535,7535]",16777216,117440512,1509949440,0
6,"MicrotransactionCordycepBowOnKill","","","","[598,599]",[],"",[],0,0,3221225472,0
7,"MtxIonCannonOnKill","","","",[],[],"",[8683],0,0,4160749568,0
8,"MtxExplodingHeart","","","",[],[],"",[8693],0,0,771751936,0
9,"MicrotransactionHokoRareFinisher","","","",[],[],"",[8584],0,0,2181038080,0
10,"MTXCrabArmourCrabsOnKill","","","",[],"[716,717,718,719]","",[8888],0,0,100663296,0
