"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool_80","Radius","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32_161","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool_189","Achievements","TextAudio","UniqueMapMod"
0,"ChaosCloudDaemon1",[0],[],[],24,"","",0,"Choking Miasma","Miasme suffocant","Erstickender Gifthauch","窒息の瘴気","숨막히는 독기","Miasma Asfixiante","Удушающие испарения","Miasma asfixiante","ไอพิษอุดตัน ระดับ 1","窒息迷霧","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",40225,[],0,5296,[],1,0,"A cloud that deals Chaos Damage over Time will follow you","Un nuage de miasme vous poursuit.\r\nCe nuage vous inflige des Dégâts de chaos sur la durée.","Euch verfolgt eine Wolke, die Chaosschaden über Zeit verursacht","混沌継続ダメージを与える雲がプレイヤーを追跡する","지속 카오스 피해를 주는 구름이 당신을 따라다닙니다.","Uma núvem que causa Dano de Caos Degenerativo o seguirá","Вас будет преследовать облако, наносящее постепенный урон хаосом","Te seguirá una nube que inflige daño de caos degenerativo","กลุ่ม​ควัน ที่​สร้าง​ความ​เสียหาย เคออส ต่อเนื่อง จะ​ติดตาม​คุณ","一團雲跟隨你，造成混沌持續傷害",[],"",[7824],11218,32304
1,"ChaosCloudDaemon2","[0,22]",[],[],25,0,"",0,"Choking Miasma II","Miasme suffocant II","Erstickender Gifthauch II","窒息の瘴気 II","숨막히는 독기 II","Miasma Asfixiante II","Удушающие испарения II","Miasma asfixiante II","ไอพิษอุดตัน ระดับ 2","窒息迷霧 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",54213,[],0,5296,[],2,0,"A large cloud that deals Chaos Damage over Time will follow you","Un grand nuage de miasme vous poursuit.\r\nCe nuage vous inflige des Dégâts de chaos sur la durée.","Euch verfolgt eine große Wolke, die Chaosschaden über Zeit verursacht","混沌継続ダメージを与える巨大な雲がプレイヤーを追跡する","지속 카오스 피해를 주는 큰 구름이 당신을 따라다닙니다.","Uma grande núvem que causa Dano de Caos Degenerativo o seguirá","Вас будет преследовать большое облако, наносящее постепенный урон хаосом","Te seguirá una nube grande que inflige daño de caos degenerativo","กลุ่ม​ควัน​ขนาด​ใหญ่ ที่​สร้าง​ความ​เสียหาย เคออส ต่อเนื่อง​จะ​ติดตาม​คุณ","一團大的雲跟隨你，造成混沌持續傷害",[],"",[7824],11224,32304
2,"ChaosCloudDaemon3","[0,22]",[],[],26,1,"",0,"Choking Miasma III","Miasme suffocant III","Erstickender Gifthauch III","窒息の瘴気 III","숨막히는 독기 III","Miasma Asfixiante III","Удушающие испарения III","Miasma asfixiante III","ไอพิษอุดตัน ระดับ 3","窒息迷霧 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",12812,[],0,5296,[],3,0,"A large and fast cloud that deals Chaos Damage over Time will follow you","Un grand nuage de miasme vous poursuit avec rapidité.\r\nCe nuage vous inflige des Dégâts de chaos sur la durée.","Euch verfolgt eine große schnelle Wolke, die Chaosschaden über Zeit verursacht","混沌継続ダメージを与える巨大で素早い雲がプレイヤーを追跡する","지속 카오스 피해를 주는 크고 빠른 구름이 당신을 따라다닙니다.","Uma grande e rápida núvem que causa Dano de Caos Degenerativo o seguirá","Вас будет преследовать большое и быстрое облако, наносящее постепенный урон хаосом","Te seguirá una nube grande y rápida que inflige daño de caos degenerativo","กลุ่ม​ควัน​ขนาด​ใหญ่​และ​ว่องไว ที่​สร้าง​ความ​เสียหาย เคออส ต่อเนื่อง​จะ​ติดตาม​คุณ","一團大且迅速的雲跟隨你，造成混沌持續傷害",[],"","[7894,7824]",11230,32304
3,"ChaosCloudDaemon4","[0,22]",[],[],27,2,"",0,"Choking Miasma IV","Miasme suffocant IV","Erstickender Gifthauch IV","窒息の瘴気 IV","숨막히는 독기 IV","Miasma Asfixiante IV","Удушающие испарения IV","Miasma asfixiante IV","ไอพิษอุดตัน ระดับ 4","窒息迷霧 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",26152,[],0,5296,[],4,0,"A large and very fast cloud that slows you and deals Chaos Damage over Time will follow you","Un grand et très rapide nuage de miasme qui vous poursuit et vous ralentit. Ce nuage vous inflige des Dégâts de chaos sur la durée.","Euch verfolgt eine große und sehr schnelle Wolke, die Euch verlangsamt und Chaosschaden über Zeit verursacht","混沌継続ダメージを与えプレイヤーを遅くする巨大で非常に素早い雲がプレイヤーを追跡する","움직임을 늦추고 지속 카오스 피해를 주는 크고 아주 빠른 구름이 당신을 따라다닙니다.","Uma núvem grande e muito rápida que te desacelera e causa Dano de Caos Degenerativo o seguirá","Вас будет преследовать большое и очень быстрое облако, наносящее постепенный урон хаосом и замедляющее вас","Te seguirá una nube grande y muy rápida que te ralentiza e inflige daño de caos degenerativo","กลุ่ม​ควัน​ขนาด​ใหญ่​และ​ว่องไว​ยิ่ง ที่​สร้าง​ความ​เสียหาย เคออส ต่อเนื่อง​และ​ทำให้​คุณ​เชื่อง​ช้า​จะ​ติดตาม​คุณ","一團大且非常迅速的雲跟隨你，會緩速你和造成混沌持續傷害",[],"",[],16701,32304
4,"LightningRuneDaemon1",[1],[],[11],28,"","",0,"Stormcaller Runes","Runes du Mande-orage","Sturmbeschwörer-Runen","ストームコーラー・ルーン","폭풍 소환사 룬","Runas Convoca-Tormentas","Руны призывателя шторма","Runas llamatormentas","อักขระเรียกสายฟ้า ระดับ 1","風暴喚者符文","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],0,5296,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them","Des runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出すルーンが出現する","룬이 여러 개 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán unas runas que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระ​ จะ​ปรากฏ​และ​จะ​เรียก พายุ​สายฟ้า​อันตราย หาก​คุณ​ยืน​อยู่​ใน​นั้น","若你持續在符文中，符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11272,32305
5,"LightningRuneDaemon2","[1,22]",[],[11],29,4,"",0,"Stormcaller Runes II","Runes du Mande-orage II","Sturmbeschwörer-Runen II","ストームコーラー・ルーン II","폭풍 소환사 룬 II","Runas Convoca-Tormentas II","Руны призывателя шторма II","Runas llamatormentas II","อักขระเรียกสายฟ้า ระดับ 2","風暴喚者符文 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],0,5296,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them","De grandes runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen große Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出す巨大なルーンが出現する","큰 룬이 여러 개 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Grandes Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся большие руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán unas runas grandes que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระ​ขนาด​ใหญ่ จะ​ปรากฏ​และ​จะ​เรียก พายุ​สายฟ้า​อันตราย หาก​คุณ​ยืน​อยู่​ใน​นั้น","若你持續在符文中，大符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11278,32305
6,"LightningRuneDaemon3","[1,22]",[],[11],30,5,"",0,"Stormcaller Runes III","Runes du Mande-orage III","Sturmbeschwörer-Runen III","ストームコーラー・ルーン III","폭풍 소환사 룬 III","Runas Convoca-Tormentas III","Руны призывателя шторма III","Runas llamatormentas III","อักขระเรียกสายฟ้า ระดับ 3","風暴喚者符文 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],0,5296,[],3,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them","Une multitude de grandes runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen viele große Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出す複数の巨大なルーンが出現する","룬이 많이 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Várias Grandes Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появится много больших рун, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán muchas runas grandes que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระ​ขนาด​ใหญ่​จำนวน​มาก จะ​ปรากฏ​และ​จะ​เรียก​พายุ สายฟ้า​อันตราย หาก​คุณ​ยืน​อยู่​ใน​นั้น","若你持續在符文中，更大的符文會顯現並召喚致命的雷霆風暴",[],"","[7895,7825]",11284,32305
7,"LightningRuneDaemon4","[1,22]",[],[11],31,6,"",0,"Stormcaller Runes IV","Runes du Mande-orage IV","Sturmbeschwörer-Runen IV","ストームコーラー・ルーン IV","폭풍 소환사 룬 IV","Runas Convoca-Tormentas IV","Руны призывателя шторма IV","Runas llamatormentas IV","อักขระเรียกสายฟ้า ระดับ 4","風暴喚者符文 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",53101,[],0,5296,[],4,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them for a short amount of time","Une multitude de grandes runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus un court instant.","Es erscheinen viele große Runen, die tödliche Blitzstürme beschwören, wenn Ihr für kurze Zeit auf ihnen steht","範囲内に短時間留まると強力なライトニングストームを呼び出す複数の巨大なルーンが出現する","룬이 많이 나타납니다. 룬 안에 서 있으면 잠시 후에 무시무시한 번개 폭풍이 밀려옵니다.","Várias Grandes Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas, por um curto período","Появится много больших рун, которые будут призывать смертоносные штормы, если вы будете стоять в них даже короткое время","Aparecerán muchas runas grandes que invocarán tormentas eléctricas mortales si permaneces sobre ellas durante un breve período de tiempo","อักขระ​ขนาด​ใหญ่​จำนวน​มาก จะ​ปรากฏ​และ​จะ​เรียก​พายุ สายฟ้า​อันตราย หาก​คุณ​ยืน​อยู่​ใน​นั้น​เป็น​ระยะ​เวลา​สั้นๆ","若你持續在符文中，更大的符文會顯現並召喚致命的雷霆風暴，持續一小段時間",[],"",[],16707,32305
8,"LightningRuneDaemon1Trial",[1],[],[11],32,"","",0,"Stormcaller Runes","Runes du Mande-orage","Sturmbeschwörer-Runen","ストームコーラー・ルーン","폭풍 소환사 룬","Runas Convoca-Tormentas","Руны призывателя шторма","Runas llamatormentas","อักขระเรียกสายฟ้า ระดับ 1","風暴喚者符文","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",19821,[],0,5296,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them","Des runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出すルーンが出現する","룬이 나타납니다. 플레이어가 룬 안에 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán unas runas que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระ จะ​ปรากฏ​และ​จะ​เรียก พายุ​สายฟ้า​อันตราย หาก​คุณ​ยืน​อยู่​ใน​นั้น","若你持續在符文中，符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11272,""
9,"LightningRuneDaemon2Trial","[1,22]",[],[11],33,8,"",0,"Stormcaller Runes II","Runes du Mande-orage II","Sturmbeschwörer-Runen II","ストームコーラー・ルーン II","폭풍 소환사 룬 II","Runas Convoca-Tormentas II","Руны призывателя шторма II","Runas llamatormentas II","อักขระเรียกสายฟ้า ระดับ 2","風暴喚者符文 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",13955,[],0,5296,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them","De grandes runes d'orage apparaissent.\r\nCes runes déclenchent des tempêtes de foudre mortelle si vous restez dessus.","Es erscheinen große Runen, die tödliche Blitzstürme beschwören, wenn Ihr auf ihnen steht","範囲内に留まると強力なライトニングストームを呼び出す巨大なルーンが出現する","큰 룬이 나타납니다. 룬 안에 서 있으면 무시무시한 번개 폭풍이 밀려옵니다.","Grandes Runas que convocarão tempestades Relampejantes mortais aparecerão se você ficar nelas","Появятся большие руны, которые будут призывать смертоносные штормы, если вы будете стоять в них","Aparecerán unas runas grandes que invocarán tormentas eléctricas mortales si permaneces sobre ellas","อักขระ​ขนาด​ใหญ่ จะ​ปรากฏ​และ​จะ​เรียก พายุ​สายฟ้า​อันตราย หาก​คุณ​ยืน​อยู่​ใน​นั้น","若你持續在符文中，大符文會顯現並召喚致命的雷霆風暴",[],"",[7825],11278,""
