"rownum","Id","i32_8","i32_12","i32_16","i32_20","rid_24","[rid]_40"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15696]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15696,15890]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15885]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15885,15890]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15886]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15886,15890]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15887]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15887,15890]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15888]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15888,15890]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15889]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15889,15890]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15685]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15685,15686]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15685]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15685]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15685]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15685]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15687]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15687,15686]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15687]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15687]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15687]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15687]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15688]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15688,15686]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15688]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15688]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15688]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15688]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15689]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15689,15686]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15689]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15689]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15689]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15689]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15690]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15690,15686]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15690]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15690]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15690]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15690]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15693,15691]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15693,15691,15686]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15693,15691]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15693,15691]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15693,15691]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15693,15691]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15694,15692]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15694,15692,15686]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15694,15692]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15694,15692]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15694,15692]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15694,15692]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15695,15685]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15695,15693]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15685,15686,20637]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15685,15686,20637]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15685,15686,20637]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15685,15686,20637]"
