"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,3777,"",0
1,3778,"",0
2,3779,"",0
3,3780,"",0
4,3815,"",2
5,3816,"",3
6,3817,"",4
7,3818,"",5
8,3819,"",2
9,3820,"",3
10,3821,"",4
11,3822,"",5
12,3823,0,2
13,3824,0,3
14,3825,0,4
15,3826,0,5
16,3827,1,2
17,3828,1,3
18,3829,1,4
19,3830,1,5
20,3831,2,2
21,3832,2,3
22,3833,2,4
23,3834,2,5
24,3835,3,2
25,3836,3,3
26,3837,3,4
27,3838,3,5
28,3839,4,2
29,3840,4,3
30,3841,4,4
31,3842,4,5
32,3843,5,2
33,3844,5,3
34,3845,5,4
35,3846,5,5
36,3847,6,2
37,3848,6,3
38,3849,6,4
39,3850,6,5
40,3851,7,2
41,3852,7,3
42,3853,7,4
43,3854,7,5
44,3855,8,2
45,3856,8,3
46,3857,8,4
47,3858,8,5
48,3859,"",2
49,3860,"",3
50,3861,"",4
51,3862,"",5
52,3863,"",2
53,3864,"",3
54,3865,"",4
55,3866,"",5
56,3867,"",2
57,3868,"",3
58,3869,"",4
59,3870,"",5
