"rownum","BaseItemTypesKey","Block"
0,840,24
1,841,23
2,842,26
3,843,25
4,844,24
5,845,23
6,846,25
7,847,26
8,848,25
9,849,24
10,850,23
11,851,25
12,852,26
13,853,25
14,854,24
15,855,23
16,856,25
17,857,25
18,858,27
19,859,29
20,860,25
21,861,26
22,862,24
23,863,27
24,864,26
25,865,25
26,866,26
27,867,24
28,868,27
29,869,26
30,870,25
31,871,26
32,872,24
33,873,27
34,874,26
35,875,25
36,876,24
37,877,26
38,878,28
39,879,22
40,880,24
41,881,22
42,882,24
43,883,23
44,884,25
45,885,24
46,886,22
47,887,24
48,888,23
49,889,25
50,890,24
51,891,22
52,892,24
53,893,23
54,894,25
55,895,22
56,896,24
57,897,26
58,898,24
59,899,24
60,900,27
61,901,26
62,902,25
63,903,24
64,904,27
65,905,26
66,906,25
67,907,24
68,908,27
69,909,26
70,910,25
71,911,22
72,912,24
73,913,26
74,914,24
75,915,22
76,916,24
77,917,26
78,918,24
79,919,22
80,920,24
81,921,26
82,922,24
83,923,22
84,924,24
85,925,24
86,926,25
87,927,26
88,928,24
89,929,24
90,930,25
91,931,26
92,932,24
93,933,24
94,934,25
95,935,26
96,936,24
97,937,20
