"rownum","BlightTowersKey","i32_16","MonsterVarietiesKey","Cost","i32_40"
0,0,1,7802,0,0
1,1,1,7803,100,0
2,2,1,7804,150,0
3,3,1,7805,300,0
4,4,1,7806,500,0
5,5,1,7807,500,0
6,6,11,7808,100,0
7,7,11,7809,150,0
8,8,11,7810,300,0
9,9,11,7811,500,0
10,10,11,7812,500,0
11,11,15,7813,100,0
12,12,15,7814,150,0
13,13,15,7815,300,0
14,14,15,7816,500,0
15,15,15,7817,500,0
16,16,15,7818,100,0
17,17,15,7819,150,0
18,18,15,7820,300,0
19,19,15,7821,500,0
20,20,15,7822,500,0
21,21,6,7823,100,0
22,22,6,7824,150,0
23,23,6,7825,300,0
24,24,6,7826,500,0
25,25,6,7827,500,0
26,26,1,7828,100,0
27,27,1,7829,150,0
28,28,1,7830,300,0
29,29,1,7831,500,0
30,30,1,7832,500,0
