"rownum","WorldArea","CapturedVessel","QuestFlagUpgrade","CapturedMonster","PanelLayout","CapturedMonsterDescription","CapturedMonsterDescription (French)","CapturedMonsterDescription (German)","CapturedMonsterDescription (Japanese)","CapturedMonsterDescription (Korean)","CapturedMonsterDescription (Portuguese)","CapturedMonsterDescription (Russian)","CapturedMonsterDescription (Spanish)","CapturedMonsterDescription (Thai)","CapturedMonsterDescription (Traditional Chinese)","i32_88","QuestFlagDowngrade"
0,1143,3457,1389,[1069],0,"","","","","","","","","","",1324,3178
1,1149,3458,1390,[4594],0,"","","","","","","","","","",1325,3179
2,1093,3459,1391,[2435],0,"","","","","","","","","","",1326,3180
3,1217,3460,1392,[6088],1,"","","","","","","","","","",1327,3181
4,1131,3461,1393,[1418],1,"","","","","","","","","","",1328,3182
5,1245,3462,1394,[5657],1,"","","","","","","","","","",1329,3183
6,1215,3463,1395,[5390],2,"","Un Seigneur de guerre Rougelame","Ein Rotklingen-Kriegsfürst","レッドブレードの将軍","적검단 전쟁군주","Um Senhor da Guerra da Lâmina Vermelha","Предводитель Красных сабель","Un Jefe de guerra Cuchilla roja","ขุนศึกเรดเบลดผู้หนึ่ง","紅刃軍閥",1330,3184
7,1243,3464,1396,[5673],2,"","","","","","","","","","",1331,3185
8,1185,3465,1397,[5598],2,"","","","","","","","","","",1332,3186
9,1177,3466,1398,[5574],3,"","","","","","","","","","",1333,3187
10,1210,3467,1399,[4362],3,"","","","","","","","","","",1334,3188
11,1269,3468,1400,[5560],3,"","","","","","","","","","",1335,3189
12,1183,3469,1402,[75],6,"","","","","","","","","","",1336,3190
13,1145,3470,1405,[5961],8,"","","","","","","","","","",1337,3191
14,1231,3471,1406,[5974],9,"","","","","","","","","","",1338,3192
15,1234,3472,1407,[6190],10,"","","","","","","","","","",1339,3193
16,1191,3473,1401,[5698],11,"","","","","","","","","","",1340,3194
17,1219,3474,1404,[2468],13,"","","","","","","","","","",1341,3195
18,1241,3475,1408,[6016],14,"","","","","","","","","","",1342,3196
19,1130,3476,1403,[2571],15,"","","","","","","","","","",1343,3197
