"rownum","Id","BonusMods","rid_24","[i32]_40","StatsKeys","StatValues","i32_88","bool_92"
0,"InnerTreasure",[7301],"",[],[],[],0,""
1,"DropVaalItem",[7308],"",[],[],[],0,""
2,"AlwaysIgnite",[],"",[],"[4987,610]","[1,100]",0,""
3,"RandomCurseOnMeleeHit",[],"",[],[1226],[100],0,""
4,"Maimed",[],498,"[-30,1]",[],[],0,""
5,"AlwaysShock",[],"",[],"[4986,658]","[1,100]",0,""
6,"TormentedExperimenterPossess","[9196,9287,9372,9374]","",[],[],[],0,""
7,"TormentedBlasphemerPossess","[9199,9285,9372,9374]","",[],[],[],0,""
8,"TormentedNecromancerPossess","[9202,9287,9372,9374]","",[],[],[],0,""
9,"TormentedArsonistPossess","[9205,9287,9372,9374]","",[],[],[],0,""
10,"TormentedThiefPossess","[9234,9288,9372,9374]","",[],[],[],0,""
11,"TormentedMutilatorPossess","[9247,9287,9372,9374]","",[],[],[],0,""
12,"TormentedCharlatanPossess","[9215,9287,9372,9374]","",[],[],[],0,""
13,"TormentedCannibalPossess","[9240,9287,9372,9374]","",[],[],[],0,""
14,"TormentedPoisonerPossess","[9208,9287,9372,9374]","",[],[],[],0,""
15,"TormentedCorrupterPossess","[9211,9288,9372,9374]","",[],[],[],0,""
16,"TormentedThugPossess","[9218,9285,9372,9374]","",[],[],[],0,""
17,"TormentedRoguePossess","[9221,9285,9222,9372,9374]","",[],[],[],0,""
18,"TormentedFishermanPossess","[9224,9288,9372,9374]","",[],[],[],0,""
19,"TormentedLibrarianPossess","[9227,9288,9372,9374]","",[],[],[],0,""
20,"TormentedCutthroatPossess","[9231,9285,9372,9374]","",[],[],[],0,""
21,"TormentedSpyPossess","[9237,9285,9372,9374]","",[],[],[],0,""
22,"TormentedMartyrPossess","[9244,9287,9372,9374]","",[],[],[],0,""
23,"TormentedEmbezzlerPossess","[9250,9288,9372,9374]","",[],[],[],0,""
24,"TormentedCounterfeiterPossess","[9256,9287,9372,9374]","",[],[],[],0,""
25,"TormentedWarlordPossess","[9259,9285,9372,9374]","",[],[],[],0,""
26,"TormentedFreezerPossess","[9263,9287,9372,9374]","",[],[],[],0,""
27,"TormentedSmugglerPossess","[9267,9265,9288,9372,9374]","",[],[],[],0,""
28,"MapSupporterEssenceDaemon","[35914,35915,35916,35917,35918,35919,35920,35921,35922]","",[],[],[],1,""
29,"MonsterSupporterEnrageDaemon",[35923],"",[],[],[],0,""
30,"MonsterUberMapShaperTouched",[5939],"",[],[],[],0,""
31,"MonsterScarabUberScarab5",[18849],"",[],[],[],0,""
32,"MonsterScarabUniqueMonsterModScarab","[32406,32407,32408,32409,32410,32411,32412,32413,32414,32415,32416,32417,32418,32419,32420,32421,32422,32423,32424,32425,32426,32427,32428,32429,32430,32432,32433,32434,32435,32436,32437,32438,32439,32440,32441,32442,32443,32444,32445,32446,32447,32448,32449,32450,32451,32452,32453,32454,32455,32456,32457,32458,32463,32464,32465,32470,32471,32473,32475,32476,32478,32479,32481,32482,32483,32484,32485,32486,32487,32488,32489,32490,32491,32492,32494,32495,32496,32497,32499,32501,32502,32503,32504,32505,32506,32509,32510,32511,32513,32514,32515,32517,32518,32519,32520,32521,32522]","",[],[],[],2,1
