"rownum","Id","rid_8","[rid]_24","Gem","BK2File"
0,"ProxyKey1",0,[12],1819,"Art/Videos/ChinaSkillVideos/Guardian_Lightningtendrils+eleprolif.BK2"
1,"ProxyKey2",7,[12],1688,"Art/Videos/ChinaSkillVideos/Guardian_Clarity.BK2"
2,"ProxyKey3",10,[12],1668,"Art/Videos/ChinaSkillVideos/Guardian_Firestorm.BK2"
3,"ProxyKey4",2,[12],1906,"Art/Videos/ChinaSkillVideos/Guardian_Lightningtendrils+eleprolif+stormBarrier.BK2"
4,"ProxyKey5",3,"[11,12]",1710,"Art/Videos/ChinaSkillVideos/HeirophantGuard_FlameTotem.BK2"
5,"ProxyKey6",8,"[11,12]",1598,"Art/Videos/ChinaSkillVideos/HeirophantGuard_FlameTotem+LightningDamage.BK2"
6,"ProxyKey7",0,[11],1873,"Art/Videos/ChinaSkillVideos/Heirophant_Frostbolt+eleprolif.BK2"
7,"ProxyKey8",7,[11],1838,"Art/Videos/ChinaSkillVideos/Hierophant_FlameDash.BK2"
8,"ProxyKey9",10,[11],1562,"Art/Videos/ChinaSkillVideos/Heirophant_IceNova.BK2"
9,"ProxyKey10",2,[11],1898,"Art/Videos/ChinaSkillVideos/Heirophant_Frostbolt+Eleprolif+surge.BK2"
10,"ProxyKey11",0,[10],1798,"Art/Videos/ChinaSkillVideos/Inquisitor_Moltenstrike+Eleprolif.BK2"
11,"ProxyKey13",8,[10],1589,"Art/Videos/ChinaSkillVideos/Inquisitor_AncestralProtector+FireDamage.BK2"
12,"ProxyKey14",7,[10],1563,"Art/Videos/ChinaSkillVideos/Inquisitor_LeapSlam.BK2"
13,"ProxyKey15",10,[10],1587,"Art/Videos/ChinaSkillVideos/Inquisitor_StaticStrike.BK2"
14,"ProxyKey16",2,[10],1909,"Art/Videos/ChinaSkillVideos/Inquisitor_MoltenStrike+eleprolif+AncestralCall.BK2"
15,"ProxyKey17",2,[15],1897,"Art/Videos/ChinaSkillVideos/Champion_Molten+Bleed+Onslaught.BK2"
16,"ProxyKey18",0,"[14,15]",1798,"Art/Videos/ChinaSkillVideos/SlayerChampion_MoltenStrike+Bleed.BK2"
17,"ProxyKey19",8,[14],1589,"Art/Videos/ChinaSkillVideos/Gladiator_Vigilant+FireDamage.BK2"
18,"ProxyKey20",3,[14],1840,"Art/Videos/ChinaSkillVideos/Gladiator_Vigilant.BK2"
19,"ProxyKey21",2,[14],1909,"Art/Videos/ChinaSkillVideos/Gladiator_Molten+Bleed+AncestralCall.BK2"
20,"ProxyKey87",8,[15],1589,"Art/Videos/ChinaSkillVideos/Champion_Protector+FireDamage.BK2"
21,"ProxyKey23",7,"[13,14,15]",1563,"Art/Videos/ChinaSkillVideos/SlayerGladChamp_LeapSlam.BK2"
22,"ProxyKey24",10,"[13,14,15]",1573,"Art/Videos/ChinaSkillVideos/SlayerGladChamp_Lacerate.BK2"
23,"ProxyKey25",0,[13],1569,"Art/Videos/ChinaSkillVideos/Slayer_Cleave+Bleed.BK2"
24,"ProxyKey26",8,[13],1892,"Art/Videos/ChinaSkillVideos/Slayer_Protector+Maim.BK2"
25,"ProxyKey27",2,[13],1896,"Art/Videos/ChinaSkillVideos/Slayer_Cleave+Bleed+Ruthless.BK2"
26,"ProxyKey28",0,"[2,3]",1798,"Art/Videos/ChinaSkillVideos/ChieftanBersek_MoltenStrike+Ruthless.BK2"
27,"ProxyKey30",2,"[2,3]",1909,"Art/Videos/ChinaSkillVideos/ChieftanBeserk_MoltenStrike+Ruthless+AncestralCall.BK2"
28,"ProxyKey31",8,"[2,3]",1589,"Art/Videos/ChinaSkillVideos/ChieftainBerserker_AncestralProtector+FireDamage.BK2"
29,"ProxyKey32",7,"[1,2,3]",1563,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_LeapSlam.BK2"
30,"ProxyKey33",10,"[1,2,3]",1872,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_Sunder.BK2"
31,"ProxyKey34",0,[1],1568,"Art/Videos/ChinaSkillVideos/Juggernaut_Slam+Ruthless.BK2"
32,"ProxyKey35",3,[1],1840,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike.BK2"
33,"ProxyKey36",2,[1],1885,"Art/Videos/ChinaSkillVideos/Juggernaut_+Slam+Bleed+Ruthless.BK2"
34,"ProxyKey86",8,[1],1589,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike+FireDamage.BK2"
35,"ProxyKey37",0,[6],1580,"Art/Videos/ChinaSkillVideos/Necromancer_Zombie+surge.BK2"
36,"ProxyKey38",3,[6],1764,"Art/Videos/ChinaSkillVideos/Necromancer_SRS.BK2"
37,"ProxyKey39",8,[6],1659,"Art/Videos/ChinaSkillVideos/Necromancer_SRS+minionDamage.BK2"
