"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","i32_64"
0,"Fireball","[498,13168]",[610],[25],2.921,0,1027745409
1,"FireballAltX","[498,13168]",[610],[25],3.5,0,1030590824
2,"FireballAltY","[498,13168,14590]","[610,19583]","[25,50]",2.921,0,1027745409
3,"FireballMercenary",[498],[610],[25],2.921,0,1027745409
4,"FireballAltMercenary","[498,14590]",[19583],[50],2.921,0,1027745409
5,"FireballRoyale","[498,13168]","[610,5750,18295]","[25,35,9]",3.4315,0,1026081109
6,"MonsterFireball",[498],"[659,18295]","[-50,9]",2.5,0,1025597925
7,"MonsterFireballContactPos","[498,7080,4577,5824]","[659,18295]","[-50,9]",2.5,0,1025597925
8,"BlightMonsterFireball",[498],[18295],[9],2.5,0,1027101164
9,"GemlingFireball1",[498],[18295],[9],1.7889,0,1025597925
10,"GemlingFireball2",[498],"[173,8621,6196,1210,317,6850,18295]","[2,100,-100,20,-35,20,9]",1.7889,0,1025597925
11,"GemlingFireball3",[498],"[317,18295]","[-35,9]",1.1889,0,1025597925
12,"FireballSuperNovaCitystalker","[498,1776]","[173,5750,18295]","[8,-80,9]",0.6111,0,1025597925
13,"MonsterFireball3Parallel",[498],"[173,8621,6196,6850,18295]","[2,100,-100,20,9]",1.1889,0,1025597925
14,"HolyFireElementalFireball",[498],"[659,18295]","[-50,9]",1.1889,0,1025597925
15,"LegionTemplarFireball",[498],"[659,18295]","[-50,9]",2.75,0,1025758986
16,"HolyCitystalkerFireball",[498],"[659,18295]","[-50,9]",1.1889,0,1025597925
17,"AbberathMinionFireball","[498,7080,4577,5824]",[18295],[9],1.7833,0,1025597925
18,"AbberathMinionFireballMap","[498,7080,4577,5824]",[18295],[9],1.605,0,1025597925
19,"ExileShadowFireball","[1776,498,2317]","[659,173,216,214,175,18295]","[-50,18,50,3,-80,9]",0.9444,0,1025597925
20,"AvariusFireball","[498,4577]","[6151,18295]","[1,9]",4.4444,0,1022739087
21,"AvariusWickermanFireball","[498,4577]","[6151,18295]","[1,9]",2,0,1022739087
22,"AvariusJudgeFireball",[498],"[659,18295]","[-50,9]",1.1889,0,1025597925
