"rownum","RewardOffer","i32_16","Characters","Reward","RewardLevel","rid_56","i32_72","string_76","[rid]_84","RewardStack","bool_104","bool_105","[rid]_106","i32_122","i32_126","[rid]_130","i32_146","rid_150","i32_166","[rid]_170"
0,0,0,[1],1626,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
1,0,1,[1],1845,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
2,0,2,[1],1819,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
3,0,3,[1],1580,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
4,0,4,[1],1865,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
5,0,5,[1],2037,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
6,0,6,[6],1926,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
7,0,7,[6],1873,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
8,0,8,[6],1845,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
9,0,9,[6],1819,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
10,0,10,[6],1798,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
11,0,11,[6],1942,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
12,0,12,[0],1568,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
13,0,13,[0],1798,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
14,0,14,[0],2090,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
15,0,15,[4],1569,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
16,0,16,[4],1798,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
17,0,17,[4],1849,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
18,0,18,[4],1962,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
19,0,19,[4],2058,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
20,0,20,[3],1588,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
21,0,21,[3],1586,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
22,0,22,[3],1839,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
23,0,23,[3],1849,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
24,0,24,[3],1584,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
25,0,25,[5],1626,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
26,0,26,[5],1914,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
27,0,27,[5],1984,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
28,0,28,[5],1706,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
29,0,29,[5],1865,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
30,0,30,[5],1975,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
31,0,31,[2],1798,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
32,0,32,[2],1588,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
33,0,33,[2],1819,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
34,0,34,[2],2058,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
35,3,0,[1],1857,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
36,3,1,[1],1858,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
37,3,2,[1],1764,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
38,3,3,[1],1863,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
39,3,4,[1],1581,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
40,3,5,[1],2060,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
41,3,6,[6],1857,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
42,3,7,[6],1929,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
43,3,8,[6],1710,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
44,3,9,[6],1840,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
45,3,10,[6],2060,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
46,3,11,[0],1704,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
47,3,12,[0],1954,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
48,3,13,[0],1840,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
49,3,14,[0],1650,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
50,3,15,[4],1644,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
51,3,16,[4],1704,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
52,3,17,[4],1673,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
53,3,18,[4],1840,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
54,3,19,[4],1936,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
55,3,20,[4],1960,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
56,3,21,[4],1650,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
57,3,22,[3],1644,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
58,3,23,[3],1701,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
59,3,24,[3],1673,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
60,3,25,[3],1990,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
61,3,26,[5],1701,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
62,3,27,[5],1858,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
63,3,28,[5],1863,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
64,3,29,[5],1581,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
65,3,30,[2],1857,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
66,3,31,[2],1701,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
67,3,32,[2],1704,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
68,3,33,[2],1840,1,"",0,"",[],1,"","",[],1586,0,[],0,"",0,[]
69,4,0,[1],1967,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
70,4,1,[6],1570,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
71,4,2,[6],1967,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
72,4,3,[0],1570,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
73,4,4,[4],1570,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
74,4,5,[4],1956,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
75,4,6,[3],1956,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
76,4,7,[5],1956,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
77,4,8,[5],1967,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
78,4,9,[2],1570,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
79,4,10,[2],1956,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
80,4,11,[2],1967,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
81,8,0,[1],1598,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
82,8,1,[1],1659,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
83,8,2,[1],1867,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
84,8,3,[1],1894,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
85,8,4,[1],1662,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
86,8,5,[1],2033,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
87,8,6,[1],1890,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
88,8,7,[1],2296,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
89,8,8,[6],1589,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
90,8,9,[6],1598,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
91,8,10,[6],1728,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
92,8,11,[6],1662,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
93,8,12,[6],2077,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
94,8,13,[0],1590,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
95,8,14,[0],1728,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
96,8,15,[0],1589,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
97,8,16,[0],2077,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
98,8,17,[0],2298,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
99,8,18,[4],1590,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
100,8,19,[4],1589,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
101,8,20,[4],1728,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
102,8,21,[4],1592,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
103,8,22,[4],1892,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
104,8,23,[4],2077,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
105,8,24,[3],1590,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
106,8,25,[3],1592,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
107,8,26,[3],1595,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
108,8,27,[3],1728,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
109,8,28,[3],1867,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
110,8,29,[3],1991,1,"",0,"",[],1,"","",[],1586,0,[],1,"",0,[]
