"rownum","string_0","QuestFlag","AreaLevel","Monster","rid_44","i32_60","QuestFlag2","i32_80","i32_84"
0,"RitualMaven",2357,84,8899,"",36,2357,2,1586
1,"ArchnemesisMaven",2357,84,8899,"",42,2613,2,1586
2,"ArchnemesisExarch",2611,84,9463,"",42,2613,2,1586
3,"ArchnemesisEater",2612,84,9465,"",42,2613,2,1586
4,"SentinelUberEater",2618,85,9465,"",44,2617,2,1586
5,"SentinelUberExarch",2619,85,9463,"",44,2617,2,1586
6,"SentinelUberMaven",2620,85,8899,"",44,2617,2,1586
7,"SentinelUberSirus",2621,85,8261,"",44,2617,2,1586
8,"SentinelUberVenarius",2622,85,7497,"",44,2617,2,1586
9,"SentinelUberUberElder",2623,85,6283,"",44,2617,2,1586
10,"SentinelUberShaper",2624,85,5198,"",44,2617,2,1586
11,"KalandraUberEater",2618,85,9465,"",45,2617,2,1586
12,"KalandraUberExarch",2619,85,9463,"",45,2617,2,1586
13,"KalandraUberMaven",2620,85,8899,"",45,2617,2,1586
14,"KalandraUberSirus",2621,85,8261,"",45,2617,2,1586
15,"KalandraUberVenarius",2622,85,7497,"",45,2617,2,1586
16,"KalandraUberUberElder",2623,85,6283,"",45,2617,2,1586
17,"KalandraUberShaper",2624,85,5198,"",45,2617,2,1586
18,"CrucibleUberEater",2618,85,9465,"",47,2617,1,1586
19,"CrucibleUberExarch",2619,85,9463,"",47,2617,1,1586
20,"MercenaryAnger",3306,84,10252,"",55,3308,2,1586
21,"MercenaryBenevolence",3307,84,10246,"",55,3308,2,1586
22,"MercenaryIgnorance",3305,84,10254,"",55,3308,2,1586
