"rownum","Id","MiscAnimated","i32_24","PreloadGroupsKeys","i32_44"
0,"SoulEaterBeam",281,1128792064,[],3
1,"VaalOversoulBeam",96,1138327552,[],4
2,"AtziriOversoulBeam",97,1138327552,[],4
3,"Arc",2160,1140733051,[],4
4,"PietyArc",169,1140733051,[],4
5,"GuardianArc",168,1125187584,[],4
6,"ArcPurpleMTX",1238,1140733051,[],4
7,"SearingBond",191,1140457472,[],4
8,"SearingBondGreen",195,1140457472,[],4
9,"SearingBondBlue",452,1140457472,[],4
10,"PulseBeamFire",462,1140457472,[1],4
11,"PulseBeamCold",463,1140457472,[1],4
12,"PulseBeamLightning",464,1140457472,[1],4
13,"BallLightningBeam",156,1125187584,[],4
14,"SummonStormsBeam",475,1128792064,[],4
15,"AnimatedGuardianBeam",481,1138327552,[1],4
16,"PhylacteralLinkBeam",483,1138327552,[1],4
17,"ChillingBondBeam",197,1140457472,[],4
18,"SeawitchLightningBeam",308,1140457472,[],4
19,"BallLightningBeamPlayer",389,1125187584,[],4
20,"BallLightningGroundBeam",157,1125187584,[],4
21,"InfernalSwarmBeam",382,1128792064,[],4
22,"ColdChargedBeam",508,1140457472,[],4
23,"CorruptedBallLightningBeam",530,1125187584,[],4
24,"CorruptedLightningBeam",531,1133903872,[],4
25,"ElementalStrikeLightningBeam",598,1140733051,[],4
26,"TempestShieldBeam",602,1140733051,[],4
27,"EyeBallLightningBeam",609,1125187584,[],4
28,"StaticTetherBolt",653,1125187584,[],4
29,"StormCloudBeam",689,1140457472,[],4
30,"VinktarLightningBond",308,1140457472,[],4
31,"IzaroGargoyleBeam",874,1140457472,[],4
32,"LightningGolemOrbBeam",882,1125187584,[],4
33,"PerandusChestBeam",909,1128792064,[4],4
34,"GoddessBeam",999,1140457472,[],4
35,"MinotaurArcTrapBeam",1024,1140733051,[],4
36,"ZanaDisruptionBeam",1073,1140457472,[],4
37,"FireBeam",1106,1133576192,[],4
38,"SkeletalChainsBeam",1125,1133248512,[],4
39,"BreachLightningBeam",1128,1142358016,[],4
40,"SolarisBackflipBeam",1183,1141964800,[],4
41,"SolarisSkyBeamBeam",1184,1133903872,[],4
42,"AvariusDivineBeam",1197,1144094720,[],4
43,"BenevolenceDivineBeam",1200,1144094720,[],4
44,"TukohamaShieldBeam",1206,1140457472,[],4
45,"BrutusChainBeam",1220,1140457472,[],4
46,"ShavronneLevitationBeam",1221,1140457472,[],4
47,"ShavronneEmpoweringBeam",1222,1140457472,[],4
48,"FireBeamMonster",1231,1133576192,[],4
49,"TemplarBallLightningBeam",1235,1125187584,[],4
50,"TemplarBallLightningGroundBeam",1236,1120403456,[],4
51,"KitavaBeam",1321,1145569280,[],4
52,"RighteousFireSacrificeBeam",452,1140457472,[],4
