"rownum","BaseItemTypesKey","rid_16","rid_32","rid_48","rid_64","rid_80","rid_96","rid_112","rid_128","rid_144","rid_160","rid_176","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]_424","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]_957","Level2"
0,87,"","","","","","","","","","","","",1943,3254,"","",3254,"","","","","",-1010710615,[1],"[12960,12984,12976]",0,1,[700],1931,"","","",1943,3254,"",3254,3254,3254,3254,1943,1931,1943,1943,1943,1943,1931,1931,1931,1931,1931,1931,1931,12812,35,3254,3796,3796,3796,3254,"","","[12968,12984]",[1905],[1]
1,88,"","","","","","","","","","","","",1944,3255,"","",3255,"","","","","",1794042691,[12],"[12961,12984,12977]",0,2,[770],1932,"","","",1944,3255,"",3255,3255,3255,3255,1944,1932,1944,1944,1944,1944,1932,1932,1932,1932,1932,1932,1932,12813,45,3255,3797,3797,3797,3255,"","","[12969,12984]",[1905],[12]
2,89,"","","","","","","","","","","","",1946,3256,"","",3256,"","","","","",-1926556014,[30],"[12962,12984,12978]",0,3,[847],1934,"","","",1946,3256,"",3256,3256,3256,3256,1946,1934,1946,1946,1946,1946,1934,1934,1934,1934,1934,1934,1934,12814,60,3256,3798,3798,3798,3256,"","","[12970,12984]",[1905],[30]
3,90,"","","","","","","","","","","","",1948,3257,"","",3257,"","","","","",1130285480,[48],"[12963,12984,12979]",0,4,[931],1936,"","","",1948,3257,"",3257,3257,3257,3257,1948,1936,1948,1948,1948,1948,1936,1936,1936,1936,1936,1936,1936,12815,75,3257,3799,3799,3799,3257,"","","[12971,12984]",[841],[48]
4,91,"","","","","","","","","","","","",1950,3259,"","",3259,"","","","","",2062300730,[68],"[12964,12984,12980]",0,5,[1024],1938,"","","",1950,3259,"",3259,3259,3259,3259,1950,1938,1950,1950,1950,1950,1938,1938,1938,1938,1938,1938,1938,12816,0,3259,3800,3800,3800,3259,"",1,"[12972,12984]",[56],[68]
5,92,"","","","","","","","","","","","",1951,3260,"","",3260,"","","","","",-2071586625,"[73,77]","[12965,12984,12981]",0,6,"[205,410]",1939,"","","",1951,3260,"",3260,3260,3260,3260,1951,1939,1951,1951,1951,1951,1939,1939,1939,1939,1939,1939,1939,12817,0,3260,3801,3801,3801,3260,"","","[12973,12984]",[0],[]
6,93,"","","","","","","","","","","","",1963,3261,"","",3261,"","","","","",1769493148,[],"[12966,12984,12982]",0,7,[0],1941,"","","",1963,3261,"",3261,3261,3261,3261,1963,1941,1963,1963,1963,1963,1941,1941,1941,1941,1941,1941,1941,12818,0,3261,3802,3802,3802,3261,"","","[12974,12984]",[0],[]
7,94,"","","","","","","","","","","","","",13982,2052,670,670,"","","","","",-777397213,[1],"[12960,12976]",1,1,[700],"","",2403,2415,"",755,"",755,755,755,755,2415,2403,2415,2415,2415,2415,2403,2403,2403,2403,2403,2403,2403,12904,35,670,2052,670,"",755,"","",[12968],[1905],[1]
8,95,"","","","","","","","","","","","","",13983,2053,671,671,"","","","","",1672586153,[12],"[12961,12977]",1,2,[770],"","",2404,2416,"",756,"",756,756,756,756,2416,2404,2416,2416,2416,2416,2404,2404,2404,2404,2404,2404,2404,12905,45,671,2053,671,"",756,"","",[12969],[1905],[12]
9,96,"","","","","","","","","","","","","",13988,2054,674,674,"","","","","",1828846209,[30],"[12962,12978]",1,3,[847],"","",2405,2417,"",758,"",758,758,758,758,2417,2405,2417,2417,2417,2417,2405,2405,2405,2405,2405,2405,2405,12906,60,674,2054,674,"",758,"","",[12970],[1905],[30]
10,97,"","","","","","","","","","","","","",13989,2055,676,676,772,772,"","",761,-1245983058,[48],"[12963,12979]",1,4,[931],"","",2406,2418,"",760,"",760,760,772,772,2418,2406,2418,2418,2418,2418,2406,2406,2406,2406,2406,2406,2406,12907,75,676,2055,676,"",761,"","",[12971],[841],[48]
11,98,"","","","","","","","","","","","","",13985,2056,677,677,"","",762,776,769,-182539987,[68],"[12964,12980]",1,5,[1024],"","",2411,2423,"",773,"",776,762,773,773,2423,2411,2423,2423,2423,2423,2411,2411,2411,2411,2411,2411,2411,12908,0,677,2056,677,"",769,"",1,[12972],[56],[68]
12,99,"","","","","","","","","","","","","",13986,2062,679,678,"","",764,777,770,910335598,"[73,77]","[12965,12981]",1,6,"[205,410]","","",2412,2424,"",774,"",777,764,774,774,2424,2412,2424,2424,2424,2424,2412,2412,2412,2412,2412,2412,2412,12909,0,678,2062,679,"",770,"","",[12973],[0],[]
13,100,"","","","","","","","","","","","","",13987,2063,680,679,"","",768,778,771,1591416724,[],"[12966,12982]",1,7,[0],"","",2413,2425,"",775,"",778,768,775,775,2425,2413,2425,2425,2425,2425,2413,2413,2413,2413,2413,2413,2413,12910,0,679,2063,680,"",771,"","",[12974],[0],[]
14,101,"","","","","","","","","","","","","",1077,"","",4835,331,331,"",331,"",1724552963,[1],"[12960,12976]",2,1,[700],9868,"","","","",319,"",331,319,331,331,9868,9868,9868,9868,9868,9868,9868,9868,9868,9868,9868,9868,9868,12897,35,4835,2975,2975,2975,319,"","",[12968],[1905],[1]
15,102,"","","","","","","","","","","","","",1078,"","",4836,332,332,"",332,"",-1337235593,[12],"[12961,12977]",2,2,[770],9869,"","","","",321,"",332,321,332,332,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,12898,45,4836,2976,2976,2976,321,"","",[12969],[1905],[12]
16,103,"","","","","","","","","","","","","",1079,"","",4837,333,333,"",333,"",1334812465,[30],"[12962,12978]",2,3,[847],9870,"","","","",323,"",333,323,333,333,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,12899,60,4837,2977,2977,2977,323,"","",[12970],[1905],[30]
17,104,"","","","","","","","","","","","","",1080,"","",4838,334,334,"",334,324,-669856137,[48],"[12963,12979]",2,4,[931],9871,"","","","",325,"",334,325,334,334,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,12900,75,4838,2978,2978,2978,324,"","",[12971],[841],[48]
18,105,"","","","","","","","","","","","","",1081,"","",4839,335,335,"",335,325,181619222,[68],"[12964,12980]",2,5,[1024],9872,"","","","",327,"",335,327,335,335,9872,9872,9872,9872,9872,9872,9872,9872,9872,9872,9872,9872,9872,12901,0,4839,2979,2979,2979,325,"",1,[12972],[56],[68]
19,106,"","","","","","","","","","","","","",1082,"","",4840,336,336,"",336,326,2059925248,"[73,77]","[12965,12981]",2,6,"[205,410]",9873,"","","","",328,"",336,328,336,336,9873,9873,9873,9873,9873,9873,9873,9873,9873,9873,9873,9873,9873,12902,0,4840,2980,2980,2980,326,"","",[12973],[0],[]
20,107,"","","","","","","","","","","","","",1083,"","",4841,340,340,"",340,327,-1356244188,[],"[12966,12982]",2,7,[0],9874,"","","","",329,"",340,329,340,340,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,12903,0,4841,2981,2981,2981,327,"","",[12974],[0],[]
21,108,"","","","","","","","","","","","","",779,"","",4920,779,4920,4920,4920,4920,1018082169,[1],"[12960,12976]",3,1,[700],"","",1386,1397,"",4920,"",4920,4920,4920,779,1397,1386,1397,1397,1397,1397,1386,1386,1386,1386,1386,1386,1386,12872,35,4920,779,779,779,4920,"","",[12968],[1905],[1]
22,109,"","","","","","","","","","","","","",780,"","",4921,780,4921,4921,4921,4921,829889309,[12],"[12961,12977]",3,2,[770],"","",1387,1398,"",4921,"",4921,4921,4921,780,1398,1387,1398,1398,1398,1398,1387,1387,1387,1387,1387,1387,1387,12873,45,4921,780,780,780,4921,"","",[12969],[1905],[12]
23,110,"","","","","","","","","","","","","",782,"","",4922,781,4922,4922,4922,4922,2051179612,[30],"[12962,12978]",3,3,[847],"","",1388,1399,"",4922,"",4922,4922,4922,781,1399,1388,1399,1399,1399,1399,1388,1388,1388,1388,1388,1388,1388,12874,60,4922,782,782,782,4922,"","",[12970],[1905],[30]
24,111,"","","","","","","","","","","","","",784,784,783,4923,801,4923,4923,4923,4923,-743698363,[48],"[12963,12979]",3,4,[931],"","",1389,1400,"",4923,"",4923,4923,4923,801,1400,1389,1400,1400,1400,1400,1389,1389,1389,1389,1389,1389,1389,12875,75,4923,784,783,"",4923,"","",[12971],[841],[48]
25,112,"","","","","","","","","","","","","",786,786,798,4924,802,4924,4924,4924,4924,-205989316,[68],"[12964,12879,12980]",3,5,[1024],"","",1391,1402,"",4924,"",4924,4924,4924,802,1402,1391,1402,1402,1402,1402,1391,1391,1391,1391,1391,1391,1391,12876,0,4924,786,798,"",4924,"",1,"[12972,12879]",[56],[68]
