"rownum","GrantedEffectsKey","string_16","bool_24","bool_25","bool_26","MiscAnimated","bool_43","bool_44","i32_45","bool_49","bool_50","bool_51","bool_52"
0,1536,"<lock>",1,1,1,17,"",1,0,"","",1,""
1,1537,"<lock>",1,1,1,18,"",1,0,"","",1,""
2,676,"<lock>",1,1,1,39,"",1,0,"","",1,""
3,677,"<lock>",1,1,1,39,"",1,0,"","",1,""
4,678,"<lock>",1,1,1,39,"",1,0,"","",1,""
5,1910,"<lock>",1,1,1,9,"",1,0,"","",1,""
6,1920,"<lock>",1,1,1,12,"",1,0,"","",1,""
7,1923,"<lock>",1,1,1,7,"",1,0,"","",1,""
8,1932,"<lock>",1,1,1,12,"",1,0,"","",1,""
9,1939,"<lock>",1,1,1,10,"",1,0,"","",1,""
10,1951,"<lock>",1,1,1,11,"",1,0,"","",1,""
11,1958,"<lock>",1,1,1,39,"",1,0,"","",1,""
12,1966,"<lock>",1,1,1,40,"",1,0,"","",1,""
13,1977,"<lock>",1,1,1,41,"",1,0,"","",1,""
14,2004,"<lock>",1,1,1,12,"",1,0,"","",1,""
15,6252,"<lock>",1,1,1,4,"",1,0,"","",1,""
16,2285,"<lock>",1,1,1,40,"",1,0,"","",1,""
17,2959,"<lock>",1,1,1,39,"",1,0,"","",1,""
18,2964,"<lock>",1,1,1,40,"",1,0,"","",1,""
19,2969,"<lock>",1,1,1,41,"",1,0,"","",1,""
20,3923,"<lock>",1,1,1,39,"",1,0,"","",1,""
21,3925,"<lock>",1,1,1,40,"",1,0,"","",1,""
22,3926,"<lock>",1,1,1,41,"",1,0,"","",1,""
23,3927,"<lock>",1,1,1,6,"",1,0,"","",1,""
24,3929,"<lock>",1,1,1,5,"",1,0,"","",1,""
25,1102,"<lock>","",1,"",57,"",1,0,"","",1,""
26,1126,"<lock>","",1,"",57,"",1,0,"","",1,""
27,1136,"<lock>","",1,"",7,"",1,0,"","",1,""
28,1144,"<lock>","",1,"",57,"",1,0,"","",1,""
29,1150,"<lock>","",1,"",57,"",1,0,"","",1,""
30,1165,"<lock>","",1,"",9,"",1,0,"","",1,""
31,1173,"<lock>","",1,"",19,"",1,0,"","",1,""
32,1178,"<lock>","",1,"",57,"",1,0,"","",1,""
33,2356,"<lock>","",1,"",57,"",1,0,"","",1,""
34,2370,"<lock>","",1,"",57,"",1,0,"","",1,""
35,2379,"<lock>","",1,"",57,"",1,0,"","",1,""
36,3938,"<lock>","",1,"",19,"",1,0,"","",1,""
37,5018,"<lock>","",1,"",57,"",1,0,"","",1,""
38,8967,"<lock>","",1,"",57,"",1,0,"","",1,""
39,5681,"<lock>","",1,1,14,"",1,0,1,"",1,""
40,5682,"<lock>","",1,1,14,"",1,0,1,"",1,""
41,5683,"<lock>","",1,1,14,"",1,0,1,"",1,""
42,9632,"Head_Attachment",1,1,1,13,"",1,0,"","",1,""
43,10083,"<lock>",1,1,1,12,"",1,0,"","",1,""
44,10072,"<lock>",1,1,1,11,"",1,0,"","",1,""
45,10065,"<lock>",1,1,1,5,"",1,0,1,"","",""
46,10066,"<lock>",1,1,1,5,"",1,0,1,"","",""
47,10067,"<lock>",1,1,1,5,"",1,0,1,"","",""
48,9992,"<lock>",1,1,1,5,"",1,0,1,"","",""
49,9993,"<lock>",1,1,1,5,"",1,0,1,"","",""
50,9994,"<lock>",1,1,1,5,"",1,0,1,"","",""
51,1916,"<lock>",1,1,1,9,"",1,0,"","",1,""
52,1947,"<lock>",1,1,1,10,"",1,0,"","",1,""
53,1933,"<lock>",1,1,1,12,"",1,0,"","",1,""
54,2007,"<lock>",1,1,1,12,"",1,0,"","",1,""
55,8607,"<lock>",1,1,1,39,"",1,0,"","",1,""
56,8608,"<lock>",1,1,1,40,"",1,0,"","",1,""
