"rownum","Item","Category","SubCategory","bool_48","EnabledInChallengeLeague","GoldPurchaseFee","bool_54"
0,3758,0,0,1,1,1000,1
1,1,0,0,1,1,1,""
2,17,0,0,1,1,3,""
3,11,0,0,1,1,5,""
4,16,0,0,1,1,10,""
5,8,0,0,1,1,25,""
6,12,0,0,1,1,25,""
7,20,0,0,1,1,25,""
8,22,0,0,1,1,25,""
9,21,0,0,1,1,40,""
10,7,0,0,1,1,25,""
11,2,0,0,1,1,25,""
12,13,0,0,1,1,25,""
13,9,0,0,1,1,50,""
14,39,0,0,1,1,50,""
15,218,0,0,"",1,50,""
16,4052,0,0,"",1,50,""
17,10,0,0,1,1,50,""
18,24,0,0,1,1,75,""
19,219,0,0,1,1,75,""
20,4051,0,0,"",1,75,""
21,15,0,0,1,1,100,""
22,2879,0,0,"",1,150,""
23,14,0,0,1,1,250,""
24,223,0,0,1,1,250,""
25,3086,0,0,"",1,100,""
26,220,0,0,1,1,250,""
27,328,0,0,1,1,300,""
28,23,0,0,1,1,250,""
29,217,0,0,1,1,250,""
30,4504,0,1,1,1,525,""
31,4505,0,1,1,1,525,""
32,4506,0,1,1,1,525,""
33,2930,0,0,1,1,975,""
34,5061,0,0,1,1,500,""
35,61,0,0,"",1,250,""
36,62,0,0,"",1,250,""
37,224,0,0,1,1,500,""
38,4,0,0,1,1,250,""
39,3,0,0,1,1,500,""
40,37,0,0,1,"",6250,""
41,25,0,0,1,1,250,""
42,4654,0,0,1,1,6250,""
43,6,0,0,1,1,25000,""
44,33,0,5,1,1,4,1
45,34,0,5,"",1,1,""
46,35,0,5,1,1,1,""
47,229,0,5,"",1,2,""
48,231,0,5,"",1,1,""
49,226,0,5,"",1,2,""
50,227,0,5,1,1,4,""
51,234,0,5,"",1,4,""
52,228,0,5,1,1,12,""
53,230,0,5,1,1,12,""
54,233,0,5,"",1,12,""
55,225,0,5,"",1,12,""
56,235,0,5,1,1,25,""
57,232,0,5,1,1,1250,""
58,5,0,4,1,1,25,""
59,0,0,4,1,1,30,""
60,26,0,4,1,1,40,""
61,18,0,4,1,1,50,""
62,221,0,4,"",1,50,""
63,19,0,4,1,1,50,""
64,27,0,4,"",1,200,""
65,28,0,4,"",1,200,""
66,31,0,4,"",1,200,""
67,29,0,4,"",1,200,""
68,30,0,4,"",1,200,""
69,318,0,1,1,1,75,""
70,322,0,1,1,1,75,""
71,319,0,1,1,1,100,""
72,323,0,1,1,1,100,""
73,320,0,1,1,1,175,""
74,324,0,1,1,1,175,""
75,321,0,1,1,1,525,""
76,325,0,1,1,1,525,""
77,326,0,1,1,1,1050,""
78,52,0,3,"",1,500,""
79,53,0,3,"",1,500,""
80,3752,0,3,"",1,500,""
81,3753,0,3,"",1,500,""
