"rownum","Id","Tag","DisableDrops","MoreLikely","Count"
0,"Bestiary",1109,"",21290,20194
1,"Breach",1102,19872,21291,20195
2,"Maps",1110,"",19685,20196
3,"Uniques",1111,"",19686,20197
4,"DivinationCards",1112,"",21292,20198
5,"Torment",1113,"",19683,20199
6,"Strongbox",1114,"",19684,20200
7,"Harbinger",1115,"",19689,20201
8,"Legion",1106,19876,21293,20202
9,"Delve",1116,"",21294,20203
10,"Blight",1101,19871,21295,20204
11,"Abyss",1100,19870,21296,20205
12,"Influence",1117,"","",20206
13,"Ultimatum",1108,19878,21297,20215
14,"Anarchy",1118,"",19688,20207
15,"Misc",1119,"","",20208
16,"Delirium",1103,19873,21298,20209
17,"Ritual",1107,19877,21299,20211
18,"Harvest",1105,19875,21300,20212
19,"Domination",1120,"",19687,20213
20,"Betrayal",1121,"",21301,20214
21,"Essence",1122,"",19682,20216
22,"Incursion",1123,"",21302,20218
23,"Beyond",1124,"",19681,20210
24,"Expedition",1104,19874,21303,20217
25,"Uber",1134,"","",20219
26,"Settlers",1125,20916,21304,20917
