"rownum","Id","MonsterVarietiesKey","i32_24","rid_28","i32_44","bool_48"
0,"SkeletonMeleeFireTormentNecromancer",2367,145,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4560,145,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",5155,145,1047,2,1
4,"EssenceBloodworm",4426,145,"",1,""
5,"Essence Elemental Swarm 1st stage",418,145,113,4,1
6,"Essence Elemental Swarm 2nd stage",419,145,113,2,1
7,"Essence Elemental Swarm 3rd stage",420,145,113,2,1
8,"Essence Rock Golem",4688,145,"",1,1
9,"Essence Explosive Insect",1601,145,"",1,1
10,"Volatile Flameblood",5182,145,"",1,1
11,"Obsidian Golem",4361,145,"",1,1
12,"TormentedBetrayerBeacon",7731,145,"",1,""
13,"BlightDaemonFire",8045,145,113,1,""
14,"BlightDaemonCold",8047,145,115,1,""
15,"BlightDaemonLightning",8049,145,447,1,""
16,"BlightDaemonPhysical",8051,145,522,1,""
17,"BlightDaemonChaos",8053,145,1064,1,""
18,"MapVolatile",5194,145,"",1,""
19,"LegionVolatile",5185,145,"",1,""
20,"UberVolatile",5195,145,"",1,""
21,"UberElderNova",6289,145,"",1,""
