"rownum","Id","i32_8","i32_12","i32_16","Stat","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SupportFamily","HASH16","GemIcon","Variant"
0,"MultipleProjectilesLow",0,0,0,[173],[2],"Lesser Multiple Projectiles","Projectiles multiples mineurs","Kleinere Projektilaufteilung","投射物追加（小）","하위 다중 투사체","Projéteis Múltiplos Menor","Дополнительные снаряды","Proyectiles múltiples menores","Lesser Multiple Projectiles","低階多重投射物",0,12054,"Art/2DItems/Gems/Support/LesserMultipleProjectiles.dds",1
1,"MultipleProjectilesHigh",0,0,0,[173],[3],"Greater Multiple Projectiles","Projectiles multiples majeurs","Größere Projektilaufteilung","投射物追加（大）","상위 다중 투사체","Projéteis Múltiplos Maior","Много дополнительных снарядов","Proyectiles múltiples mayores","Greater Multiple Projectiles","高階多重投射物",0,49419,"Art/2DItems/Gems/Support/GreaterMultipleProjectiles.dds",3
2,"CausticArrowSpecificChaosConvertHigh",0,0,0,[1102],[40],"Gilded Caustic Conversion","Conversion caustique dorée","Goldene Ätzende Umwandlung","金色のコースティック変換","도금된 부식성 전환","Conversão Cáustica Áurea","Позолоченный: Едкое превращение","Conversión cáustica dorada","Gilded Caustic Conversion","鍍金腐蝕轉換","",39101,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
3,"HolyMoltenStrikeSpecificLightningExposureHigh",0,0,0,[10712],[30],"Gilded Exposure on Hit","Exposition au Toucher dorée","Goldene Anfälligkeit bei Treffer","金色のヒット時曝露","도금된 명중 시 노출 유발","Exposição ao Atingir Áurea","Позолоченный: Восприимчивость при ударе","Exposición dorada al impactar","Gilded Exposure on Hit","鍍金擊中時曝曬","",50741,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
4,"MeleeSplashHigh",0,0,0,"[3838,1246,1248]","[35,1,-30]","Melee Splash","Dégâts de mêlée collatéraux","Nahkampf-Streuschaden","近接スプラッシュ","근접 범위 피해","Propagar Dano","Раскатистый удар","Golpe colateral","Melee Splash","近戰擴散","",40660,"Art/2DItems/Gems/Support/Splash.dds",3
5,"LightningArrowSpecificAddedTargetsHigh",0,0,0,[788],[2],"Gilded Extra Targets","Cibles supplémentaires dorées","Goldene Extraziele","金色の追加対象","도금된 추가 대상","Alvos Adicionais Áureos","Позолоченный: Дополнительные цели","Objetivos dorados adicionales","Gilded Extra Targets","鍍金額外目標","",58471,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
6,"AdditionalChainsLow",0,0,0,[172],[1],"Lesser Chain","Ricochet mineur","Geringere Verkettung","連鎖（小）","하위 연쇄","Propagar Menor","Малая цепь","Encadenamiento menor","Lesser Chain","低階連鎖",1,14317,"Art/2DItems/Gems/Support/chain.dds",1
7,"AdditionalChainsMid",0,0,0,[172],[3],"Chain","Ricochet","Verkettung","連鎖","연쇄","Propagar","Цепь","Encadenamiento","Chain","連鎖",1,31052,"Art/2DItems/Gems/Support/chain.dds",2
8,"ShieldCrushSpecificAttackDamageFromShieldHigh",0,0,0,[11372],[3],"Gilded Shield Damage","Dégâts au Bouclier dorés","Goldener Schildschaden","金色の盾ダメージ","도금된 방패 피해","Dano de Escudo Áureo","Позолоченный: Урон щитом","Daño de escudo dorado","Gilded Shield Damage","鍍金盾牌傷害","",30406,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
9,"ConsecratedPathSpecificDamageGainHigh",0,0,0,[4723],[40],"Gilded Consecration","Consécration dorée","Goldene Weihung","金色の神聖","도금된 신성화","Consagração Áurea","Позолоченный: Освящение","Consagración dorada","Gilded Consecration","鍍金奉獻","",10782,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
