"rownum","rid_0","i32_16","[i32]_20","[rid]_36","rid_52","i32_68","bool_72","i32_73","i32_77","i32_81","i32_85"
0,8682,0,[3],[6994],"",0,1,-30,0,150,800
1,8682,1,[1],"[6999,10995]","",0,1,-30,0,150,800
2,8685,0,[1],[],"",0,1,0,0,150,800
3,8687,0,"[1,3]","[6998,10995]","",0,1,-30,0,150,800
4,8689,0,"[1,3]","[6975,10995]","",0,1,-30,0,150,800
5,8691,0,[2],[1818],"",10,1,-15,0,150,800
6,8693,0,[2],[6980],"",10,1,10,0,150,800
7,8695,0,"[3,1]",[6995],"",0,1,-30,0,150,800
8,8697,0,"[1,3]","[6975,10995]","",0,1,-30,0,150,800
9,8699,0,[2],"[6980,1824]","",10,1,10,0,150,800
10,8701,0,"[3,1]",[6995],"",0,1,-30,0,150,800
11,8702,0,"[1,3]","[6975,10995]","",0,1,-30,0,150,800
12,8703,0,[2],"[6980,1824]","",10,1,10,0,150,800
13,8704,0,"[3,1]",[6996],"",0,1,-30,0,150,800
14,8705,0,"[1,3]",[6975],"",0,1,-30,0,150,800
15,8756,0,"[3,1]","[7029,10995]","",0,1,-30,0,150,800
16,8758,0,[3],"[7030,10995]","",0,1,-30,0,150,800
17,8758,1,[1],[],"",0,1,-30,0,150,800
18,8760,0,"[1,3]","[7031,10995]","",0,1,-30,0,150,800
19,8762,0,"[1,3]","[7032,10995]","",0,1,-30,0,150,800
20,8764,0,[2],[7898],"",10,1,-15,0,150,800
21,8766,0,[2],[4416],"",10,1,10,0,150,800
22,8768,0,[2],[],9488,10,1,5,0,150,800
23,8770,0,"[3,1]","[7029,10995]","",0,1,-30,0,150,800
24,8771,0,[3],"[7030,10995]","",0,1,-30,0,150,800
25,8771,1,[1],[],"",0,1,-30,0,150,800
26,8772,0,"[1,3]","[7031,10995]","",0,1,-30,0,150,800
27,8773,0,"[1,3]","[7032,10995]","",0,1,-30,0,150,800
28,8775,0,[2],[7898],"",10,1,-15,0,150,800
29,8776,0,[2],[4416],"",10,1,10,0,150,800
30,8777,0,[2],[],9488,10,1,5,0,150,800
31,8778,0,[3],"[7030,10995]","",0,1,-30,0,150,800
32,8778,1,[1],[],"",0,1,-30,0,150,800
33,8780,0,"[1,3]","[7032,10995]","",0,1,-30,0,150,800
34,8782,0,"[3,1]",[7033],"",0,1,-15,0,150,800
35,8784,0,[2],[4416],"",10,1,10,0,150,800
36,8786,0,[3],"[7030,10995]","",0,1,-30,0,150,800
37,8786,1,[1],[],"",0,1,-30,0,150,800
38,8787,0,"[1,3]","[7032,10995]","",0,1,-30,0,150,800
39,8788,0,"[3,1]",[7033],"",0,1,-15,0,150,800
40,8789,0,[2],[4416],"",0,1,10,0,150,800
41,8790,0,"[3,1]",[7034],"",0,1,-30,0,150,800
42,8791,0,[2],[4417],"",10,1,10,0,150,800
43,8709,0,[2],[11021],"",0,1,0,0,150,800
44,8716,0,[1],[7914],"",0,1,0,0,150,800
45,8718,0,[1],[7914],"",0,1,0,0,150,800
46,8720,0,[1],[7914],"",0,1,0,0,150,800
47,8723,0,[1],[7914],"",0,1,0,0,150,800
48,8725,1,[2],[668],"",0,1,0,0,150,800
49,8728,0,[1],[7914],"",0,1,0,0,150,800
50,8753,0,[1],[7914],"",0,1,0,0,150,800
51,8712,0,[1],[7914],"",0,1,0,0,150,800
52,8714,0,[1],[7914],"",0,1,0,0,150,800
53,8730,0,[2],[9487],"",0,1,15,0,150,800
54,8731,0,[2],[9487],"",0,1,15,0,150,800
55,8732,0,[2],[9487],"",0,1,15,0,150,800
56,8735,0,[2],[9485],"",0,1,15,0,150,800
57,8737,0,[2],[9485],"",0,1,15,0,150,800
58,8738,0,[2],[9485],"",0,1,15,0,150,800
59,8741,0,[2],[],"",0,1,0,0,150,800
60,8743,0,[2],[],"",0,1,0,0,150,800
61,8744,0,[2],[],"",0,1,0,0,150,800
62,8747,0,[2],[7065],"",5,1,-30,0,150,800
63,8748,0,[2],[7065],"",5,1,-30,0,150,800
64,8749,0,[2],[7065],"",5,1,-30,0,150,800
65,8806,0,[3],[],"",0,1,0,1,150,800
66,8809,0,[1],[],"",0,1,0,1,150,800
67,8810,0,[1],[],"",0,1,0,1,150,800
68,8815,0,[2],[7049],"",0,1,-30,0,150,800
69,8819,0,[2],[7909],"",0,1,-30,0,150,800
