"rownum","Id","ChestsKey","SpawnWeight","MinLabyrinthTier","MaxLabyrinthTier","i32_36"
0,"Metadata/Chests/Labyrinth/Izaro/IzaroChest1",370,200,1,3,0
1,"Metadata/Chests/Labyrinth/Izaro/IzaroChest2",371,100,1,3,0
2,"Metadata/Chests/Labyrinth/Izaro/IzaroChest3",372,50,1,3,0
3,"Metadata/Chests/Labyrinth/Izaro/IzaroChest4",373,5,1,3,0
4,"Metadata/Chests/Labyrinth/Izaro/IzaroChest5",374,200,1,3,0
5,"Metadata/Chests/Labyrinth/Izaro/IzaroChest6",375,100,1,3,0
6,"Metadata/Chests/Labyrinth/Izaro/IzaroChest7",376,200,1,3,0
7,"Metadata/Chests/Labyrinth/Izaro/IzaroChest8",377,100,1,3,0
8,"Metadata/Chests/Labyrinth/Izaro/IzaroChest9",378,200,1,3,0
9,"Metadata/Chests/Labyrinth/Izaro/IzaroChest10",379,100,1,3,0
10,"Metadata/Chests/Labyrinth/Izaro/IzaroChest11",380,200,1,3,0
11,"Metadata/Chests/Labyrinth/Izaro/IzaroChest12",381,100,1,3,0
12,"Metadata/Chests/Labyrinth/Izaro/IzaroChest14",383,100,1,3,0
13,"Metadata/Chests/Labyrinth/Izaro/IzaroChest15",384,100,1,3,0
14,"Metadata/Chests/Labyrinth/Izaro/IzaroChest16",385,500,1,3,0
15,"Metadata/Chests/Labyrinth/Izaro/IzaroChest17",386,100,1,3,0
16,"Metadata/Chests/Labyrinth/Izaro/IzaroChest18",387,100,1,3,0
17,"Metadata/Chests/Labyrinth/Izaro/IzaroChest20",389,5,1,3,0
18,"Metadata/Chests/Labyrinth/Izaro/IzaroChest21",390,200,4,4,0
19,"Metadata/Chests/Labyrinth/Izaro/IzaroChest22",391,50,4,4,0
20,"Metadata/Chests/Labyrinth/Izaro/IzaroChest23",392,200,4,4,0
21,"Metadata/Chests/Labyrinth/Izaro/IzaroChest24",393,15,4,4,0
22,"Metadata/Chests/Labyrinth/Izaro/IzaroChest13",382,50,4,4,0
23,"Metadata/Chests/Labyrinth/Izaro/IzaroChest19",388,20,4,4,0
24,"Metadata/Chests/Labyrinth/Izaro/IzaroChest25",395,120,4,4,0
25,"Metadata/Chests/Labyrinth/Izaro/IzaroChest26",396,160,4,4,0
26,"Metadata/Chests/Labyrinth/Izaro/IzaroChest27",397,200,4,4,0
27,"Metadata/Chests/Labyrinth/Izaro/IzaroChest28",398,200,4,4,0
28,"Metadata/Chests/Labyrinth/Izaro/IzaroChest29",399,200,4,4,0
29,"Metadata/Chests/Labyrinth/Izaro/IzaroChest30",400,200,4,4,0
30,"Metadata/Chests/Labyrinth/Izaro/IzaroChest31",401,200,4,4,0
31,"Metadata/Chests/Labyrinth/Izaro/IzaroChest32",402,200,4,4,0
32,"Metadata/Chests/Labyrinth/Izaro/IzaroChest33",403,200,4,4,0
33,"Metadata/Chests/Labyrinth/Izaro/IzaroChest34",404,200,4,4,0
34,"Metadata/Chests/Labyrinth/Izaro/IzaroChest35",405,120,4,4,0
35,"Metadata/Chests/Labyrinth/Izaro/IzaroChest36",406,200,4,4,0
36,"Metadata/Chests/Labyrinth/Izaro/IzaroChest37",407,200,4,4,0
37,"Metadata/Chests/Labyrinth/Izaro/IzaroChest38",408,15,4,4,0
38,"Metadata/Chests/Labyrinth/Izaro/IzaroChest39",409,200,4,4,0
39,"Metadata/Chests/Labyrinth/Izaro/IzaroChest40",410,200,4,4,0
40,"Metadata/Chests/Labyrinth/Izaro/IzaroChest41",394,100,4,4,0
41,"Metadata/Chests/Labyrinth/Izaro/IzaroChest42",411,200,5,5,0
42,"Metadata/Chests/Labyrinth/Izaro/IzaroChest43",412,200,5,5,0
43,"Metadata/Chests/Labyrinth/Izaro/IzaroChest45",414,100,5,5,0
44,"Metadata/Chests/Labyrinth/Izaro/IzaroChest46",415,50,5,5,0
45,"Metadata/Chests/Labyrinth/Izaro/IzaroChest47",416,200,5,5,0
46,"Metadata/Chests/Labyrinth/Izaro/IzaroChest48",417,20,5,5,0
47,"Metadata/Chests/Labyrinth/Izaro/IzaroChest49",418,100,5,5,0
48,"Metadata/Chests/Labyrinth/Izaro/IzaroChest50",419,150,5,5,0
49,"Metadata/Chests/Labyrinth/Izaro/IzaroChest51",420,150,5,5,0
50,"Metadata/Chests/Labyrinth/Izaro/IzaroChest52",421,100,5,5,0
51,"Metadata/Chests/Labyrinth/Izaro/IzaroChest53",422,50,5,5,0
52,"Metadata/Chests/Labyrinth/Izaro/IzaroChest54",423,100,5,5,0
53,"Metadata/Chests/Labyrinth/Izaro/IzaroChest55",424,200,5,5,0
54,"Metadata/Chests/Labyrinth/Izaro/IzaroChest56",425,200,5,5,0
55,"Metadata/Chests/Labyrinth/Izaro/IzaroChest57",426,10,5,5,0
56,"Metadata/Chests/Labyrinth/Izaro/IzaroChest58",427,60,5,5,0
57,"Metadata/Chests/Labyrinth/Izaro/IzaroChest59",428,100,5,5,0
58,"Metadata/Chests/Labyrinth/Izaro/IzaroChest60",429,50,5,5,0
59,"Metadata/Chests/Labyrinth/Izaro/IzaroChest62",431,200,5,5,0
60,"HardModeIzaroChest1",461,0,1,3,300
61,"HardModeIzaroChest2",462,0,1,3,300
62,"HardModeIzaroChest3",463,0,1,3,300
