"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem","rid_54"
0,"Accuracy1",-7939,[15279],40,0,0,8881,""
1,"Accuracy2",-14389,[18223],1,0,0,8881,""
2,"Accuracy3",-761,[15267],1,0,0,8881,""
3,"Accuracy4",9632,[17654],1,0,0,8881,""
4,"Accuracy5",-26358,[18122],50,0,0,8881,""
5,"Accuracy6",9755,"[83,568]",500,-2,0,8881,""
6,"Armour1",-19356,[17752],1,0,0,8881,""
7,"Armour2",-16816,[97],30,0,0,8881,""
8,"Armour3",-5782,[8248],20,0,0,8881,""
9,"Armour4",7137,[17757],1,0,0,8881,""
10,"Armour5",-5600,[17759],20,0,0,8881,""
11,"Armour6",10680,[17753],100,0,0,8881,""
12,"ArmourEvasion1",-16014,"[17858,17859]",120,5,0,8881,""
13,"ArmourEvasion2",-3251,"[8207,122]",8,8,0,8881,""
14,"ArmourEvasion3",5108,[221],80,0,0,8881,""
15,"ArmourEvasion4",23955,[17861],1,0,0,8881,""
16,"ArmourEvasion5",-6660,"[17860,4635]",40,40,0,8881,""
17,"ArmourEvasion6",-22278,"[17862,17863]",1,1,0,8881,""
18,"ArmourEnergyShield1",-24958,[17787],2,0,0,8881,""
19,"ArmourEnergyShield2",-27922,[17788],5,0,0,8881,""
20,"ArmourEnergyShield3",16215,[97],20,0,0,8881,""
21,"ArmourEnergyShield4",18301,[14926],20,0,0,8881,""
22,"ArmourEnergyShield5",8653,[17790],100,0,0,8881,""
23,"ArmourEnergyShield6",-32,[1276],-20,0,0,8881,""
24,"Attack1",28524,[1229],3,0,0,8881,""
25,"Attack2",-26382,[6881],1,0,0,8881,""
26,"Attack3",-27135,"[18425,18426]",1,6000,0,8881,""
27,"Attack4",-1025,[17891],1,0,0,8881,""
28,"Attack5",11938,[17892],5,0,0,8881,""
29,"Attack6",19500,[20711],20,0,0,8881,""
30,"Attributes1",5356,[3334],5,0,0,8881,""
31,"Attributes2",-24053,[6872],1,0,0,8881,""
32,"Attributes3",26621,[15111],5,0,0,8881,""
33,"Attributes4",-12932,[15112],5,0,0,8881,""
34,"Attributes5",15826,[15113],5,0,0,8881,""
35,"Axe1",28354,[5217],1,0,0,8881,""
36,"Axe2",11049,[9056],15,0,0,8881,""
37,"Axe3",9088,[3485],40,0,0,8881,""
38,"Axe4",-15361,"[11968,11903]",30,15,0,8881,""
39,"Axe5",-1308,[15116],10,0,0,8881,""
40,"Axe6",233,[20636],2,0,0,8881,""
41,"Banner1",-25499,[20477],1,0,0,8881,""
42,"Banner2",16991,[20476],5,0,0,8881,""
43,"Banner3",-28602,[20474],10,0,0,8881,""
44,"Banner4",10268,[20478],3,0,0,8881,""
45,"Bleeding1",-5910,[3381],1,0,0,8881,""
46,"Bleeding2",10546,[20646],50,0,0,8881,""
47,"Bleeding3",3449,[20717],4000,0,0,8881,""
48,"Bleeding4",23936,[4721],80,0,0,8881,""
49,"Bleeding5",-26833,[15117],3,0,0,8881,""
50,"Bleeding6",-6255,[20714],25,0,0,8881,""
51,"Blind1",-22012,[14772],40,0,0,8881,""
52,"Blind2",7831,[976],100,0,0,8881,""
53,"Blind3",-8073,[3659],60,0,0,8881,""
54,"Blind4",12100,[3481],100,0,0,8881,""
55,"Block1",-10523,[490],2,0,0,8881,""
56,"Block2",-20696,[8186],2,0,0,8881,""
57,"Block3",23442,"[1362,1363]",20,20,0,8881,""
58,"Block4",4500,[20712],1,0,0,8881,""
59,"Bow1",-5902,[7476],100,0,0,8881,""
60,"Bow2",-20024,[9838],20,0,0,8881,""
61,"Bow3",-22584,[11072],100,0,0,8881,""
62,"Bow4",26894,[13242],100,0,0,8881,""
63,"Bow5",-28569,[15504],100,0,0,8881,""
64,"Bow6",-8585,[15505],1,0,0,8881,""
65,"Brand1",-28350,[14872],10,0,0,8881,""
66,"Brand2",5907,[14930],30,0,0,8881,""
67,"Brand3",20630,[12060],1,0,0,8881,""
68,"Brand4",-25673,[8599],50,0,0,8881,""
69,"Brand5",-32659,[8429],2,0,0,8881,""
70,"Brand6",-18864,[8577],40,0,0,8881,""
71,"Caster1",-17178,[14899],40,0,0,8881,""
72,"Caster2",-32447,[21346],1,0,0,8881,""
73,"Caster3",-4465,[17670],6,0,0,8881,""
74,"Caster4",-14630,[11415],1,0,0,8881,""
75,"Caster5",27401,[8966],1,0,0,8881,""
76,"Caster6",23471,[17671],25,0,0,8881,""
77,"Chaos1",-14603,[17820],1,0,0,8881,""
78,"Chaos2",-5962,"[10661,14874]",1,10,0,8881,""
79,"Chaos3",1727,[944],1,0,0,8881,""
80,"Chaos4",21652,[484],40,0,0,8881,""
81,"Chaos5",28678,[17819],10,0,0,8881,""
82,"Chaos6",-521,[18132],5,0,0,8881,""
83,"Charges1",28720,[14875],1,0,0,8881,""
84,"Charges2",-16875,[14876],1,0,0,8881,""
85,"Charges3",14100,[14877],1,0,0,8881,""
86,"Charges4",29652,[14905],100,0,0,8881,""
87,"Charges5",-25229,[9515],3,0,0,8881,""
88,"Charges6",19142,[4132],1,0,0,8881,""
89,"Claw1",-25495,"[18354,18355]",25,25,0,8881,""
