"rownum","Id","Icon","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","TextColours","SpecialTier"
0,"1","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber1","Servant-Haunted","Hanté par des Serviteurs","Diener-heimgesucht","従者に憑りつかれし","종복에게 빙의됨","Servo Assombrado","Одержим слугой","Embrujado por un sirviente","ถูกหลอกหลอนโดย ผีข้ารับใช้","作祟之僕從","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
1,"2","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber2","Peasant-Haunted","Hanté par des Paysans","Landmann-heimgesucht","小作人に憑りつかれし","소작농에게 빙의됨","Aldeão Assombrado","Одержим крестьянином","Embrujado por un campesino","ถูกหลอกหลอนโดย ผีชาวนา","作祟之農民","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
2,"3","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber3","Soldier-Haunted","Hanté par des Soldats","Soldat-heimgesucht","兵士に憑りつかれし","병사에게 빙의됨","Soldado Assombrado","Одержим солдатом","Embrujado por un soldado","ถูกหลอกหลอนโดย ผีทหาร","作祟之士兵","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
3,"4","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber4","Gemling-Haunted","Hanté par des Sertis","Gemmling-heimgesucht","ジェムリングに憑りつかれし","마석병에게 빙의됨","Gemante Assombrado","Одержим каменитом","Embrujado por un gemita","ถูกหลอกหลอนโดย ผีมณีชน","作祟之古靈","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
4,"5","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber5","Thaumaturgist-Haunted","Hanté par des Thaumaturges","Thaumaturgist-heimgesucht","魔術師に憑りつかれし","마석학자에게 빙의됨","Taumaturgo Assombrado","Одержим чародеем","Embrujado por un taumaturgo","ถูกหลอกหลอนโดย ผีนักเวทมณี","作祟之奇術師","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
5,"6","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber6","Noble-Haunted","Hanté par des Nobles","Adligen-heimgesucht","貴族に憑りつかれし","귀족에게 빙의됨","Nobre Assombrado","Одержим дворянином","Embrujado por un noble","ถูกหลอกหลอนโดย ผีขุนนาง","作祟之貴族","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
6,"7","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber7","Magistrate-Haunted","Hanté par des Magistrats","Magistrat-heimgesucht","執政官に憑りつかれし","재판관에게 빙의됨","Magistrado Assombrado","Одержим магистратом","Embrujado por un magistrado","ถูกหลอกหลอนโดย ผีตุลาการ","作祟之行政者","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
7,"8","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber8","Imperator-Haunted","Hanté par des Empereurs","Kaiser-heimgesucht","皇帝に憑りつかれし","사령관에게 빙의됨","Imperador Assombrado","Одержим императором","Embrujado por un emperador","ถูกหลอกหลอนโดย ผีผู้บัญชาการ","作祟之鐵漢將領","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",""
8,"1Upside","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber1","Devoted","Dévoué","Ergeben","敬虔な","헌신적인","Devoto","Преданный","Devoto","ผู้อุทิศตน","奉獻的","[""outlinecolour:necropolisoutline"",""necropolisupside""]",1
9,"2Upside","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber2","Devoted","Dévoué","Ergeben","敬虔な","헌신적인","Devoto","Преданный","Devoto","ผู้อุทิศตน","奉獻的","[""outlinecolour:necropolisoutline"",""necropolisupside""]",1
10,"3Upside","Art/2DArt/UIImages/InGame/Necropolis/Lantern/StatTierNumber3","Devoted","Dévoué","Ergeben","敬虔な","헌신적인","Devoto","Преданный","Devoto","ผู้อุทิศตน","奉獻的","[""outlinecolour:necropolisoutline"",""necropolisupside""]",1
11,"CollectableCorpse","","","","","","","","","","","","[""outlinecolour:necropolisoutline"",""necropolisdownside""]",1
