"rownum","rid","[rid]"
0,2264,"[13766,13769,13772,13774,13776]"
1,2265,"[13779,13782,13785,13787,13789]"
2,2266,"[13792,13795,13798,13800,13802]"
3,2267,"[13805,13808,13811,13813,13815]"
4,2268,"[13818,13821,13824,13826,13828]"
5,2269,"[13831,13834,13837,13839,13841]"
6,2270,"[13844,13847,13850,13852,13854]"
7,2271,"[13857,13860,13863,13865,13867]"
8,2272,"[13870,13873,13876,13878,13880]"
9,2273,"[13883,13886,13889,13891,13893]"
10,2274,"[13896,13899,13902,13904,13906]"
11,2275,[13909]
12,2276,[13922]
13,2277,"[13935,13938,13941,13943,13945]"
14,2278,"[13948,13951,13954,13956,13958]"
15,2279,"[13961,13964,13969,13971,13973]"
16,2280,[13976]
17,2281,"[13992,13995,13998,14000,14002]"
18,2282,"[14007,14010,14013,14015,14017]"
19,2283,"[14022,14025,14028,14030,14032]"
20,2284,"[14037,14039,14041,14043,14045]"
21,2285,"[14050,14052,14054,14056,14058]"
22,2286,"[14063,14065,14067,14069,14071]"
23,2287,"[14076,14078,14080,14082,14084]"
24,2288,"[14087,14089,14091,14093,14095]"
25,2289,"[14098,14100,14102,14104,14106]"
26,2290,"[14109,14111,14113,14114,14115]"
27,2291,"[14117,14119,14121,14122,14123]"
28,2292,"[14125,14127,14129,14130,14131]"
29,2293,"[14133,14135,14137,14138,14139]"
30,2294,"[14141,14143,14145,14146,14147]"
31,2295,"[14149,14151,14153,14154,14155]"
32,2296,"[14157,14158,14159,14160,14161]"
33,2297,"[14163,14164,14165,14166,14167]"
34,2298,"[14169,14170,14171,14172,14173]"
35,2299,"[14175,14177,14179,14180,14181]"
36,2300,"[14183,14185,14187,14188,14189]"
37,2301,"[14191,14193,14195,14196,14197]"
38,2302,"[14199,14200,14201,14202,14203]"
39,2303,"[14205,14206,14207,14208,14209]"
40,2304,"[14211,14212,14213,14214,14215]"
41,2305,"[14217,14220,14223,14225,14227]"
42,2306,"[14230,14232,14234,14236,14238]"
43,2307,"[14241,14243,14245,14247,14249]"
44,2308,"[14252,14255,14258,14260,14262]"
45,2309,"[14265,14268,14271,14273,14275]"
46,2310,[14278]
47,2311,[14300]
48,2312,[14310]
49,2313,[14321]
