"rownum","Id","i32","[rid]"
0,"tornado",0,[565]
1,"raging_spirit",0,[31]
2,"raging_spirit",1,[32]
3,"raging_spirit",2,[33]
4,"raging_spirit",3,[34]
5,"raging_spirit",4,[35]
6,"raging_spirit",5,[165]
7,"raging_spirit",6,[36]
8,"raging_spirit",7,[524]
9,"raging_spirit",8,[566]
10,"raging_spirit",9,[567]
11,"raging_spirit",10,[955]
12,"summon_skeleton_warrior",0,[1440]
13,"summon_skeleton_reaver",0,[1441]
14,"summon_skeleton_brute",0,[1442]
15,"summon_skeleton_archer",0,[1443]
16,"summon_skeleton_frost_mage",0,[1444]
17,"summon_skeleton_storm_mage",0,[1445]
18,"summon_skeleton_arsonist",0,[1446]
19,"summon_skeleton_cleric",0,[1447]
20,"skeletal_construct",0,[1486]
21,"ancestral_warrior_spirit",0,[1493]
22,"rhoa_mount",0,[1495]
23,"bone_offering",0,[1453]
24,"pain_offering",0,[1452]
25,"power_offering",0,[1454]
26,"volatile_dead_core",0,[133]
27,"volatile_dead_core",1,[134]
28,"volatile_dead_core",2,[135]
29,"volatile_dead_core",3,[173]
30,"volatile_dead_core",4,[175]
31,"volatile_dead_core",5,[176]
32,"hydra",0,[1553]
33,"mercenary_companion",0,[1439]
34,"demon_caster",0,[817]
35,"summon_infernal_familiar",0,[1562]
