"rownum","Id","LimitStat","ActiveCountStat","bool","bool","i32","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool"
0,"SpectreMinion","",3338,1,1,0,1,"",1,"","","","","",1,1,"",""
1,"DominatedNormalMinion",7647,7653,1,1,0,"","",1,"","","","","",1,1,"",""
2,"DominatedMagicMinion",7648,7654,1,1,0,"","",1,"","","","","",1,1,"",""
3,"DominatedRareMinion",7649,7655,1,1,0,"","",1,"","","","","",1,1,"",""
4,"VaalDominatedMinion",17214,17253,1,1,0,"","",1,"","","","","",1,1,"",""
5,"TotemMinion",921,3275,"",1,0,"","",1,1,"","","","","",1,"",""
6,"TrapMinion",918,3583,"",1,0,"","",1,1,1,1,"","","",1,"",""
7,"ZombieMinion",705,3341,1,1,0,"","",1,"","","","","",1,1,"",""
8,"SkeletonMinion","",3339,1,1,0,1,"",1,"","","","","",1,1,"",""
9,"VaalSkeletonMinion",707,3339,1,1,0,"","",1,"","","","","",1,1,"",""
10,"SupportGhostMinion",7941,"",1,1,0,"","",1,"","","","","",1,1,"",""
11,"RemoteMineMinion",919,3582,"",1,0,"","",1,1,"",1,"","","",1,"",""
12,"IncaMinion",4416,"",1,1,0,"","",1,"","","","","",1,1,"",""
13,"InsectMinion",4417,"",1,1,0,"","",1,"","","","","",1,1,"",""
14,"WaterElementalMinion",1144,"",1,1,0,"","",1,"","","","","",1,1,"",""
15,"GenericUnlimitedMinion","","",1,1,0,1,"",1,"","","","","",1,1,"",""
16,"AxisSoldierMinion","","",1,1,0,1,"","","","","","","",1,1,"",""
17,"AnimatedArmourMinion","",7178,1,1,1,"",1,1,"","","","","",1,1,"",""
18,"AnimatedWeaponMinion",5515,5516,1,1,0,"",1,1,"","","","","",1,1,"",""
19,"RagingSpiritMinion",2056,3340,1,1,0,"","",1,"","","","","","",1,"",""
20,"DoubleMinion",13518,"","",1,0,"","",1,1,"","","","",1,1,"",""
21,"GenericUnlimitedMinionWithDrops","","",1,1,0,1,"","","","","","","",1,1,"",""
22,"TaniwhaTailMinion",4418,"",1,1,0,"","",1,"","","","","","",1,"",""
23,"GolemMinion",2799,"",1,1,0,"","",1,"","","","","",1,1,"",""
24,"MissionFollower","","","","",0,1,1,"","","","","","",1,1,"",""
25,"ManifestedUniqueWeaponMinion","",17891,1,1,0,1,"",1,"","","","","",1,1,"",""
26,"RangedAnimatedWeaponMinion",3327,"",1,1,0,"",1,1,"","","","","",1,1,"",""
27,"WolfMinion",4419,3734,1,1,0,"","",1,"","","","","",1,1,"",""
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","","","","",1,1,"",""
29,"EssenceSpiritMinion",4708,4709,1,1,0,"","",1,"","","","","",1,1,"",""
30,"SpiderMinion",5115,5116,1,1,0,"","",1,"","","","","",1,1,"",""
31,"BeastMinion",5867,6075,1,1,0,"","",1,"","","","","",1,1,"",""
32,"GenericLimitedMinion",5286,5287,1,1,0,"","",1,"","","","","",1,1,"",""
33,"Harbinger","","",1,1,1,"","",1,"","","","","",1,1,"",""
34,"MirageArcher",6695,"","","",0,"","",1,"",1,1,"","",1,1,"",""
35,"Effigy",6838,"","",1,0,"","",1,"","","","","",1,1,"",""
36,"Clone",7646,"",1,1,0,"","",1,"","","","","",1,1,"",""
37,"HeraldScorpion",7706,"",1,1,0,"","",1,"","","","","",1,1,"",""
38,"HeraldChampion",7718,7866,1,1,0,"","",1,"","","","","",1,1,"",""
39,"Relic",7736,7737,1,1,0,"","",1,"","","","","",1,1,"",""
40,"ReplicateMinion",8997,8998,1,1,0,"","",1,"","","","","",1,1,"",""
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"","","","",1,1,"",""
42,"MirageWarrior",10135,10136,"",1,0,"","",1,1,"","","","",1,1,"",""
43,"DoubleCryWarrior",11227,11228,"",1,0,"","",1,1,"","","","","",1,"",""
44,"GenericLimitedTo3Minion","","",1,1,3,"","",1,"","","","","",1,1,"",""
45,"MirageChieftain","","",1,1,0,1,"",1,"","","","","",1,1,"",""
46,"GenericLimitedMinionWithDrops",5286,"",1,1,0,"","","","","","","","",1,1,"",""
47,"TauntingContraption","","",1,1,1,"","",1,"","","","","",1,1,"",""
48,"AbsolutionSentinel",13544,13568,1,1,0,"","",1,"","","","","",1,1,"",""
49,"VaalAbsolutionSentinel",17213,17254,1,1,0,"","",1,"","","","","",1,1,"",""
50,"Reaper",14002,"",1,1,0,"","",1,"","","","","",1,1,"",""
51,"ArbalistMinion",13801,"",1,1,0,"","",1,"","","","","",1,1,"",""
52,"Triggerbots","","",1,1,0,1,"",1,"","","","","",1,1,"",""
53,"VaalAnimatedWeaponMinion",5515,17094,1,1,0,"",1,1,"","","","","",1,1,"",""
54,"VaalRangedAnimatedWeaponMinion",3327,17095,1,1,0,"",1,1,"","","","","",1,1,"",""
55,"VaalIceShotMirage",17427,"","",1,0,"","",1,1,"","","","","",1,"",""
56,"MetaDemonCaster","","",1,1,0,1,1,1,"","","","",1,1,1,"",""
57,"InfernalFamiliar",13632,13633,1,1,0,"","",1,"","","","","",1,1,"",1
58,"IzaroSpiritMinion","","",1,1,1,"","",1,"","","","","",1,1,"",""
59,"WolfCompanion","","",1,1,0,1,"",1,"","","",1,"",1,1,"",""
60,"LingeringIllusion","","","","",0,1,"",1,"","","","","","",1,"",""
61,"DominatedAuraNormalMinion","","","","",0,1,"",1,"","","",1,"",1,1,"",""
