"rownum","rid","i32","i32","rid","bool","string","bool","rid","bool","i32"
0,0,0,0,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon","","","",0
1,1,0,1,12,1,"","","","",0
2,1,1,2,18,1,"","","","",0
3,1,2,6,8,1,"","","","",0
4,1,3,4,17,1,"","","","",0
5,1,4,7,3,1,"","","","",0
6,1,5,16,43,1,"","","","",0
7,1,6,8,16,1,"","","","",0
8,1,7,9,37,1,"","","","",0
9,1,8,29,102,1,"","","","",0
10,1,9,5,9,1,"","","","",0
11,1,10,19,7,1,"","","","",0
12,1,11,30,33,1,"","","","",16777216
13,1,12,31,34,1,"","","","",0
14,1,13,32,35,1,"","","","",0
15,1,14,33,21,1,"","","","",0
16,1,15,34,20,1,"","","","",0
17,2,0,35,"",1,"","","","",0
18,2,1,36,"",1,"","","","",0
19,2,2,37,"",1,"","","","",0
20,2,4,35,"",1,"","","",1,0
21,2,5,36,"",1,"","","",1,0
22,2,6,37,"",1,"","","",1,0
23,3,0,35,"",1,"","","","",0
24,3,1,36,"",1,"","","","",0
25,3,2,37,"",1,"","","","",0
26,3,4,35,"",1,"","","",1,0
27,3,5,36,"",1,"","","",1,0
28,3,6,37,"",1,"","","",1,0
29,4,0,35,"",1,"","","","",0
30,4,1,36,"",1,"","","","",0
31,4,2,37,"",1,"","","","",0
32,4,4,35,"",1,"","","",1,0
33,4,5,36,"",1,"","","",1,0
34,4,6,37,"",1,"","","",1,0
35,5,0,22,"",1,"","","","",0
36,5,1,23,"",1,"","","","",0
37,5,2,24,"",1,"","","","",0
38,5,3,25,"",1,"","","","",0
39,5,4,22,"",1,"","","",1,0
40,5,5,23,"",1,"","","",1,0
41,5,6,24,"",1,"","","",1,0
42,5,7,25,"",1,"","","",1,0
43,6,0,26,"",1,"","","","",0
44,6,1,27,"",1,"","","","",0
45,6,2,26,"",1,"","","",1,0
46,6,3,27,"",1,"","","",1,0
