"rownum","rid","rid","[rid]"
0,18703,10084,"[17580,18705]"
1,18704,10085,"[17581,18705]"
2,18716,769,[]
3,18717,770,[]
4,18718,771,[]
5,18719,772,[]
6,18720,773,[]
7,18721,774,[]
8,18722,775,[]
9,18723,776,[]
10,18724,777,[]
11,18725,778,[]
12,18726,786,[]
13,18727,787,[]
14,18728,788,[]
15,18729,789,[]
16,18730,790,[]
17,18731,791,[]
18,18732,792,[]
19,18733,793,[]
20,18734,794,[]
21,18735,795,[]
22,18736,782,[]
23,18737,799,[]
24,18738,17591,[]
25,18739,316,[]
26,18740,17592,[]
27,18741,317,[]
28,18742,312,[]
29,18743,313,[]
