"rownum","Id","Name","Description","Icon","NextUpgradeOptions","i32","Tier","Radius","i32","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool"
0,"EmptyNode","Tower Foundation","A powered base for one of Cassia's towers.","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]",1487001455,"",0,-1,"","",[],[],""
1,"ChillingTower1","Chilling Tower Mk I","Damage: Low\r\nChills and Damages nearby enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[2],-1090896293,"I",35,3,"",9809,"[9808,9810,9811,11523,16897]","[24,3416,193,11528,16896]",""
2,"ChillingTower2","Chilling Tower Mk II","Increased Damage\r\nIncreased effect of Chill\r\nAffects more Targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[3],1371628040,"II",35,3,"",9809,"[9808,9810,9811,11523,16897]","[24,3416,193,11528,16896]",""
3,"ChillingTower3","Chilling Tower Mk III","Increased Damage\r\nIncreased effect of Chill\r\nAffects more targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","[4,5]",-48389433,"III",35,3,"",9809,"[9808,9810,9811,11523,16897]","[24,3416,193,11528,16896]",""
4,"FreezingTower","Freezebolt Tower","Damage: Very High\r\nShoots a Piercing projectile which Freezes enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFreezing",[],-632665268,"IV",75,4,"",9813,"[9812,9814,9815,11513,11523,16897]","[24,9814,167,8217,11528,16896]",""
5,"IcePrisonTower","Glacial Cage Tower","Deals no Damage\r\nImprisons Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconIcePrison",[],1141601187,"IV",60,5,"",9817,"[9816,9818,9819,11514,11523,16897]","[209,9818,3219,423,11528,16896]",""
6,"ShockingTower1","Shock Nova Tower Mk I","Damage: Low\r\nCreates Shocked Ground\r\nCasts Shock Nova\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[7],1459477666,"I",20,6,"",9799,"[9800,9820,9821,9822,9823,11523,16897]","[24,9820,3417,9891,2203,11528,16896]",1
7,"ShockingTower2","Shock Nova Tower Mk II","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[8],1368253867,"II",25,6,"",9799,"[9800,9820,9821,9822,9823,11523,16897]","[24,9820,3417,9891,2203,11528,16896]",1
8,"ShockingTower3","Shock Nova Tower Mk III","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","[9,10]",94056515,"III",30,6,"",9799,"[9800,9820,9821,9822,9823,11523,16897]","[24,9820,3417,9891,2203,11528,16896]",1
9,"LightningStormTower","Lightning Storm Tower","Damage: High\r\nLightning rapidly strikes around the Tower\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightningStorm",[],1277124932,"IV",45,7,"",9825,"[9824,9884,9827,11515,11523,16897]","[24,9826,206,11515,11528,16896]",1
10,"ArcingTower","Arc Tower","Damage: Medium\r\nCasts Arc\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconArcing",[],-1027797953,"IV",45,8,"",9829,"[9828,9830,9831,11516,11523,16897]","[24,2203,166,8218,11528,16896]",""
11,"BuffTower1","Empowering Tower Mk I","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[12],-1750551302,"I",35,15,"",9833,"[9832,9834,9835,9836,11523,16897]","[4362,210,9835,9836,11528,16896]",1
12,"BuffTower2","Empowering Tower Mk II","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[13],-2021019078,"II",45,15,"",9833,"[9832,9834,9835,9836,11523,16897]","[4362,210,9835,9836,11528,16896]",1
13,"BuffTower3","Empowering Tower Mk III","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff","[14,15]",1692746775,"III",55,15,"",9833,"[9832,9834,9835,9836,11523,16897]","[4362,210,9835,9836,11528,16896]",1
14,"BuffPlayersTower","Imbuing Tower","Improves the effectiveness of Players in range.\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuffPlayer",[],-720723365,"IV",55,16,"",9838,"[9837,9839,9840,11517,11523,16895]","[4362,9839,9840,11517,11528,16896]",1
15,"WeakenEnemiesTower","Smothering Tower","Weakens Enemies in range\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconWeakining",[],1166693452,"IV",55,17,"",9842,"[9841,9843,9844,11518,11523,16897]","[4362,9843,9844,11518,11528,16896]",1
16,"StunningTower1","Seismic Tower Mk I","Damage: Low\r\nRepeats 3 times\r\nAlways Stuns\r\nDamages and Stuns nearby Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[17],-239063143,"I",45,9,"",9846,"[9845,9847,9848,9849,11523,16897]","[24,333,7318,9890,11528,16896]",""
17,"StunningTower2","Seismic Tower Mk II","Repeats 5 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[18],242248516,"II",45,9,"",9846,"[9845,9847,9848,9849,11523,16897]","[24,333,7318,9890,11528,16896]",""
18,"StunningTower3","Seismic Tower Mk III","Repeats 7 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","[19,20]",-854560930,"III",45,9,"",9846,"[9845,9847,9848,9849,11523,16897]","[24,333,7318,9890,11528,16896]",""
19,"TemporalTower","Temporal Tower","Persistently Slows Monsters \r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTemporal",[],1524497081,"IV",45,10,"",9851,"[9850,9852,9853,11519,11523,16897]","[4362,9887,9888,11519,16896]",1
20,"PetrificationTower","Stone Gaze Tower","Periodically Petrifies Monsters\r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPetrification",[],-241524287,"IV",45,11,"",9855,"[9854,9856,9857,11527,11523,16897]","[209,3219,9886,11529,11528,16896]",""
21,"MinionTower1","Summoning Tower Mk I","Summons 3 Minions\r\nMinion Damage: Low\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[22],93106736,"I",30,12,"",9859,"[9858,9860,9861,9862,9859,11523,16897]","[477,602,153,9885,11017,11528,16896]",""
22,"MinionTower2","Summoning Tower Mk II","Summons 5 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[23],499014349,"II",30,12,"",9859,"[9858,9860,9861,9862,9859,11523,16897]","[477,602,153,9885,11017,11528,16896]",""
23,"MinionTower3","Summoning Tower Mk III","Summons 7 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","[24,25]",1389469754,"III",30,12,"",9859,"[9858,9860,9861,9862,9859,11523,16897]","[477,602,153,9885,11017,11528,16896]",""
24,"FlyingMinionTower","Scout Tower","Summons 10 Flying Minions\r\nMinion Damage: High\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlyingMinion",[],1443410162,"IV",75,13,"",9864,"[9863,9865,9866,9864,11520,11523,12524,16897]","[477,602,153,11017,11525,11528,9885,16896]",""
25,"TankyMinionTower","Sentinel Tower","Summons 1 Durable Minion\r\nMinion Damage: Low\r\nMinion Life: High\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTankyMinion",[],467940328,"IV",45,14,"",9868,"[9867,9869,9870,9868,11523,16897]","[477,602,153,11017,11528,16896]",""
26,"FlameTower1","Fireball Tower Mk I","Damage: Medium\r\nCasts a Fireball\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[27],172162436,"I",45,0,"",9872,"[9871,9873,9874,9875,11523,16897]","[24,210,167,1738,11528,16896]",""
27,"FlameTower2","Fireball Tower Mk II","Casts 3 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[28],1399853640,"II",60,0,"",9872,"[9871,9873,9874,9875,11523,16897]","[24,210,167,1738,11528,16896]",""
28,"FlameTower3","Fireball Tower Mk III","Casts 5 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","[29,30]",155134479,"III",75,0,"",9872,"[9871,9873,9874,9875,11523,16897]","[24,210,167,1738,11528,16896]",""
29,"FlamethrowerTower","Flamethrower Tower","Damage: High\r\nCasts a stream of Fire\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlamethrower",[],-1733718789,"IV",45,1,"",9877,"[9876,9878,9879,11521,11523,16897]","[24,9878,210,8216,11528,16896]",1
30,"MeteorTower","Meteor Tower","Damage: Very High\r\nRains Meteors from the sky\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMeteor",[],-741826316,"IV",100,2,"",9881,"[9880,9882,9883,11522,11523,16897]","[24,191,9889,1780,11528,16896]",""
