"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5691,1818,10297,1,"","","","",3
1,5692,1818,10298,1,"","","","",0
2,5693,1818,10299,1,"","","","",0
3,5694,1818,10301,1,"","","","",0
4,5695,1818,10300,1,"","","","",0
5,5696,1818,10302,1,"","","","",0
6,5697,1818,10303,1,"","","","",0
7,5698,1818,10304,1,"","","","",0
8,5699,1,10322,1,"","","","",0
9,5700,1818,10323,1,"","","","",0
10,5701,1818,10324,1,"","","","",0
11,5702,1818,10325,1,"","","","",0
12,5715,2100,10326,2,"","","","",0
13,5703,2100,12070,2,"","","","",0
14,5704,2100,12066,2,"","","","",0
15,5705,2100,12069,2,"","","","",0
16,5706,2100,12071,2,"","","","",0
17,5707,2100,12067,2,"","","","",0
18,5708,350,12078,2,"","","","",0
19,5709,350,12078,2,"","","","",0
20,5710,350,12077,2,"","","","",0
21,5711,350,12077,2,"","","","",0
22,5712,350,12079,2,"","","","",0
23,5713,350,12079,2,"","","","",0
24,5714,2100,12075,2,"","","","",0
25,5716,2400,12068,3,"","","","",0
26,5717,2400,12076,3,"","","","",0
27,5718,2400,12074,3,"","","","",0
28,5719,2400,12080,3,"","","","",0
29,5720,2400,12072,3,"","","","",0
30,5721,800,12073,3,"","","","",0
31,5722,800,12073,3,"","","","",0
32,5723,800,12073,3,"","","","",0
33,5724,2400,12065,3,"","","","",0
34,5725,100,"",4,"","","","",0
