"rownum","InfluenceMod","UpgradedMod","bool"
0,14935,24976,1
1,14936,24977,1
2,14937,14938,""
3,14938,24978,1
4,14939,14940,""
5,14940,24979,1
6,14941,14942,""
7,14942,24980,1
8,14943,24981,1
9,14945,24982,1
10,14947,14948,""
11,14948,24983,1
12,14949,14950,""
13,14950,24984,1
14,14951,24985,1
15,14952,14953,""
16,14953,24986,1
17,14954,14955,""
18,14955,24987,1
19,14956,14957,""
20,14957,24988,1
21,14958,14959,""
22,14959,24989,1
23,14960,14961,""
24,14961,24990,1
25,14962,14963,""
26,14963,24991,1
27,14964,14965,""
28,14965,24992,1
29,14966,14967,""
30,14967,24993,1
31,14968,14969,""
32,14969,24994,1
33,14970,14971,""
34,14971,24995,1
35,21102,21103,""
36,21103,24996,1
37,21178,21179,""
38,21179,24997,1
39,21180,24998,1
40,21184,21185,""
41,21185,25001,1
42,21186,25002,1
43,21187,21188,""
44,21188,25003,1
45,21189,21190,""
46,21190,25004,1
47,21191,21192,""
48,21192,25005,1
49,21193,25006,1
50,21194,25007,1
51,21195,21196,""
52,21196,21197,""
53,21197,25008,1
54,21198,21199,""
55,21199,25009,1
56,21200,25010,1
57,21201,21202,""
58,21202,25011,1
59,21203,21204,""
60,21204,25012,1
61,21205,25013,1
62,21206,21207,""
63,21207,25014,1
64,21208,25015,1
65,21209,25016,1
66,21210,25017,1
67,21211,21212,""
68,21212,25018,1
69,21213,25019,1
70,21214,21215,""
71,21215,25020,1
72,21216,21217,""
73,21217,25021,1
74,21218,21219,""
75,21219,25022,1
76,21220,21221,""
77,21221,25023,1
78,21222,21223,""
79,21223,25024,1
80,21224,25026,1
81,21225,25027,1
82,21226,21227,""
83,21227,25028,1
84,21228,21229,""
85,21229,25029,1
86,21230,21231,""
87,21231,25030,1
88,21232,21233,""
89,21233,25031,1
90,14868,14869,""
91,14869,14870,""
92,14870,25032,1
93,14871,14872,""
94,14872,14873,""
95,14873,25033,1
96,14874,14875,""
97,14875,25034,1
98,14876,14877,""
99,14877,14878,""
100,14878,25035,1
101,14879,14880,""
102,14880,14881,""
103,14881,25036,1
104,14885,14886,""
105,14886,14887,""
106,14887,25038,1
107,14888,14889,""
108,14889,14890,""
109,14890,25039,1
110,14891,14892,""
111,14892,14893,""
112,14893,25040,1
113,14894,14895,""
114,14895,14896,""
115,14896,25041,1
116,14897,14898,""
117,14898,14899,""
118,14899,25042,1
119,14900,14901,""
120,14901,14902,""
121,14902,25043,1
122,14903,14904,""
123,14904,25044,1
124,14905,25045,1
125,14906,14907,""
126,14907,14908,""
127,14908,25046,1
128,14909,14910,""
129,14910,14911,""
130,14911,25047,1
131,14912,14913,""
132,14913,14914,""
133,14914,25048,1
134,14915,14916,""
135,14916,14917,""
136,14917,25049,1
137,14918,14919,""
138,14919,14920,""
139,14920,25050,1
140,14921,14922,""
141,14922,25051,1
142,14923,14924,""
143,14924,25052,1
144,14925,14926,""
145,14926,25053,1
146,14927,14928,""
147,14928,14929,""
148,14929,25054,1
149,14930,14931,""
150,14931,14932,""
151,14932,25055,1
152,14933,25056,1
153,14934,25057,1
154,20991,20992,""
155,20992,25058,1
156,21098,21099,""
157,21099,25059,1
158,21104,21105,""
159,21105,25061,1
160,21106,25062,1
161,21107,21108,""
162,21108,25063,1
163,21109,21110,""
164,21110,25064,1
165,21111,25065,1
166,21112,21113,""
167,21113,21114,""
168,21114,25066,1
169,21115,21116,""
170,21116,21117,""
171,21117,25067,1
172,21118,21119,""
173,21119,21120,""
174,21120,25068,1
175,21121,25069,1
176,21122,21123,""
177,21123,25070,1
178,21124,21125,""
179,21125,21126,""
180,21126,25071,1
181,21127,21128,""
182,21128,25072,1
183,21129,25073,1
184,21130,21131,""
185,21131,21132,""
186,21132,25074,1
187,21133,21134,""
188,21134,25075,1
189,21135,25076,1
190,21136,21137,""
191,21137,21138,""
192,21138,25077,1
193,21139,21140,""
194,21140,25078,1
195,21141,21142,""
196,21142,25079,1
197,21143,25080,1
198,21144,25081,1
199,21145,21147,""
200,21147,25082,1
201,21149,21150,""
202,21150,25084,1
203,21151,21152,""
