"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,11031,0,0,0,""
1,11032,1,0,0,""
2,11033,2,0,0,""
3,11034,3,0,0,""
4,11035,4,0,0,""
5,11036,5,0,0,""
6,11037,6,0,0,""
7,11038,7,0,1,""
8,11039,8,0,1,""
9,11040,9,0,1,""
10,11041,10,2,1,""
11,11042,11,0,1,""
12,11043,12,0,1,""
13,11044,13,0,1,""
14,11045,14,0,2,""
15,11046,15,0,2,""
16,11047,16,0,2,""
17,11048,17,0,2,""
18,11049,18,0,2,""
19,11050,19,0,2,""
20,11051,20,0,2,""
21,11052,21,0,3,""
22,11053,22,0,3,""
23,11054,23,0,3,""
24,11055,24,2,3,""
25,11056,25,0,3,""
26,11057,26,0,3,""
27,11058,27,0,3,""
28,11059,28,0,4,""
29,11060,29,1,4,""
30,11061,30,2,4,""
31,11062,31,1,4,""
32,11063,32,1,4,""
33,11064,33,1,4,""
34,11065,34,2,4,""
35,11066,35,1,5,""
36,11067,36,1,5,""
37,11068,37,1,5,""
38,11069,38,2,5,""
39,11070,39,2,5,""
40,11071,40,1,5,""
41,11072,41,1,5,""
42,11073,42,1,6,""
43,11074,43,1,6,""
44,11075,44,1,6,""
45,11076,45,1,6,""
46,11077,46,1,6,""
47,11078,47,1,6,""
48,11079,48,1,6,""
49,11080,49,2,7,""
50,11081,50,2,7,""
51,11082,51,2,7,""
52,11083,52,2,7,""
53,11084,53,2,7,""
54,11085,54,2,7,""
55,11086,55,2,7,""
56,11087,56,1,8,""
57,11088,57,1,8,""
58,11089,58,2,8,""
59,11090,59,1,8,""
60,11091,60,2,8,""
61,11092,61,2,8,""
62,11093,62,1,8,""
63,11094,63,2,9,""
64,11095,64,2,9,""
65,11096,65,2,9,""
66,11097,66,0,9,""
67,11098,67,2,9,""
68,11099,68,2,9,""
69,11100,69,2,9,""
70,11101,70,3,10,""
71,11102,71,3,10,""
72,11103,72,3,10,""
73,11104,73,3,10,""
74,11105,74,3,10,""
75,11106,75,3,10,""
76,11107,76,3,10,""
77,11108,77,3,10,""
78,11109,78,4,10,""
79,11110,79,4,10,""
80,11111,80,4,10,""
81,11112,81,5,10,""
82,11113,82,5,10,""
83,11114,83,5,10,""
84,11115,84,6,10,""
85,11116,85,6,10,""
86,11117,86,6,10,""
87,11118,87,3,10,""
88,11119,88,3,10,""
89,11120,89,4,10,""
90,11121,90,5,10,""
91,11122,91,6,10,""
92,11123,92,7,10,15
