"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem","rid"
0,"Accuracy1",57597,[15313],40,0,0,8881,""
1,"Accuracy2",51147,[18256],1,0,0,8881,""
2,"Accuracy3",64775,[15301],1,0,0,8881,""
3,"Accuracy4",9632,[17688],1,0,0,8881,""
4,"Accuracy5",39178,[18156],50,0,0,8881,""
5,"Accuracy6",9755,"[83,568]",500,-2,0,8881,""
6,"Armour1",46180,[17786],1,0,0,8881,""
7,"Armour2",48720,[97],30,0,0,8881,""
8,"Armour3",59754,[8248],20,0,0,8881,""
9,"Armour4",7137,[17791],1,0,0,8881,""
10,"Armour5",59936,[17793],20,0,0,8881,""
11,"Armour6",10680,[17787],100,0,0,8881,""
12,"ArmourEvasion1",49522,"[17892,17893]",120,5,0,8881,""
13,"ArmourEvasion2",62285,"[8207,122]",8,8,0,8881,""
14,"ArmourEvasion3",5108,[221],80,0,0,8881,""
15,"ArmourEvasion4",23955,[17895],1,0,0,8881,""
16,"ArmourEvasion5",58876,"[17894,4635]",40,40,0,8881,""
17,"ArmourEvasion6",43258,"[17896,17897]",1,1,0,8881,""
18,"ArmourEnergyShield1",40578,[17821],2,0,0,8881,""
19,"ArmourEnergyShield2",37614,[17822],5,0,0,8881,""
20,"ArmourEnergyShield3",16215,[17823],10,0,0,8881,""
21,"ArmourEnergyShield4",18301,[14960],20,0,0,8881,""
22,"ArmourEnergyShield5",8653,[17824],100,0,0,8881,""
23,"ArmourEnergyShield6",65504,[1050],10,0,0,8881,""
24,"Attack1",28524,[1229],3,0,0,8881,""
25,"Attack2",39154,[6879],1,0,0,8881,""
26,"Attack3",38401,"[18458,18459]",1,6000,0,8881,""
27,"Attack4",64511,[17925],1,0,0,8881,""
28,"Attack5",11938,[17926],5,0,0,8881,""
29,"Attack6",19500,[17929],1,0,0,8881,""
30,"Attributes1",5356,[3334],5,0,0,8881,""
31,"Attributes2",41483,[6870],1,0,0,8881,""
32,"Attributes3",26621,[15145],5,0,0,8881,""
33,"Attributes4",52604,[15146],5,0,0,8881,""
34,"Attributes5",15826,[15147],5,0,0,8881,""
35,"Axe1",28354,[5217],1,0,0,8881,""
36,"Axe2",11049,[9078],15,0,0,8881,""
37,"Axe3",9088,[3485],40,0,0,8881,""
38,"Axe4",50175,"[11996,11931]",30,15,0,8881,""
39,"Axe5",64228,[15150],10,0,0,8881,""
40,"Axe6",233,[11503],1,0,0,8881,""
41,"Bleeding1",59626,[3381],1,0,0,8881,""
42,"Bleeding2",10546,[7058],60,0,0,8881,""
43,"Bleeding3",3449,[5344],60,0,0,8881,""
44,"Bleeding4",23936,[4721],80,0,0,8881,""
