"rownum","BaseItemTypesKey","bool","[rid]"
0,16,"",[]
1,0,"",[]
2,2,"",[]
3,10,"",[]
4,17,"",[]
5,26,"",[]
6,27,"",[]
7,28,"",[]
8,29,"",[]
9,213,"",[]
10,214,"",[]
11,215,"",[]
12,216,"",[]
13,217,"",[]
14,218,"",[]
15,219,"",[]
16,220,"",[]
17,221,"",[]
18,222,"",[]
19,11,"",[]
20,12,"",[]
21,7,"",[]
22,8,"",[]
23,20,"",[]
24,21,"",[]
25,9,1,[]
26,13,1,[]
27,24,1,[]
28,40,1,[]
29,19,1,[]
30,22,"",[]
31,7508,1,[]
32,206,1,[]
33,7473,1,[]
34,7474,1,[]
35,7475,1,[]
36,7476,1,[]
37,7477,1,[]
38,7478,1,[]
39,7480,1,[]
40,7479,1,[]
41,202,1,[376]
42,203,1,[376]
43,199,1,[376]
44,200,1,[376]
45,201,1,[376]
