"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5695,100,0,25,100
1,5696,100,0,25,100
2,5697,100,0,25,100
3,5698,100,0,25,100
4,5699,100,0,25,100
5,5700,100,10,100,100
6,5701,100,10,100,100
7,5702,100,10,100,100
8,5703,100,10,100,100
9,5704,100,25,100,100
10,5705,100,25,100,100
11,5708,100,25,100,100
12,5711,100,25,100,100
13,5714,100,25,100,100
14,5717,100,46,100,100
15,5720,100,46,100,100
16,5723,100,46,100,100
17,5726,100,46,100,100
18,5729,100,46,100,100
19,5732,20,60,100,40
20,5733,20,60,100,40
21,5734,20,60,100,40
22,5735,20,60,100,40
23,5736,20,60,100,40
24,5737,20,60,100,40
25,5738,20,60,100,40
26,5739,20,60,100,40
27,5740,20,60,100,40
