"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2367,145,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4528,145,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",5123,145,1044,2,1
4,"EssenceBloodworm",4394,145,"",1,""
5,"Essence Elemental Swarm 1st stage",418,145,113,4,1
6,"Essence Elemental Swarm 2nd stage",419,145,113,2,1
7,"Essence Elemental Swarm 3rd stage",420,145,113,2,1
8,"Essence Rock Golem",4656,145,"",1,1
9,"Essence Explosive Insect",1601,145,"",1,1
10,"Volatile Flameblood",5150,145,"",1,1
11,"Obsidian Golem",4329,145,"",1,1
12,"TormentedBetrayerBeacon",7675,145,"",1,""
13,"BlightDaemonFire",7989,145,113,1,""
14,"BlightDaemonCold",7991,145,115,1,""
15,"BlightDaemonLightning",7993,145,447,1,""
16,"BlightDaemonPhysical",7995,145,522,1,""
17,"BlightDaemonChaos",7997,145,1059,1,""
18,"MapVolatile",5162,145,"",1,""
19,"LegionVolatile",5153,145,"",1,""
20,"UberVolatile",5163,145,"",1,""
21,"UberElderNova",6251,145,"",1,""
