"rownum","MonsterVarietiesKey","bool","rid"
0,2633,1,""
1,2638,1,15
2,2639,"",15
3,2641,1,38
4,2642,"",38
5,2661,1,""
6,2663,1,27
7,2665,"",27
8,2668,1,15
9,2669,"",15
10,2671,1,55
11,2672,"",55
12,2617,1,5
13,2618,"",5
14,2622,1,19
15,2623,"",19
16,2627,1,26
17,2628,"",26
18,2712,1,40
19,2713,"",40
20,2716,1,48
21,2717,"",48
22,2718,1,71
23,2719,"",71
24,2695,1,25
25,2696,"",25
26,2700,1,7
27,2701,"",7
28,2703,1,54
29,2704,"",54
30,2682,1,28
31,2683,"",28
32,2686,1,9
33,2687,"",9
34,2689,1,35
35,2690,"",35
36,2648,1,8
37,2649,"",8
38,2650,1,6
39,2651,"",6
40,2655,1,70
41,2656,"",70
42,2630,1,88
43,2631,"",88
44,2643,1,15
45,2644,"",15
46,2673,1,27
47,2674,"",27
48,2707,1,8
49,2708,"",8
50,2691,1,78
51,2692,"",78
52,2640,"",23
53,2670,"",36
54,2629,"",18
55,2711,"",32
56,2702,"",34
57,2688,"",13
58,2654,"",35
59,4585,"",""
60,4587,"",""
61,4586,"",""
62,2728,"",""
63,2729,"",""
64,2732,"",""
65,2726,"",""
66,2730,"",""
67,2727,"",""
68,2731,"",""
69,2619,"",5
70,2635,"",""
71,2664,"",27
72,2684,"",28
73,2705,"",54
74,2714,"",40
75,2652,"",6
76,2657,1,78
77,2658,"",78
78,2678,1,""
79,2659,1,""
80,2693,1,""
81,2709,1,""
82,2646,1,""
83,2680,1,81
84,2681,"",81
