"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8810],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8811],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8812],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8813],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8814],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8815],999,"",6000,6000,"","",1
6,"NamelessFrog","[8830,8831]",10,1,4000,4000,"","",""
7,"LightningPylon",[8816],16,"",50,0,"",1,""
8,"LightningPylonUber",[8817],16,"",50,0,"",1,""
9,"Necromantic1","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3773,3774,3775,3776,3777,3778,3779,3780]",4,1,6000,0,"","",1
10,"Necromantic2","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3773,3774,3775,3776,3777,3778,3779,3780]",5,1,5000,0,"","",1
11,"Necromantic3","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3772,3773,3774,3775,3776,3777,3778,3779,3780]",6,1,4000,0,"","",1
12,"Necromantic4","[3759,3760,3761,3762,3763,3764,3765,3766,3767,3768,3769,3770,3772,3773,3774,3775,3776,3777,3778,3779,3780]",7,1,3000,0,"","",1
13,"Vaal",[8818],1,"",800,0,1,"",""
14,"Golden",[8819],999,"",4000,0,"","",1
15,"PhysicalBleed",[8821],999,"",8000,0,"","",1
16,"PhysicalBleedUber",[8822],4,"",5000,0,"",1,1
17,"ChaosGreenVines",[8828],1,"",800,0,1,"",""
18,"GenericLifeQuicksand",[8825],999,"",2000,2000,"","",1
19,"GenericCharges",[8823],1,"",300,0,1,"",""
20,"GenericMassive",[8824],1,"",300,0,1,"",""
21,"GenericSpeed",[8820],1,"",300,0,1,"",""
22,"GenericFortify",[8826],999,"",5000,0,"","",1
23,"GenericEnergyShield",[8827],1,"",300,0,1,"",""
24,"UltimatumChaosCloud1",[9002],1,"",1000,0,"","",""
25,"UltimatumChaosCloud2",[9003],1,"",1000,0,"","",""
26,"UltimatumChaosCloud3",[9004],1,"",1000,0,"","",""
27,"UltimatumChaosCloud4",[9005],1,"",1000,0,"","",""
28,"UltimatumLightningRune1",[9006],3,"",50,0,"",1,1
29,"UltimatumLightningRune2",[9007],3,"",50,0,"",1,1
30,"UltimatumLightningRune3",[9007],5,"",50,0,"",1,1
31,"UltimatumLightningRune4",[9008],5,"",50,0,"",1,1
32,"UltimatumLightningRune1Trial",[9006],3,"",50,0,"","",""
33,"UltimatumLightningRune2Trial",[9007],3,"",50,0,"","",""
34,"UltimatumFlameSpitter1",[9037],2,"",50,0,"",1,1
35,"UltimatumFlameSpitter2",[9037],4,"",50,0,"",1,1
36,"UltimatumFlameSpitter3",[9038],4,"",50,0,"",1,1
37,"UltimatumFlameSpitter4",[9039],4,"",50,0,"",1,1
38,"UltimatumFlameSpitter1Trial",[9037],1,"",0,0,"",1,1
39,"UltimatumFlameSpitter2Trial",[9037],2,"",50,0,"",1,1
40,"UltimatumFlameSpitter3Trial",[9038],2,"",50,0,"",1,1
41,"UltimatumFlameSpitter4Trial",[9039],2,"",50,0,"",1,1
42,"UltimatumFrostInfection1",[9016],1,"",0,0,1,"",""
43,"UltimatumFrostInfection2",[9017],1,"",0,0,1,"",""
44,"UltimatumFrostInfection3",[9018],1,"",0,0,1,"",""
45,"UltimatumFrostInfection4",[9019],1,"",0,0,1,"",""
46,"UltimatumGraveyard1",[9034],2,"",50,0,"",1,1
47,"UltimatumGraveyard2",[9034],4,"",50,0,"",1,1
48,"UltimatumGraveyard3",[9035],4,"",50,0,"",1,1
49,"UltimatumGraveyard4",[9036],4,"",50,0,"",1,1
50,"UltimatumGraveyard1Trial",[9034],1,"",0,0,"",1,1
51,"UltimatumGraveyard2Trial",[9034],2,"",50,0,"",1,1
52,"UltimatumGraveyard3Trial",[9035],2,"",50,0,"",1,1
53,"UltimatumGraveyard4Trial",[9036],2,"",50,0,"",1,1
54,"UltimatumRevenant1",[9022],1,"",0,0,"",1,1
55,"UltimatumRevenant2",[9023],1,"",0,0,"",1,1
56,"UltimatumRevenant3",[9024],1,"",0,0,"",1,1
57,"UltimatumRevenant4",[9025],1,"",0,0,"",1,1
58,"UltimatumSawblade1",[9026],1,"",0,0,1,"",""
59,"UltimatumSawblade2",[9027],1,"",0,0,1,"",""
60,"UltimatumSawblade3",[9028],1,"",0,0,1,"",""
61,"UltimatumSawblade4",[9029],1,"",0,0,1,"",""
62,"UltimatumTotemPhys",[9041],1,"",0,0,"",1,1
63,"UltimatumTotemEle",[9042],1,"",0,0,"",1,1
64,"UltimatumAltarDaemon1",[9043],1,"",1000,0,1,1,""
65,"UltimatumAltarDaemon2",[9044],1,"",1000,0,1,1,""
