"rownum","EffectBaseType","VisualEffect","VisualIdentity","Stats","ItemClasses","[rid]","bool","[i32]","[i32]","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","rid","bool","rid","rid"
0,460,12,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
1,461,2,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
2,462,1,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
3,463,13,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
4,464,0,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
5,465,14,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
6,466,3,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
7,467,4,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
8,468,5,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
9,469,6,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
10,470,7,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
11,471,8,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
12,472,9,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
13,473,10,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
14,474,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
15,475,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
16,476,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
17,477,16,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
18,478,17,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
19,479,18,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
20,480,19,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
21,481,20,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","","",""
22,482,21,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
23,483,22,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
24,484,23,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
25,485,24,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
26,486,25,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
27,487,43,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","","",""
28,389,"",4655,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
29,388,"",4654,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
30,385,"",4656,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
31,386,"",4657,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
32,387,"",4658,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
33,390,"",4659,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
34,391,"",4660,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
35,4904,"",4662,[],[25],[],1,[],"[8,21]","",[],"",[],[],[],[],"","","",""
36,392,"",4663,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
37,393,"",4664,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
38,394,"",4665,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
39,395,"",4666,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
40,396,"",4667,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
41,397,"",4669,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
42,398,"",4670,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
43,399,"",4671,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
44,400,"",4672,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
45,401,"",4673,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","","",""
46,402,"",4674,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
47,403,"",4675,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
48,404,"",4676,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
49,405,"",4677,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
50,406,"",4678,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
51,407,"",4679,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
52,408,"",4680,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
53,409,"",4681,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
54,410,"",4682,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
55,411,"",4683,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","","",""
