"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,11414,9975,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,11415,9976,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,11416,9977,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,11417,9978,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,11418,9979,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,11419,9980,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,11420,9981,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,11421,9982,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,11422,9983,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,11423,9984,"Reforms after being killed",2
10,11424,9985,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,11425,9986,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,11426,10064,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,11427,10065,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,11428,10066,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby Allies take reduced Cold Damage",5
15,11429,10074,"Cyclones\r\nLacerates\r\nRains down blades",2
16,11430,10075,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks",2
