"rownum","Id","Tag","DisableDrops","MoreLikely","Count"
0,"Bestiary",1109,"","",20187
1,"Breach",1102,19865,"",20188
2,"Maps",1110,"",19678,20189
3,"Uniques",1111,"",19679,20190
4,"DivinationCards",1112,"","",20191
5,"Torment",1113,"",19676,20192
6,"Strongbox",1114,"",19677,20193
7,"Harbinger",1115,"",19682,20194
8,"Legion",1106,19869,"",20195
9,"Delve",1116,"","",20196
10,"Blight",1101,19864,"",20197
11,"Abyss",1100,19863,"",20198
12,"Influence",1117,"","",20199
13,"Ultimatum",1108,19871,"",20208
14,"Anarchy",1118,"",19681,20200
15,"Misc",1119,"","",20201
16,"Delirium",1103,19866,"",20202
17,"Ritual",1107,19870,"",20204
18,"Harvest",1105,19868,"",20205
19,"Domination",1120,"",19680,20206
20,"Betrayal",1121,"","",20207
21,"Essence",1122,"",19675,20209
22,"Incursion",1123,"","",20211
23,"Beyond",1124,"",19674,20203
24,"Expedition",1104,19867,"",20210
25,"Uber",1133,"","",20212
