"rownum","Id","Stats","StatValues","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc (English)","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc (English)","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
0,"AfflictionMonsterDamage",[16065],[50],"Honed Claws","Griffes affûtées","Gewetzte Krallen","鋭い爪","날카로운 발톱","Garras Afiadas","Заточенные когти","Garras afiladas","กรงเล็บลับแหลม","磨礪之爪","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClawsIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClaws","","","","","","","","","","","Monsters deal 50% more Damage","Les monstres infligent 50% Davantage de Dégâts.","Monster verursachen 50% mehr Schaden","モンスターのダメージが50%上昇する","몬스터가 주는 피해 50% 증폭","Monstros causam 50% mais Dano","Монстры наносят на 50% больше урона","Los monstruos infligen un 50% más de daño","มอนสเตอร์ สร้างความเสียหาย เพิ่มขึ้น อีก 50%","怪物造成 50% 更多傷害",5,0,"",[],[9120],"",5,0,"","",62326
1,"BoonMonsterDamage",[16064],[-40],"Fright Mask","Masque effrayant","Schreckensmaske","恐怖の仮面","섬뜩한 가면","Máscara do Medo","Маска страха","Máscara de pavor","หน้ากากข่มขวัญ","恐懼面具","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMaskIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMask","Monsters deal 40% less Damage","Les monstres ont 40% de Perte de Dégâts","Monster verursachen 40% weniger Schaden","モンスターのダメージが40%低下する","몬스터가 주는 피해 40% 감폭","Monstros causam 40%  menos Dano","Монстры наносят на 40% меньше урона","Los monstruos infligen un 40% menos de daño","มอนสเตอร์ สร้างความเสียหาย ลดลง อีก 40%","怪物造成 40% 更少傷害","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",15442
2,"AfflictionLethalTraps",[17582],[1],"Deadly Snare","Piège mortel","Tödliche Falle","致命的な罠","치명적인 올가미","Olhar Mortal","Смертельная ловушка","Trampa mortal","บ่วงปางตาย","致命陷阱","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurityIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurity","","","","","","","","","","","Traps impact infinite Resolve","Les Pièges ont un impact sur la Résolution infinie","Fallen haben unbegrenzte Wirkung auf die Willenskraft","罠は無限に決心を減らす","덫이 투지에 무한한 영향을 줌","Armadilhas impactam Determinação infinitamente","Ловушки тратят всю решимость","La resolución perdida por las trampas es infinita","กับดัก บั่นทอนความมุ่งมั่น เป็นอนันต์","陷阱影響無限決心",5,0,"",[],[9120],"",5,0,"","",41921
3,"AfflictionTrapSanctumDamage",[17004],[1],"Dark Pit","Fosse noire","Dunkle Grube","闇の闘技場","어두운 구덩이","Fosso Sombrio","Тёмная яма","Foso oscuro","หลุมมืด","暗坑","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPitIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPit","","","","","","","","","","","Traps impact 200% increased Resolve","200% d'Augmentation de l'impact des Pièges sur la Résolution","Fallen haben 200% erhöhte Wirkung auf die Willenskraft","罠が減らす決心の量が200%増加する","덫이 투지에 주는 영향 200% 증가","Impacto das Armadilhas na Determinação aumentado em 200%","Ловушки влияют на решимость на 200% сильнее","Resolución perdida por trampas aumentada un 200%","กับดัก บั่นทอนความมุ่งมั่น เพิ่มขึ้น 200%","陷阱影響增加 200% 決心",5,0,"",[],[9120],"",5,0,"","",62584
4,"AfflictionLessGold",[17011],[-50],"Charred Coin","Pièce carbonisée","Verkohlte Münze","黒焦げのコイン","까맣게 탄 동전","Moeda Carbonizada","Обугленная монета","Moneda carbonizada","เหรียญไหม้เกรียม","燒焦硬幣","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCharredCoinIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCharredCoin","","","","","","","","","","","50% less Aureus coins found","50% de Perte d'Aureus trouvés","50% weniger gefundene Aurei","見つかるアウレウスが50%低下する","발견하는 아우레우스 코인 50% 감폭","50% menos moedas Aureus encontradas","На 50% меньше находимого Ауруса","50% menos de áureos encontrados","ลด เหรียญออเรอัส ที่พบ อีก 50%","掉落 50% 更少奧瑞厄斯幣",5,0,"",[],[9120],"",5,0,"","",22125
5,"AfflictionLessDamage",[17012],[-40],"Blunt Sword","Épée émoussée","Stumpfes Schwert","切れ味の悪い剣","뭉툭한 검","Espada Cega","Тупой меч","Espada roma","ดาบทื่อ","鈍劍","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSwordIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSword","","","","","","","","","","","You and your Minions deal 40% less Damage","Vous et vos Créatures avez 40% de Perte de Dégâts","Ihr und Eure Kreaturen verursachen 40% weniger Schaden","プレイヤーとそのミニオンのダメージが40%低下する","플레이어와 플레이어의 소환수가 주는 피해 40% 감폭","Você e seus Lacaios causam 40% menos Dano","Вы и ваши приспешники наносите на 40% меньше урона","Tú y tus esbirros infligen un 40% menos de daño","คุณและมิเนียนของคุณ สร้างความเสียหาย ลดลง อีก 40%","你和你的召喚物造成 40% 更少傷害",5,0,"",[],[9120],"",5,0,"","",40008
6,"AfflictionTrapSpeed",[17003],[1],"Rapid Quicksand","Sables mouvants rapides","Schneller Treibsand","素早い流砂","신속한 유사","Areia Movediça Rápida","Быстрые зыбучие пески","Emboscada rápida","ทรายดูดฉับไว","快速流沙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksandIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksand","","","","","","","","","","","Traps are faster","Les Pièges sont plus rapides","Fallen sind schneller","罠が素早くなる","덫이 빨라짐","Armadilhas são mais rápidas","Ловушки действуют быстрее","Las trampas son más rápidas","กับดัก เร็วขึ้น","陷阱被加速",5,0,"",[],[9120],"",5,0,"","",56047
7,"AfflictionTrapVolatiles",[17005],[1],"Anomaly Attractor","Attracteur d'anomalies","Anomalistische Anziehungskraft","アノマリーを引き寄せるもの","이형 유인기","Atrator de Anomalias","Аттрактор аномалий","Atracción de anomalías","เครื่องดึงดูดสิ่งประหลาด","異常吸引","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractorIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractor","","","","","","","","","","","Rooms spawn Volatile Anomalies","La salle génère des Anomalies instables","Räume beschwören Explosive Anomalien","部屋にボラタイルアノマリーが出現するようになる","방이 폭발성 이형 생성","Salões criam Anomalias Voláteis","В комнатах появляются нестабильные аномалии","Las salas generan anomalías volátiles","ห้อง สร้าง สิ่งประหลาดเสี่ยงปะทุ","房間產生極凍天體",5,0,"",[],[9120],"",5,0,"","",51626
8,"BoonMovementSpeed",[5753],[60],"Hare Foot","Patte de lièvre","Hasenpfote","ウサギの足","산토끼 발","Pé de Coelho","Кроличья лапка","Pata de liebre","ตีนกระต่าย","腳兔","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFootIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFoot","60% increased Movement Speed","60% d'Augmentation de Vitesse de mouvement","60% erhöhte Bewegungsgeschwindigkeit","移動スピードが60%増加する","이동 속도 60% 증가","Velocidade de Movimento aumentada em 60%","60% повышение скорости передвижения","Velocidad de movimiento aumentada un 60%","เพิ่มความเร็วในการเคลื่อนที่ 60%","增加 60% 移動速度","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",13820
9,"BoonMoreGold",[17069],[50],"Gold Magnet","Aimant attracteur d'or","Goldmagnet","黄金の磁石","황금 자석","Imã de Ouro","Золотой магнит","Imán para el oro","แม่เหล็กทอง","黃金磁鐵","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMagnetIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMagnet","50% more Aureus coins found","Vous trouvez 50% Davantage d'Aureus","50% mehr gefundene Aurei","見つかるアウレウスが50%上昇する","발견하는 아우레우스 코인 50% 증폭","50% mais moedas Aureus encontradas","На 50% больше находимого Ауруса","50% más de áureos encontrados","เพิ่ม เหรียญออเรอัส ที่พบ อีก 50%","掉落 50% 更多奧瑞厄斯幣","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",278
