"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message (English)","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","NotificationIcon","HideoutName (English)","HideoutName (French)","HideoutName (German)","HideoutName (Japanese)","HideoutName (Korean)","HideoutName (Portuguese)","HideoutName (Russian)","HideoutName (Spanish)","HideoutName (Thai)","HideoutName (Traditional Chinese)","Id"
0,8,1,[533],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsCerulean"
1,8,2,[532],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodyCerulean"
2,8,3,[534],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesCerulean"
3,8,4,[535],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetCerulean"
4,9,1,[545],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsSanguine"
5,9,2,[544],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodySanguine"
6,9,3,[546],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesSanguine"
7,9,4,[547],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetSanguine"
8,7,1,[7802],1,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole1"
9,10,1,[7804],1,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole2"
10,11,5,[537],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsGolden"
11,11,10,[538],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesGolden"
12,11,15,[536],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodyGolden"
13,11,20,[539],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetGolden"
14,12,7,[684],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldBoots"
15,12,14,[685],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldGloves"
16,12,21,[686],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldBody"
17,12,28,[683],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldHelmet"
18,12,18,[7806],2,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole3"
19,13,12,[719],0,"","","","","","","","","","","","","","","","","","","","","","PerandusFootprints"
20,13,24,[720],0,"","","","","","","","","","","","","","","","","","","","","","PerandusWeapon"
21,13,36,[721],0,"","","","","","","","","","","","","","","","","","","","","","PerandusPortal"
22,13,19,[7808],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole4"
23,14,12,[742],0,"","","","","","","","","","","","","","","","","","","","","","ProphecyFootprints"
24,14,24,[743],0,"","","","","","","","","","","","","","","","","","","","","","ProphecyWeapon"
25,14,36,[4513],0,"","","","","","","","","","","","","","","","","","","","","","NavaliMonkey"
26,14,19,[7810],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole5"
27,15,12,[810],0,"","","","","","","","","","","","","","","","","","","","","","EssenceFootprints"
28,15,24,[808],0,"","","","","","","","","","","","","","","","","","","","","","EssenceWings"
29,15,36,[809],0,"","","","","","","","","","","","","","","","","","","","","","EssencePortal"
30,15,19,[7812],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole6"
31,16,12,[867],0,"","","","","","","","","","","","","","","","","","","","","","BreachFootprints"
32,16,24,[848],0,"","","","","","","","","","","","","","","","","","","","","","BreachPortal"
33,16,36,[838],0,"","","","","","","","","","","","","","","","","","","","","","DemonicWings"
34,16,19,[7814],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole7"
35,17,12,[925],0,"","","","","","","","","","","","","","","","","","","","","","LegacyFootprintsEffect"
36,17,24,[931],0,"","","","","","","","","","","","","","","","","","","","","","LegacyWeaponEffect"
37,17,36,[880],0,"","","","","","","","","","","","","","","","","","","","","","LegacyPortalEffect"
