"rownum","rid","rid","HASH32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Achievement","rid","rid"
0,34,1227,-245757592,"Sends a wave of ice out in a circle, Freezing all enemies within 50 units","Projette une vague de glace dans toutes les directions, gelant tous les ennemis se trouvant à moins de 50 unités","Entfesselt eine ringförmige Welle aus Eis, die alle Gegner innerhalb von 50 Einheiten einfriert.","氷の波を放射状に放ち、50単位以内にいるすべての敵を凍結させる","원형으로 얼음의 파도를 내보내 50유닛 내의 모든 적을 동결시킵니다.","Cria uma onda de gelo circular, Congelando todos os inimigos dentro de 50 unidades","Выпускает круговую волну льда, замораживая всех врагов в радиусе 50 единиц","Lanza una ola de hielo en forma de círculo que congela a todos los enemigos en un radio de 50 unidades","ปล่อย​คลื่น​น้ำ​แข็ง​เป็น​วง สร้าง​สถานะ แช่แข็ง ต่อ​ศัตรูทุกตัวในระยะ 50 หน่วย","發射環形的寒冰波動，冰凍範圍 50 內的敵人",[9744],520,533
1,35,1228,1521726936,"Forms a volcano that erupts molten projectiles, sinking back into the earth after 20 seconds","Forme un volcan duquel font éruption des projectiles en fusion. Le volcan retourne sous terre après 20 secondes","Erzeugt einen Vulkan, der feurige Projektile entfesselt und der nach 20 Sekunden wieder in der Erde versinkt.","溶解した投射物を噴火する火山を形成する。火山は20秒後に大地に沈降する","화산을 만듭니다. 화산은 녹아내린 투사체를 분출하다가 20초 후에 다시 땅속으로 꺼집니다.","Forma um vulcão que irrompe projéteis vulcânicos, voltando a afundar na terra após 20 segundos","Формирует вулкан, извергающий расплавленные снаряды, который погружается обратно в землю спустя 20 секунд","Forma un volcán que lanza proyectiles fundidos y que se vuelve a hundir en la tierra después de 20 segundos","สร้างภูเขาไฟเป็นเวลา 20 วินาทีที่ปะทุออกมาเป็นกระสุนหินหลอม จากนั้นมันจะยุบลงสู่ปฐพี","製造一座火山，噴發熔岩彈，20 秒後沉入地下",[9745],520,533
2,36,1229,769958569,"Launches hooks at all enemies within 60 units, stunning them and pulling them in","Jette des crochets à tous les ennemis se trouvant à moins de 60 unités, les étourdissant et les attirant","Wirft Haken auf alle Gegner innerhalb von 60 Einheiten, die diese betäuben und anziehen.","60単位以内にいるすべての敵にフックを放ち、スタンさせ引き寄せる","60유닛 내의 모든 적에게 갈고리를 발사해 기절시키고 끌어당깁니다.","Lança anzóis nos inimigos dentro de 60 unidades, os atordoando e puxando","Выпускает крюки во всех врагов в радиусе 60 единиц, оглушая их и подтягивая к себе","Lanza ganchos a todos los enemigos en un radio de 60 unidades para aturdirlos y atraerlos","ปล่อยตะขอไปยังศัตรูทุกตัวในระยะ 60 หน่วย ดึงพวกมันเข้ามาพร้อมสร้างสถานะ มึนงง ต่อพวกมัน","對範圍 60 內的全部敵人發射鉤索，暈眩它們並拉近",[9746],520,533
3,37,1232,-360582733,"Revives all Ancestral Totems within 50 units","Ranime tous les Totems ancestraux se trouvant à moins de 50 unités","Belebt innerhalb von 50 Einheiten alle Ahnen-Totems wieder.","50単位以内のすべての先祖のトーテムを復活させる","50유닛 내의 모든 선조 토템을 부활시킵니다.","Revive todos os Totens Ancestrais dentro de 50 unidades","Возрождает тотемы предков в радиусе 50 единиц","Revive a todos los tótems ancestrales en un radio de 50 unidades","คืนชีพ โทเทมต้นตระกูล ทั้งหมดในระยะ 50 หน่วย","復活範圍 50 內的全部祖靈圖騰",[9747],520,533
4,38,1233,1883173745,"Revives the nearest Ancestral Totem","Ranime le Totem ancestral le plus proche","Belebt das nächstgelegene Ahnen-Totem wieder.","最も近い先祖のトーテムを復活させる","가장 가까이 있는 선조 토템을 부활시킵니다.","Revive o Totem Ancestral mais próximo","Возрождает ближайший тотем предков","Revive el tótem ancestral más cercano","คืนชีพ โทเทมต้นตระกูล ที่อยู่ใกล้ที่สุด","復活最靠近的祖靈的圖騰",[9748],520,533
5,39,1234,466918693,"Bursts healing pulses in a circle for 20 seconds","Des éruptions guérisseuses pulsent dans toutes les directions pendant 20 secondes.","Entfesselt ringförmige, heilende Impulse für 20 Sekunden.","放射状にヒーリングパルスを20秒間放ち続ける","20초 동안 원 모양으로 치유의 파동을 내보냅니다.","Explosões de cura pulsam em um círculo por 20 segundos.","Пульсирует исцеляющим кругом в течение 20 секунд","Libera estallidos de curación en forma de círculo durante 20 segundos","ปล่อย​คลื่น​พลัง​รักษา​เป็นวงกลม 20 วินาที","發散治癒波持續 20 秒",[9749],520,533
6,40,1235,1576526681,"Fully heals all Teammates","Soigne complètement tous les Coéquipiers","Heilt alle Teammitglieder vollständig.","すべてのチームメイトを全回復させる","모든 팀원을 완전히 치유합니다.","Cura completamente todos os Membros da Equipe","Полностью исцеляет всех членов команды","Cura completamente a todos los miembros del equipo","รักษาเพื่อนร่วมทีมทุกตัวโดยสมบูรณ์","完全治癒全部隊友",[9750],520,533
7,41,1236,820769034,"Drains the Life from nearby Enemy Corpses, preventing them from respawning for 10 seconds","Draine la Vie des Cadavres ennemis à proximité, les empêchant de réapparaître pendant 10 secondes","Entzieht gegnerischen Leichen in der Umgebung das Leben und bewirkt, dass sie 10 Sekunden lang nicht wieder erscheinen können.","周囲の敵の死体から命を吸い取り、リスポーンを10秒間阻害する","주변의 적 시신으로부터 생명력을 흡수하여 10초 동안 재소환을 방지합니다.","Drena a Vida dos Cadáveres Inimigos próximos, impedindo que eles revivam por 10 segundos","Вытягивает здоровье из вражеских трупов поблизости, не позволяя им воскреснуть в течение 10 секунд","Drena la vida de los cadáveres enemigos cercanos e impide que resuciten durante 10 segundos","ดูด​พลังชีวิต​จาก​ศพ​ศัตรู​ที่​อยู่​ใกล้ ไม่​ให้​พวก​มัน​เกิด​ใหม่เป็นเวลา 10 วินาที","從附近敵人的屍體吸取生命，讓它們在 10 秒內無法重生",[9751],520,533
8,42,1237,1309506545,"Encases all enemies within 50 units in jade for 10 seconds","Enferme dans le jade tous les ennemis se trouvant à moins de 50 unités pendant 10 secondes","Schließt alle Gegner innerhalb von 50 Einheiten für 10 Sekunden in Jade ein.","50単位以内のすべての敵を翡翠の中に10秒間閉じ込める","50유닛 내의 모든 적을 10초 동안 비취로 감쌉니다.","Circula todos os inimigos dentro de 50 unidades em jade por 5 segundos","Заключает всех врагов в радиусе 50 единиц в нефрит на 10 секунд","Recubre con jade a todos los enemigos en un radio de 50 unidades durante 10 segundos","สร้างสถานะ ผนึกหยก 10 วินาที ต่อศัตรูทุกตัวในระยะ 50 หน่วย","囚禁範圍 50 內的全部敵人至玉裡 10 秒",[9752],520,533
9,43,1238,-1878223103,"Buffs all Teammates within 60 units for 20 seconds, making them invulnerable to damage and unable to be interrupted when banishing totems","Donne des effets bénéfiques à tous les Coéquipiers se trouvant à moins de 60 unités pendant 20 secondes, les rendant invulnérables aux dégâts et impossibles à interrompre lorsqu'ils sont en train de bannir des totems","Stärkt für 20 Sekunden alle Teammitglieder innerhalb von 60 Einheiten, wodurch diese unverwundbar werden und beim Verbannen von Totems nicht unterbrochen werden können.","60単位以内のすべてのチームメイトにバフを20秒間付与し、ダメージに対して無敵し、トーテムを追放中妨害されなくする","60유닛 내의 모든 팀원에게 20초 동안 버프를 부여하여, 피해에 영향을 받지 않고 토템 추방 시에 방해받지 않게 합니다.","Buffa todos os Membros da Equipe dentro de 60 unidades por 20 segundos, tornando-os invulneráveis a dano e impossível de ser interrompidos quando banindo totens","Усиливает всех членов команды в радиусе 60 единиц на 20 секунд, делая их неуязвимыми для урона и не позволяя прерывать их при искоренении тотемов","Potencia a todos los miembros del equipo en un radio de 60 unidades durante 20 segundos: los vuelve invulnerables al daño e impide que puedan ser interrumpidos cuando destruyen los tótems","มอบบัฟให้กับเพื่อนร่วมทีมทั้งหมดในระยะ 60 หน่วยเป็นเวลา 20 วินาที ทำให้พวกเขาไม่ได้รับความเสียหาย และไม่ถูกรบกวนเมื่อขับไล่โทเทม","增益範圍 60 內的全部隊友 20 秒，當驅逐圖騰時，使他們無敵且不會被干擾",[9753],520,533
