"rownum","Index","SkillGem1","Name1 (English)","Name1 (French)","Name1 (German)","Name1 (Japanese)","Name1 (Korean)","Name1 (Portuguese)","Name1 (Russian)","Name1 (Spanish)","Name1 (Thai)","Name1 (Traditional Chinese)","SkillGem2","Name2 (English)","Name2 (French)","Name2 (German)","Name2 (Japanese)","Name2 (Korean)","Name2 (Portuguese)","Name2 (Russian)","Name2 (Spanish)","Name2 (Thai)","Name2 (Traditional Chinese)","row"
0,1,"[0,1]","Fireball","Boule de feu","Feuerball","ファイヤーボール","화염구","Bola de Fogo","Огненный шар","Bola de fuego","บอลไฟ (Fireball)","火球","[0,1]","Fireball","Boule de feu","Feuerball","ファイヤーボール","화염구","Bola de Fogo","Огненный шар","Bola de fuego","บอลไฟ (Fireball)","火球",0
1,2,"[2,4]","Ice Nova","Nova de glace","Eisnova","アイスノヴァ","얼음 폭발","Nova Glacial","Кольцо льда","Nova de hielo","น้ำแข็งกระจาย (Ice Nova)","冰霜新星","[2,4]","Ice Nova","Nova de glace","Eisnova","アイスノヴァ","얼음 폭발","Nova Glacial","Кольцо льда","Nova de hielo","น้ำแข็งกระจาย (Ice Nova)","冰霜新星",1
2,3,[5],"Leap Slam","Bond percutant","Sprunghieb","リープスラム","도약 강타","Salto Impactante","Наскок","Salto con impacto","กระโจนทุบ (Leap Slam)","躍擊",[9],"Sweep","Balayage","Rundumschlag","スウィープ","휩쓸기","Varrer","Круговой взмах","Barrido","ควง (Sweep)","橫掃",3
3,4,[9],"Sweep","Balayage","Rundumschlag","スウィープ","휩쓸기","Varrer","Круговой взмах","Barrido","ควง (Sweep)","橫掃","[13,14]","Ground Slam","Fracas tellurique","Schmetterhieb","グラウンドスラム","대지 강타","Impacto Sísmico","Сотрясение","Impacto sísmico","ทุบพื้น (Ground Slam)","裂地之擊",4
4,5,"[13,14]","Ground Slam","Fracas tellurique","Schmetterhieb","グラウンドスラム","대지 강타","Impacto Sísmico","Сотрясение","Impacto sísmico","ทุบพื้น (Ground Slam)","裂地之擊","[15,712]","Cleave","Taillade","Spalten","クリーヴ","회전베기","Cutilada","Рассечение","Hendidura","ปาด (Cleave)","劈砍",5
5,6,"[15,712]","Cleave","Taillade","Spalten","クリーヴ","회전베기","Cutilada","Рассечение","Hendidura","ปาด (Cleave)","劈砍",[17],"Enduring Cry","Cri d'endurance","Widerstandsschrei","エンデュアリングクライ","인내의 함성","Clamor Fortalecedor","Клич стойкости","Grito de aguante","คำรามทนทาน (Enduring Cry)","堅決戰吼",7
6,7,[16],"Shield Charge","Charge au bouclier","Schildansturm","シールドチャージ","방패 돌진","Investida com Escudo","Удар щитом","Carga con escudo","โล่พุ่งชน (Shield Charge)","重盾衝鋒","[18,19]","Double Strike","Double frappe","Doppelschlag","ダブルストライク","이중 타격","Golpe Duplo","Двойной удар","Golpe doble","ฟาดสองที (Double Strike)","雙重打擊",8
7,8,[17],"Enduring Cry","Cri d'endurance","Widerstandsschrei","エンデュアリングクライ","인내의 함성","Clamor Fortalecedor","Клич стойкости","Grito de aguante","คำรามทนทาน (Enduring Cry)","堅決戰吼",[21],"Elemental Hit","Frappe élémentaire","Elementartreffer","エレメンタルヒット","원소의 일격","Golpe Elemental","Удар стихии","Golpe elemental","ปะทะด้วยธาตุ (Elemental Hit)","元素打擊",9
8,9,"[18,19]","Double Strike","Double frappe","Doppelschlag","ダブルストライク","이중 타격","Golpe Duplo","Двойной удар","Golpe doble","ฟาดสองที (Double Strike)","雙重打擊",[22],"Immortal Call","Clameur d'immortalité","Schrei der Unsterblichkeit","イモータルコール","불멸의 외침","Chamado Imortal","Призыв к бессмертию","Llamado inmortal","เรียกความอมตะ (Immortal Call)","不朽怒嚎",10
9,10,[21],"Elemental Hit","Frappe élémentaire","Elementartreffer","エレメンタルヒット","원소의 일격","Golpe Elemental","Удар стихии","Golpe elemental","ปะทะด้วยธาตุ (Elemental Hit)","元素打擊",[24],"Dual Strike","Frappes simultanées","Zweifachschlag","デュアルストライク","쌍수 타격","Golpe Combinado","Парный удар","Golpe dual","ฟาดคู่ (Dual Strike)","雙持打擊",11
